name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-92 - 2019 - CUCSH,92,2019,CUCSH,Nivel III,10,4,,14
311 Investigadores-93 - 2020 - CUCSH,93,2020,CUCSH,Nivel III,11,5,,16
311 Investigadores-94 - 2021 - CUCSH,94,2021,CUCSH,Nivel III,10,5,,15
311 Investigadores-95 - 2022 - CUCSH,95,2022,CUCSH,Nivel III,9,5,,14
311 Investigadores-96 - 2023 - CUCSH,96,2023,CUCSH,Nivel III,9,5,,14
311 Investigadores-97 - 2018 - CUCSH,97,2018,CUCSH,Emérito,2,0,,2
311 Investigadores-98 - 2019 - CUCSH,98,2019,CUCSH,Emérito,2,0,,2
311 Investigadores-99 - 2020 - CUCSH,99,2020,CUCSH,Emérito,2,0,,2
311 Investigadores-100 - 2021 - CUCSH,100,2021,CUCSH,Emérito,3,0,,3
311 Investigadores-101 - 2022 - CUCSH,101,2022,CUCSH,Emérito,4,1,,5
311 Investigadores-102 - 2023 - CUCSH,102,2023,CUCSH,Emérito,3,1,,4
311 Investigadores-103 - 2018 - CUCSH,103,2018,CUCSH,SNCA,1,0,,1
311 Investigadores-104 - 2019 - CUCSH,104,2019,CUCSH,SNCA,1,0,,1
311 Investigadores-105 - 2020 - CUCSH,105,2020,CUCSH,SNCA,1,0,,1
311 Investigadores-106 - 2021 - CUCSH,106,2021,CUCSH,SNCA,1,0,,1
311 Investigadores-107 - 2022 - CUCSH,107,2022,CUCSH,SNCA,0,0,,0
311 Investigadores-108 - 2023 - CUCSH,108,2023,CUCSH,SNCA,0,0,,0
311 Investigadores-109 - 2018 - CUCS,109,2018,CUCS,Candidato,26,23,,49
311 Investigadores-110 - 2019 - CUCS,110,2019,CUCS,Candidato,29,28,,57
311 Investigadores-111 - 2020 - CUCS,111,2020,CUCS,Candidato,25,32,,57
311 Investigadores-112 - 2021 - CUCS,112,2021,CUCS,Candidato,24,36,,60
311 Investigadores-113 - 2022 - CUCS,113,2022,CUCS,Candidato,22,35,,57
311 Investigadores-114 - 2023 - CUCS,114,2023,CUCS,Candidato,27,38,,65
311 Investigadores-115 - 2018 - CUCS,115,2018,CUCS,Nivel I,52,73,,125
311 Investigadores-116 - 2019 - CUCS,116,2019,CUCS,Nivel I,61,74,,135
311 Investigadores-117 - 2020 - CUCS,117,2020,CUCS,Nivel I,66,76,,142
311 Investigadores-118 - 2021 - CUCS,118,2021,CUCS,Nivel I,64,76,,140
311 Investigadores-119 - 2022 - CUCS,119,2022,CUCS,Nivel I,80,87,,167
311 Investigadores-120 - 2023 - CUCS,120,2023,CUCS,Nivel I,86,103,,189
311 Investigadores-121 - 2018 - CUCS,121,2018,CUCS,Nivel II,10,22,,32
311 Investigadores-122 - 2019 - CUCS,122,2019,CUCS,Nivel II,7,23,,30
311 Investigadores-123 - 2020 - CUCS,123,2020,CUCS,Nivel II,10,24,,34
311 Investigadores-124 - 2021 - CUCS,124,2021,CUCS,Nivel II,11,24,,35
311 Investigadores-125 - 2022 - CUCS,125,2022,CUCS,Nivel II,15,26,,41
311 Investigadores-126 - 2023 - CUCS,126,2023,CUCS,Nivel II,17,29,,46
311 Investigadores-127 - 2018 - CUCS,127,2018,CUCS,Nivel III,10,6,,16
311 Investigadores-128 - 2019 - CUCS,128,2019,CUCS,Nivel III,14,7,,21
311 Investigadores-129 - 2020 - CUCS,129,2020,CUCS,Nivel III,14,8,,22
311 Investigadores-130 - 2021 - CUCS,130,2021,CUCS,Nivel III,13,8,,21
311 Investigadores-131 - 2022 - CUCS,131,2022,CUCS,Nivel III,10,8,,18
311 Investigadores-132 - 2023 - CUCS,132,2023,CUCS,Nivel III,9,7,,16
311 Investigadores-133 - 2018 - CUCS,133,2018,CUCS,Emérito,0,0,,0
311 Investigadores-134 - 2019 - CUCS,134,2019,CUCS,Emérito,0,0,,0
311 Investigadores-135 - 2020 - CUCS,135,2020,CUCS,Emérito,0,0,,0
311 Investigadores-136 - 2021 - CUCS,136,2021,CUCS,Emérito,0,0,,0
311 Investigadores-137 - 2022 - CUCS,137,2022,CUCS,Emérito,2,0,,2
311 Investigadores-138 - 2023 - CUCS,138,2023,CUCS,Emérito,4,0,,4
311 Investigadores-139 - 2018 - CUCS,139,2018,CUCS,SNCA,0,0,,0
311 Investigadores-140 - 2019 - CUCS,140,2019,CUCS,SNCA,0,0,,0
311 Investigadores-141 - 2020 - CUCS,141,2020,CUCS,SNCA,0,0,,0
311 Investigadores-142 - 2021 - CUCS,142,2021,CUCS,SNCA,0,0,,0
311 Investigadores-143 - 2022 - CUCS,143,2022,CUCS,SNCA,0,0,,0
311 Investigadores-144 - 2023 - CUCS,144,2023,CUCS,SNCA,0,0,,0
