name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,hombres,mujeres,personas_nb,total
712-2024-125 PA DTC Asociado C de SEMS,125,2024,SEMS,DTC,Asociado,C,96,67,,163
712-2024-126 PA DTC Asociado C de AG,126,2024,AG,DTC,Asociado,C,0,0,,0
712-2024-127 PA DTC Titular A de CUCEA,127,2024,CUCEA,DTC,Titular,A,13,4,,17
712-2024-128 PA DTC Titular A de CUCEI,128,2024,CUCEI,DTC,Titular,A,8,1,,9
712-2024-129 PA DTC Titular A de CUCSH,129,2024,CUCSH,DTC,Titular,A,19,17,,36
712-2024-130 PA DTC Titular A de CUCS,130,2024,CUCS,DTC,Titular,A,14,14,,28
712-2024-131 PA DTC Titular A de CUAAD,131,2024,CUAAD,DTC,Titular,A,11,8,,19
712-2024-132 PA DTC Titular A de CUCBA,132,2024,CUCBA,DTC,Titular,A,4,3,,7
712-2024-133 PA DTC Titular A de CUALTOS,133,2024,CUALTOS,DTC,Titular,A,6,1,,7
712-2024-134 PA DTC Titular A de CUCIÉNEGA,134,2024,CUCIÉNEGA,DTC,Titular,A,3,4,,7
712-2024-135 PA DTC Titular A de CUSUR,135,2024,CUSUR,DTC,Titular,A,11,1,,12
712-2024-136 PA DTC Titular A de CUCOSTA,136,2024,CUCOSTA,DTC,Titular,A,2,2,,4
712-2024-137 PA DTC Titular A de CUCOSTASUR,137,2024,CUCOSTASUR,DTC,Titular,A,5,1,,6
712-2024-138 PA DTC Titular A de CUVALLES,138,2024,CUVALLES,DTC,Titular,A,3,4,,7
712-2024-139 PA DTC Titular A de CUNORTE,139,2024,CUNORTE,DTC,Titular,A,2,0,,2
712-2024-140 PA DTC Titular A de CULAGOS,140,2024,CULAGOS,DTC,Titular,A,3,1,,4
712-2024-141 PA DTC Titular A de CUTONALÁ,141,2024,CUTONALÁ,DTC,Titular,A,9,7,,16
712-2024-142 PA DTC Titular A de CUTLAJOMULCO,142,2024,CUTLAJOMULCO,DTC,Titular,A,4,0,,4
712-2024-143 PA DTC Titular A de CUGUADALAJARA,143,2024,CUGUADALAJARA,DTC,Titular,A,2,3,,5
712-2024-144 PA DTC Titular A de CUCHAPALA,144,2024,CUCHAPALA,DTC,Titular,A,0,0,,0
712-2024-145 PA DTC Titular A de CUTLAQUEPAQUE,145,2024,CUTLAQUEPAQUE,DTC,Titular,A,0,0,,0
712-2024-146 PA DTC Titular A de SEMS,146,2024,SEMS,DTC,Titular,A,67,45,,112
712-2024-147 PA DTC Titular A de AG,147,2024,AG,DTC,Titular,A,0,0,,0
712-2024-148 PA DTC Titular B de CUCEA,148,2024,CUCEA,DTC,Titular,B,12,3,,15
712-2024-149 PA DTC Titular B de CUCEI,149,2024,CUCEI,DTC,Titular,B,7,3,,10
712-2024-150 PA DTC Titular B de CUCSH,150,2024,CUCSH,DTC,Titular,B,11,4,,15
712-2024-151 PA DTC Titular B de CUCS,151,2024,CUCS,DTC,Titular,B,6,4,,10
712-2024-152 PA DTC Titular B de CUAAD,152,2024,CUAAD,DTC,Titular,B,2,2,,4
712-2024-153 PA DTC Titular B de CUCBA,153,2024,CUCBA,DTC,Titular,B,3,3,,6
712-2024-154 PA DTC Titular B de CUALTOS,154,2024,CUALTOS,DTC,Titular,B,2,3,,5
712-2024-155 PA DTC Titular B de CUCIÉNEGA,155,2024,CUCIÉNEGA,DTC,Titular,B,3,0,,3
