name,row,anio,estatus_transparencia,total
"a31 Solicitudes de información -23 - 2023 - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",23,2023,"Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",87
a31 Solicitudes de información -24 - 2023 - Ajena al ejercicio de acceso a la información,24,2023,Ajena al ejercicio de acceso a la información,23
a31 Solicitudes de información -25 - 2022 - Afirmativas,25,2022,Afirmativas,464
a31 Solicitudes de información -26 - 2022 - Afirmativas parciales,26,2022,Afirmativas parciales,602
a31 Solicitudes de información -27 - 2022 - Afirmativas parciales - Por tratarse de información reservada,27,2022,Afirmativas parciales - Por tratarse de información reservada,3
a31 Solicitudes de información -28 - 2022 - Afirmativas parciales - Por tratarse de información confidencial,28,2022,Afirmativas parciales - Por tratarse de información confidencial,261
a31 Solicitudes de información -29 - 2022 - Afirmativas parciales - Por inexistencia,29,2022,Afirmativas parciales - Por inexistencia,338
a31 Solicitudes de información -30 - 2022 - Negativas,30,2022,Negativas,434
a31 Solicitudes de información -31 - 2022 - Negativas - Por tratarse de información reservada,31,2022,Negativas - Por tratarse de información reservada,0
a31 Solicitudes de información -32 - 2022 - Negativas - Por tratarse de información confidencial,32,2022,Negativas - Por tratarse de información confidencial,29
a31 Solicitudes de información -33 - 2022 - Negativas - Por inexistencia,33,2022,Negativas - Por inexistencia,282
a31 Solicitudes de información -34 - 2022 - Rechazada por no cumplir con los requisitos de ley,34,2022,Rechazada por no cumplir con los requisitos de ley,39
"a31 Solicitudes de información -35 - 2022 - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",35,2022,"Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",71
a31 Solicitudes de información -36 - 2022 - Ajena al ejercicio de acceso a la información,36,2022,Ajena al ejercicio de acceso a la información,13
a31 Solicitudes de información -37 - 2021 - Afirmativas,37,2021,Afirmativas,588
a31 Solicitudes de información -38 - 2021 - Afirmativas parciales,38,2021,Afirmativas parciales,666
a31 Solicitudes de información -39 - 2021 - Afirmativas parciales - Por tratarse de información reservada,39,2021,Afirmativas parciales - Por tratarse de información reservada,4
a31 Solicitudes de información -40 - 2021 - Afirmativas parciales - Por tratarse de información confidencial,40,2021,Afirmativas parciales - Por tratarse de información confidencial,348
a31 Solicitudes de información -41 - 2021 - Afirmativas parciales - Por inexistencia,41,2021,Afirmativas parciales - Por inexistencia,314
a31 Solicitudes de información -42 - 2021 - Negativas,42,2021,Negativas,507
a31 Solicitudes de información -43 - 2021 - Negativas - Por tratarse de información reservada,43,2021,Negativas - Por tratarse de información reservada,0
a31 Solicitudes de información -44 - 2021 - Negativas - Por tratarse de información confidencial,44,2021,Negativas - Por tratarse de información confidencial,5
a31 Solicitudes de información -45 - 2021 - Negativas - Por inexistencia,45,2021,Negativas - Por inexistencia,239
a31 Solicitudes de información -46 - 2021 - Rechazada por no cumplir con los requisitos de ley,46,2021,Rechazada por no cumplir con los requisitos de ley,75
"a31 Solicitudes de información -47 - 2021 - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",47,2021,"Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",152
a31 Solicitudes de información -48 - 2021 - Ajena al ejercicio de acceso a la información,48,2021,Ajena al ejercicio de acceso a la información,36
a31 Solicitudes de información -49 - 2020 - Afirmativas,49,2020,Afirmativas,555
a31 Solicitudes de información -50 - 2020 - Afirmativas parciales,50,2020,Afirmativas parciales,439
a31 Solicitudes de información -51 - 2020 - Afirmativas parciales - Por tratarse de información reservada,51,2020,Afirmativas parciales - Por tratarse de información reservada,0
a31 Solicitudes de información -52 - 2020 - Afirmativas parciales - Por tratarse de información confidencial,52,2020,Afirmativas parciales - Por tratarse de información confidencial,85
a31 Solicitudes de información -53 - 2020 - Afirmativas parciales - Por inexistencia,53,2020,Afirmativas parciales - Por inexistencia,354
a31 Solicitudes de información -54 - 2020 - Negativas,54,2020,Negativas,912
a31 Solicitudes de información -55 - 2020 - Negativas - Por tratarse de información reservada,55,2020,Negativas - Por tratarse de información reservada,0
a31 Solicitudes de información -56 - 2020 - Negativas - Por tratarse de información confidencial,56,2020,Negativas - Por tratarse de información confidencial,18
a31 Solicitudes de información -57 - 2020 - Negativas - Por inexistencia,57,2020,Negativas - Por inexistencia,192
a31 Solicitudes de información -58 - 2020 - Rechazada por no cumplir con los requisitos de ley,58,2020,Rechazada por no cumplir con los requisitos de ley,53
"a31 Solicitudes de información -59 - 2020 - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",59,2020,"Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",594
a31 Solicitudes de información -60 - 2020 - Ajena al ejercicio de acceso a la información,60,2020,Ajena al ejercicio de acceso a la información,55
a31 Solicitudes de información -61 - 2019 - Afirmativas,61,2019,Afirmativas,787
a31 Solicitudes de información -62 - 2019 - Afirmativas parciales,62,2019,Afirmativas parciales,571
a31 Solicitudes de información -63 - 2019 - Afirmativas parciales - Por tratarse de información reservada,63,2019,Afirmativas parciales - Por tratarse de información reservada,5
a31 Solicitudes de información -64 - 2019 - Afirmativas parciales - Por tratarse de información confidencial,64,2019,Afirmativas parciales - Por tratarse de información confidencial,142
a31 Solicitudes de información -65 - 2019 - Afirmativas parciales - Por inexistencia,65,2019,Afirmativas parciales - Por inexistencia,424
a31 Solicitudes de información -66 - 2019 - Negativas,66,2019,Negativas,497
a31 Solicitudes de información -67 - 2019 - Negativas - Por tratarse de información reservada,67,2019,Negativas - Por tratarse de información reservada,12
a31 Solicitudes de información -68 - 2019 - Negativas - Por tratarse de información confidencial,68,2019,Negativas - Por tratarse de información confidencial,30
a31 Solicitudes de información -69 - 2019 - Negativas - Por inexistencia,69,2019,Negativas - Por inexistencia,307
a31 Solicitudes de información -70 - 2019 - Rechazada por no cumplir con los requisitos de ley,70,2019,Rechazada por no cumplir con los requisitos de ley,103
"a31 Solicitudes de información -71 - 2019 - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",71,2019,"Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",45
a31 Solicitudes de información -72 - 2019 - Ajena al ejercicio de acceso a la información,72,2019,Ajena al ejercicio de acceso a la información,
a31 Solicitudes de información -73 - 2018 - Afirmativas,73,2018,Afirmativas,691
a31 Solicitudes de información -74 - 2018 - Afirmativas parciales,74,2018,Afirmativas parciales,412
a31 Solicitudes de información -75 - 2018 - Afirmativas parciales - Por tratarse de información reservada,75,2018,Afirmativas parciales - Por tratarse de información reservada,7
a31 Solicitudes de información -76 - 2018 - Afirmativas parciales - Por tratarse de información confidencial,76,2018,Afirmativas parciales - Por tratarse de información confidencial,216
a31 Solicitudes de información -77 - 2018 - Afirmativas parciales - Por inexistencia,77,2018,Afirmativas parciales - Por inexistencia,189
a31 Solicitudes de información -78 - 2018 - Negativas,78,2018,Negativas,714
a31 Solicitudes de información -79 - 2018 - Negativas - Por tratarse de información reservada,79,2018,Negativas - Por tratarse de información reservada,5
a31 Solicitudes de información -80 - 2018 - Negativas - Por tratarse de información confidencial,80,2018,Negativas - Por tratarse de información confidencial,16
a31 Solicitudes de información -81 - 2018 - Negativas - Por inexistencia,81,2018,Negativas - Por inexistencia,235
a31 Solicitudes de información -82 - 2018 - Rechazada por no cumplir con los requisitos de ley,82,2018,Rechazada por no cumplir con los requisitos de ley,405
"a31 Solicitudes de información -83 - 2018 - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",83,2018,"Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",53
a31 Solicitudes de información -84 - 2018 - Ajena al ejercicio de acceso a la información,84,2018,Ajena al ejercicio de acceso a la información,
