name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
21 2023-2024 14MMS0647Y BGC,21,2023-2024,14MMS0647Y,BGC,Escolarizada,750,872,,1622,22,6,,28,3,3,,6,
22 2023-2024 14MMS0647Y BGC,22,2023-2024,14MMS0647Y,BGC,Escolarizada,760,860,,1620,11,8,,19,0,0,,0,
23 2023-2024 14MMS0762P BGC,23,2023-2024,14MMS0762P,BGC,Escolarizada,60,69,,129,0,0,,0,0,0,,0,
24 2023-2024 14MMS0762P BGC,24,2023-2024,14MMS0762P,BGC,Escolarizada,48,80,,128,0,0,,0,0,0,,0,
25 2023-2024 14MMS0648X BGAI,25,2023-2024,14MMS0648X,BGAI,Escolarizada,18,10,,28,0,0,,0,0,0,,0,
26 2023-2024 14MMS0648X BGC,26,2023-2024,14MMS0648X,BGC,Escolarizada,831,964,,1795,14,18,,32,3,3,,6,
27 2023-2024 14MMS0648X BGC,27,2023-2024,14MMS0648X,BGC,Escolarizada,817,977,,1794,10,19,,29,2,3,,5,
28 2023-2024 14MMS0649W BGAI,28,2023-2024,14MMS0649W,BGAI,Escolarizada,129,88,,217,1,0,,1,0,0,,0,
29 2023-2024 14MMS0649W BGC,29,2023-2024,14MMS0649W,BGC,Escolarizada,1025,1197,,2222,10,18,,28,7,4,,11,
30 2023-2024 14MMS0649W BGC,30,2023-2024,14MMS0649W,BGC,Escolarizada,961,1261,,2222,13,17,,30,1,2,,3,
31 2023-2024 14MMS0650L BGAI,31,2023-2024,14MMS0650L,BGAI,Escolarizada,86,81,,167,0,0,,0,0,0,,0,
32 2023-2024 14MMS0650L BGC,32,2023-2024,14MMS0650L,BGC,Escolarizada,830,823,,1653,12,10,,22,3,1,,4,
33 2023-2024 14MMS0650L BGC,33,2023-2024,14MMS0650L,BGC,Escolarizada,780,872,,1652,7,12,,19,0,1,,1,
34 2023-2024 14MMS0646Z BGC,34,2023-2024,14MMS0646Z,BGC,Escolarizada,1780,1430,,3210,20,22,,42,9,5,,14,
35 2023-2024 14MMS0646Z BGC,35,2023-2024,14MMS0646Z,BGC,Escolarizada,1786,1422,,3208,22,27,,49,3,5,,8,
36 2023-2024 14MMS0640E BGC,36,2023-2024,14MMS0640E,BGC,Escolarizada,335,335,,670,4,5,,9,3,0,,3,
37 2023-2024 14MMS0640E BGC,37,2023-2024,14MMS0640E,BGC,Escolarizada,332,336,,668,4,7,,11,2,0,,2,
38 2023-2024 14MMS0615F BGAI,38,2023-2024,14MMS0615F,BGAI,Escolarizada,78,81,,159,3,2,,5,0,0,,0,
39 2023-2024 14MMS0615F BGC,39,2023-2024,14MMS0615F,BGC,Escolarizada,576,811,,1387,10,13,,23,1,0,,1,
40 2023-2024 14MMS0615F BGC,40,2023-2024,14MMS0615F,BGC,Escolarizada,570,817,,1387,5,14,,19,0,2,,2,
41 2023-2024 14MMS0630Y BGAI,41,2023-2024,14MMS0630Y,BGAI,Escolarizada,21,11,,32,0,1,,1,0,0,,0,
42 2023-2024 14MMS0630Y BGC,42,2023-2024,14MMS0630Y,BGC,Escolarizada,526,567,,1093,6,8,,14,1,2,,3,
43 2023-2024 14MMS0630Y BGC,43,2023-2024,14MMS0630Y,BGC,Escolarizada,526,565,,1091,7,1,,8,0,2,,2,
44 2023-2024 14MMS0631X BGC,44,2023-2024,14MMS0631X,BGC,Escolarizada,811,879,,1690,13,11,,24,7,10,,17,
45 2023-2024 14MMS0631X BGC,45,2023-2024,14MMS0631X,BGC,Escolarizada,813,875,,1688,13,9,,22,2,7,,9,
46 2023-2024 14MMS0636S BGC,46,2023-2024,14MMS0636S,BGC,Escolarizada,764,765,,1529,12,16,,28,0,4,,4,
47 2023-2024 14MMS0636S BGC,47,2023-2024,14MMS0636S,BGC,Escolarizada,754,773,,1527,10,12,,22,4,4,,8,
48 2023-2024 14MMS0752I BGAI,48,2023-2024,14MMS0752I,BGAI,Escolarizada,85,98,,183,2,0,,2,0,0,,0,
49 2023-2024 14MMS0752I BGC,49,2023-2024,14MMS0752I,BGC,Escolarizada,377,628,,1005,4,9,,13,0,2,,2,
50 2023-2024 14MMS0752I BGC,50,2023-2024,14MMS0752I,BGC,Escolarizada,376,629,,1005,5,8,,13,4,1,,5,
51 2023-2024 14MMS0753H BGAI,51,2023-2024,14MMS0753H,BGAI,Escolarizada,18,17,,35,0,0,,0,0,0,,0,
52 2023-2024 14MMS0753H BGC,52,2023-2024,14MMS0753H,BGC,Escolarizada,700,788,,1488,11,12,,23,2,5,,7,
53 2023-2024 14MMS0753H BGC,53,2023-2024,14MMS0753H,BGC,Escolarizada,686,801,,1487,9,9,,18,1,4,,5,
54 2023-2024 14MMS0757D BGAI,54,2023-2024,14MMS0757D,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
55 2023-2024 14MMS0757D BGC,55,2023-2024,14MMS0757D,BGC,Escolarizada,638,762,,1400,9,11,,20,2,3,,5,
56 2023-2024 14MMS0757D BGC,56,2023-2024,14MMS0757D,BGC,Escolarizada,639,760,,1399,11,14,,25,2,0,,2,
57 2023-2024 14MMS0756E BGAI,57,2023-2024,14MMS0756E,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
58 2023-2024 14MMS0756E BGC,58,2023-2024,14MMS0756E,BGC,Escolarizada,715,735,,1450,11,11,,22,10,4,,14,
59 2023-2024 14MMS0756E BGC,59,2023-2024,14MMS0756E,BGC,Escolarizada,672,777,,1449,15,9,,24,4,6,,10,
60 2023-2024 14MMS0878P BGC,60,2023-2024,14MMS0878P,BGC,Escolarizada,239,232,,471,1,2,,3,4,2,,6,
61 2023-2024 14MMS0878P BGC,61,2023-2024,14MMS0878P,BGC,Escolarizada,232,238,,470,2,0,,2,1,3,,4,
62 2023-2024 14MMS0844Z BGC,62,2023-2024,14MMS0844Z,BGC,Escolarizada,799,768,,1567,12,15,,27,2,2,,4,
63 2023-2024 14MMS0844Z BGC,63,2023-2024,14MMS0844Z,BGC,Escolarizada,755,812,,1567,6,9,,15,1,3,,4,
64 2023-2024 14MMS0607X BGAI,64,2023-2024,14MMS0607X,BGAI,Escolarizada,75,63,,138,1,2,,3,0,0,,0,
65 2023-2024 14MMS0607X BGC,65,2023-2024,14MMS0607X,BGC,Escolarizada,643,715,,1358,18,16,,34,3,4,,7,
66 2023-2024 14MMS0607X BGC,66,2023-2024,14MMS0607X,BGC,Escolarizada,626,731,,1357,12,6,,18,1,1,,2,
67 2023-2024 14MMS0645Z BGAI,67,2023-2024,14MMS0645Z,BGAI,Escolarizada,73,72,,145,1,0,,1,3,0,,3,
68 2023-2024 14MMS0645Z BGC,68,2023-2024,14MMS0645Z,BGC,Escolarizada,733,977,,1710,10,7,,17,0,2,,2,
69 2023-2024 14MMS0645Z BGC,69,2023-2024,14MMS0645Z,BGC,Escolarizada,719,989,,1708,14,17,,31,4,2,,6,
70 2023-2024 14MMS0623O BGAI,70,2023-2024,14MMS0623O,BGAI,Escolarizada,101,94,,195,2,0,,2,0,0,,0,
71 2023-2024 14MMS0623O BGC,71,2023-2024,14MMS0623O,BGC,Escolarizada,956,1124,,2080,10,17,,27,1,1,,2,
72 2023-2024 14MMS0623O BGC,72,2023-2024,14MMS0623O,BGC,Escolarizada,956,1123,,2079,14,20,,34,0,3,,3,
73 2023-2024 14MMS0614G BGC,73,2023-2024,14MMS0614G,BGC,Escolarizada,1228,1506,,2734,21,31,,52,1,1,,2,
74 2023-2024 14MMS0614G BGC,74,2023-2024,14MMS0614G,BGC,Escolarizada,1254,1479,,2733,13,27,,40,2,4,,6,
75 2023-2024 14MMS0643B BGAI,75,2023-2024,14MMS0643B,BGAI,Escolarizada,24,38,,62,0,0,,0,0,0,,0,
76 2023-2024 14MMS0643B BGC,76,2023-2024,14MMS0643B,BGC,Escolarizada,230,253,,483,2,1,,3,0,1,,1,
77 2023-2024 14MMS0643B BGC,77,2023-2024,14MMS0643B,BGC,Escolarizada,236,247,,483,4,1,,5,0,1,,1,
78 2023-2024 14MMS0705Y BGAI,78,2023-2024,14MMS0705Y,BGAI,Escolarizada,21,39,,60,0,0,,0,0,0,,0,
79 2023-2024 14MMS0705Y BGC,79,2023-2024,14MMS0705Y,BGC,Escolarizada,165,219,,384,5,3,,8,0,0,,0,
80 2023-2024 14MMS0705Y BGC,80,2023-2024,14MMS0705Y,BGC,Escolarizada,157,227,,384,2,3,,5,0,0,,0,
81 2023-2024 14MMS0617D BGC,81,2023-2024,14MMS0617D,BGC,Escolarizada,255,314,,569,2,6,,8,0,0,,0,
82 2023-2024 14MMS0617D BGC,82,2023-2024,14MMS0617D,BGC,Escolarizada,256,312,,568,2,4,,6,0,0,,0,
83 2023-2024 14MMS0662Q BGC,83,2023-2024,14MMS0662Q,BGC,Escolarizada,99,138,,237,0,1,,1,0,0,,0,
84 2023-2024 14MMS0663P BGC,84,2023-2024,14MMS0663P,BGC,Escolarizada,33,38,,71,0,0,,0,0,0,,0,
85 2023-2024 14MMS0663P BGC,85,2023-2024,14MMS0663P,BGC,Escolarizada,33,38,,71,1,1,,2,0,0,,0,
86 2023-2024 14MMS0664O BGC,86,2023-2024,14MMS0664O,BGC,Escolarizada,89,74,,163,0,0,,0,0,1,,1,
87 2023-2024 14MMS0665N BGC,87,2023-2024,14MMS0665N,BGC,Escolarizada,76,87,,163,1,0,,1,0,0,,0,
88 2023-2024 14MMS0665N BGC,88,2023-2024,14MMS0665N,BGC,Escolarizada,77,84,,161,0,1,,1,0,0,,0,
89 2023-2024 14MMS0619B BGAI,89,2023-2024,14MMS0619B,BGAI,Escolarizada,21,19,,40,0,0,,0,0,0,,0,
90 2023-2024 14MMS0619B BGC,90,2023-2024,14MMS0619B,BGC,Escolarizada,331,434,,765,11,10,,21,0,0,,0,
91 2023-2024 14MMS0619B BGC,91,2023-2024,14MMS0619B,BGC,Escolarizada,367,397,,764,11,6,,17,1,1,,2,
92 2023-2024 14MMS0666M BGC,92,2023-2024,14MMS0666M,BGC,Escolarizada,53,76,,129,3,0,,3,2,0,,2,
93 2023-2024 14MMS0666M BGC,93,2023-2024,14MMS0666M,BGC,Escolarizada,44,85,,129,0,0,,0,0,2,,2,
94 2023-2024 14MMS0667L BGC,94,2023-2024,14MMS0667L,BGC,Escolarizada,52,104,,156,0,0,,0,0,0,,0,
95 2023-2024 14MMS0667L BGC,95,2023-2024,14MMS0667L,BGC,Escolarizada,65,89,,154,0,0,,0,0,0,,0,
96 2023-2024 14MMS0728I BGC,96,2023-2024,14MMS0728I,BGC,Escolarizada,51,73,,124,1,0,,1,0,0,,0,
97 2023-2024 14MMS0718B BGC,97,2023-2024,14MMS0718B,BGC,Escolarizada,116,112,,228,0,0,,0,0,0,,0,
98 2023-2024 14MMS0718B BGC,98,2023-2024,14MMS0718B,BGC,Escolarizada,112,115,,227,0,1,,1,0,0,,0,
99 2023-2024 14MMS0750K BGC,99,2023-2024,14MMS0750K,BGC,Escolarizada,142,197,,339,10,8,,18,0,0,,0,
100 2023-2024 14MMS0618C BGAI,100,2023-2024,14MMS0618C,BGAI,Escolarizada,15,19,,34,0,1,,1,0,0,,0,
101 2023-2024 14MMS0618C BGC,101,2023-2024,14MMS0618C,BGC,Escolarizada,389,450,,839,6,4,,10,0,0,,0,
102 2023-2024 14MMS0618C BGC,102,2023-2024,14MMS0618C,BGC,Escolarizada,387,451,,838,0,5,,5,0,0,,0,
103 2023-2024 14MMS0747X BGC,103,2023-2024,14MMS0747X,BGC,Escolarizada,222,269,,491,1,3,,4,1,1,,2,
104 2023-2024 14MMS0668K BGC,104,2023-2024,14MMS0668K,BGC,Escolarizada,151,190,,341,0,2,,2,0,1,,1,
105 2023-2024 14MMS0668K BGC,105,2023-2024,14MMS0668K,BGC,Escolarizada,179,161,,340,2,0,,2,0,0,,0,
106 2023-2024 14MMS0621Q BGC,106,2023-2024,14MMS0621Q,BGC,Escolarizada,431,479,,910,10,11,,21,3,1,,4,
107 2023-2024 14MMS0621Q BGC,107,2023-2024,14MMS0621Q,BGC,Escolarizada,419,490,,909,6,10,,16,2,2,,4,
108 2023-2024 14MMS0635T BGC,108,2023-2024,14MMS0635T,BGC,Escolarizada,310,369,,679,2,4,,6,1,1,,2,
109 2023-2024 14MMS0635T BGC,109,2023-2024,14MMS0635T,BGC,Escolarizada,338,339,,677,4,5,,9,0,0,,0,
110 2023-2024 14MMS0732V BGC,110,2023-2024,14MMS0732V,BGC,Escolarizada,107,94,,201,0,0,,0,35,38,,73,
111 2023-2024 14MMS0622P BGC,111,2023-2024,14MMS0622P,BGC,Escolarizada,127,133,,260,3,1,,4,0,0,,0,
112 2023-2024 14MMS0622P BGC,112,2023-2024,14MMS0622P,BGC,Escolarizada,121,138,,259,0,1,,1,0,0,,0,
113 2023-2024 14MMS0733U BGC,113,2023-2024,14MMS0733U,BGC,Escolarizada,49,54,,103,0,0,,0,0,1,,1,
114 2023-2024 14MMS0674V BGC,114,2023-2024,14MMS0674V,BGC,Escolarizada,72,94,,166,0,0,,0,0,0,,0,
115 2023-2024 14MMS0734T BGC,115,2023-2024,14MMS0734T,BGC,Escolarizada,34,41,,75,0,0,,0,0,0,,0,
116 2023-2024 14MMS0675U BGC,116,2023-2024,14MMS0675U,BGC,Escolarizada,67,63,,130,0,3,,3,0,0,,0,
117 2023-2024 14MMS0676T BGC,117,2023-2024,14MMS0676T,BGC,Escolarizada,51,68,,119,0,0,,0,0,0,,0,
118 2023-2024 14MMS0676T BGC,118,2023-2024,14MMS0676T,BGC,Escolarizada,52,67,,119,0,0,,0,0,0,,0,
119 2023-2024 14MMS0735S BGC,119,2023-2024,14MMS0735S,BGC,Escolarizada,45,37,,82,0,0,,0,0,0,,0,
120 2023-2024 14MMS0736R BGC,120,2023-2024,14MMS0736R,BGC,Escolarizada,65,60,,125,1,1,,2,0,0,,0,
121 2023-2024 14MMS0737Q BGC,121,2023-2024,14MMS0737Q,BGC,Escolarizada,46,50,,96,2,0,,2,0,1,,1,
122 2023-2024 14MMS0677S BGC,122,2023-2024,14MMS0677S,BGC,Escolarizada,69,54,,123,0,0,,0,0,0,,0,
123 2023-2024 14MMS0677S BGC,123,2023-2024,14MMS0677S,BGC,Escolarizada,54,67,,121,0,0,,0,0,0,,0,
124 2023-2024 14MMS0758C BGC,124,2023-2024,14MMS0758C,BGC,Escolarizada,98,101,,199,0,0,,0,0,0,,0,
125 2023-2024 14MMS0626L BGC,125,2023-2024,14MMS0626L,BGC,Escolarizada,454,595,,1049,11,16,,27,3,5,,8,
126 2023-2024 14MMS0626L BGC,126,2023-2024,14MMS0626L,BGC,Escolarizada,460,588,,1048,13,10,,23,0,1,,1,
127 2023-2024 14MMS0680F BGC,127,2023-2024,14MMS0680F,BGC,Escolarizada,116,106,,222,0,0,,0,0,0,,0,
128 2023-2024 14MMS0681E BGC,128,2023-2024,14MMS0681E,BGC,Escolarizada,115,142,,257,7,5,,12,0,0,,0,
129 2023-2024 14MMS0651K BGC,129,2023-2024,14MMS0651K,BGC,Escolarizada,266,314,,580,8,5,,13,1,1,,2,
130 2023-2024 14MMS0651K BGC,130,2023-2024,14MMS0651K,BGC,Escolarizada,260,319,,579,2,7,,9,1,1,,2,
131 2023-2024 14MMS0698E BGC,131,2023-2024,14MMS0698E,BGC,Escolarizada,92,94,,186,1,0,,1,0,0,,0,
132 2023-2024 14MMS0698E BGC,132,2023-2024,14MMS0698E,BGC,Escolarizada,92,92,,184,2,0,,2,0,0,,0,
133 2023-2024 14MMS0624N BGC,133,2023-2024,14MMS0624N,BGC,Escolarizada,159,220,,379,1,2,,3,0,0,,0,
134 2023-2024 14MMS0624N BGC,134,2023-2024,14MMS0624N,BGC,Escolarizada,168,210,,378,0,0,,0,0,1,,1,
135 2023-2024 14MMS0683C BGC,135,2023-2024,14MMS0683C,BGC,Escolarizada,84,105,,189,2,2,,4,0,0,,0,
136 2023-2024 14MMS0683C BGC,136,2023-2024,14MMS0683C,BGC,Escolarizada,83,105,,188,0,4,,4,0,2,,2,
137 2023-2024 14MMS0682D BGC,137,2023-2024,14MMS0682D,BGC,Escolarizada,63,102,,165,0,1,,1,1,0,,1,
138 2023-2024 14MMS0682D BGC,138,2023-2024,14MMS0682D,BGC,Escolarizada,75,90,,165,0,0,,0,0,0,,0,
139 2023-2024 14MMS0738P BGC,139,2023-2024,14MMS0738P,BGC,Escolarizada,52,53,,105,0,1,,1,3,8,,11,
140 2023-2024 14MMS0625M BGAI,140,2023-2024,14MMS0625M,BGAI,Escolarizada,10,25,,35,0,0,,0,0,0,,0,
141 2023-2024 14MMS0625M BGC,141,2023-2024,14MMS0625M,BGC,Escolarizada,142,186,,328,4,0,,4,9,11,,20,
142 2023-2024 14MMS0625M BGC,142,2023-2024,14MMS0625M,BGC,Escolarizada,163,165,,328,5,3,,8,2,7,,9,
143 2023-2024 14MMS0684B BGC,143,2023-2024,14MMS0684B,BGC,Escolarizada,72,89,,161,0,1,,1,0,0,,0,
144 2023-2024 14MMS0687Z BGC,144,2023-2024,14MMS0687Z,BGC,Escolarizada,49,44,,93,0,1,,1,1,0,,1,
145 2023-2024 14MMS0688Y BGC,145,2023-2024,14MMS0688Y,BGC,Escolarizada,76,96,,172,0,4,,4,6,5,,11,
146 2023-2024 14MMS0652J BGC,146,2023-2024,14MMS0652J,BGC,Escolarizada,141,189,,330,4,3,,7,0,1,,1,
147 2023-2024 14MMS0652J BGC,147,2023-2024,14MMS0652J,BGC,Escolarizada,162,167,,329,7,2,,9,0,0,,0,
148 2023-2024 14MMS0726K BGC,148,2023-2024,14MMS0726K,BGC,Escolarizada,61,44,,105,0,0,,0,0,0,,0,
149 2023-2024 14MMS0642C BGC,149,2023-2024,14MMS0642C,BGC,Escolarizada,150,167,,317,4,2,,6,0,1,,1,
150 2023-2024 14MMS0642C BGC,150,2023-2024,14MMS0642C,BGC,Escolarizada,144,173,,317,4,3,,7,0,0,,0,
151 2023-2024 14MMS0661R BGC,151,2023-2024,14MMS0661R,BGC,Escolarizada,88,74,,162,0,1,,1,0,0,,0,
152 2023-2024 14MMS0641D BGC,152,2023-2024,14MMS0641D,BGC,Escolarizada,112,145,,257,1,3,,4,0,0,,0,
153 2023-2024 14MMS0641D BGC,153,2023-2024,14MMS0641D,BGC,Escolarizada,111,146,,257,2,1,,3,0,0,,0,
154 2023-2024 14MMS0760R BGC,154,2023-2024,14MMS0760R,BGC,Escolarizada,41,41,,82,0,0,,0,0,0,,0,
155 2023-2024 14MMS0637R BGC,155,2023-2024,14MMS0637R,BGC,Escolarizada,217,257,,474,1,0,,1,0,0,,0,
156 2023-2024 14MMS0637R BGC,156,2023-2024,14MMS0637R,BGC,Escolarizada,222,252,,474,4,1,,5,0,0,,0,
157 2023-2024 14MMS0671Y BGC,157,2023-2024,14MMS0671Y,BGC,Escolarizada,41,41,,82,0,0,,0,0,0,,0,
158 2023-2024 14MMS0671Y BGC,158,2023-2024,14MMS0671Y,BGC,Escolarizada,36,44,,80,0,0,,0,0,0,,0,
159 2023-2024 14MMS0673W BGC,159,2023-2024,14MMS0673W,BGC,Escolarizada,68,67,,135,0,1,,1,0,0,,0,
160 2023-2024 14MMS0673W BGC,160,2023-2024,14MMS0673W,BGC,Escolarizada,68,65,,133,0,0,,0,0,0,,0,
161 2023-2024 14MMS0731W BGC,161,2023-2024,14MMS0731W,BGC,Escolarizada,83,82,,165,3,1,,4,0,0,,0,
162 2023-2024 14MMS0685A BGC,162,2023-2024,14MMS0685A,BGC,Escolarizada,81,90,,171,0,0,,0,5,2,,7,
163 2023-2024 14MMS0685A BGC,163,2023-2024,14MMS0685A,BGC,Escolarizada,68,102,,170,0,1,,1,1,4,,5,
164 2023-2024 14MMS0686Z BGC,164,2023-2024,14MMS0686Z,BGC,Escolarizada,57,55,,112,0,0,,0,34,14,,48,
165 2023-2024 14MMS0686Z BGC,165,2023-2024,14MMS0686Z,BGC,Escolarizada,46,65,,111,1,0,,1,10,10,,20,
166 2023-2024 14MMS0693J BGC,166,2023-2024,14MMS0693J,BGC,Escolarizada,209,200,,409,0,0,,0,0,0,,0,
167 2023-2024 14MMS0693J BGC,167,2023-2024,14MMS0693J,BGC,Escolarizada,189,218,,407,0,0,,0,0,0,,0,
168 2023-2024 14MMS0678R BGC,168,2023-2024,14MMS0678R,BGC,Escolarizada,120,129,,249,1,0,,1,0,0,,0,
169 2023-2024 14MMS0653I BGC,169,2023-2024,14MMS0653I,BGC,Escolarizada,233,294,,527,1,3,,4,1,0,,1,
170 2023-2024 14MMS0653I BGC,170,2023-2024,14MMS0653I,BGC,Escolarizada,229,296,,525,2,1,,3,0,0,,0,
171 2023-2024 14MMS0691L BGC,171,2023-2024,14MMS0691L,BGC,Escolarizada,90,104,,194,2,1,,3,0,0,,0,
172 2023-2024 14MMS0692K BGC,172,2023-2024,14MMS0692K,BGC,Escolarizada,120,141,,261,3,5,,8,0,0,,0,
173 2023-2024 14MMS0818A BGAI,173,2023-2024,14MMS0818A,BGAI,Escolarizada,10,21,,31,1,0,,1,0,0,,0,
174 2023-2024 14MMS0818A BGC,174,2023-2024,14MMS0818A,BGC,Escolarizada,851,1185,,2036,14,19,,33,0,4,,4,
175 2023-2024 14MMS0818A BGC,175,2023-2024,14MMS0818A,BGC,Escolarizada,871,1165,,2036,10,17,,27,1,3,,4,
176 2023-2024 14MMS0879O BGC,176,2023-2024,14MMS0879O,BGC,Escolarizada,66,66,,132,3,0,,3,0,0,,0,
177 2023-2024 14MMS0879O BGC,177,2023-2024,14MMS0879O,BGC,Escolarizada,54,76,,130,0,1,,1,0,0,,0,
178 2023-2024 14MMS0764N BGC,178,2023-2024,14MMS0764N,BGC,Escolarizada,42,75,,117,0,0,,0,0,0,,0,
179 2023-2024 14MMS0628J BGC,179,2023-2024,14MMS0628J,BGC,Escolarizada,399,508,,907,14,14,,28,4,3,,7,
180 2023-2024 14MMS0628J BGC,180,2023-2024,14MMS0628J,BGC,Escolarizada,389,517,,906,5,3,,8,1,2,,3,
181 2023-2024 14MMS0697F BGC,181,2023-2024,14MMS0697F,BGC,Escolarizada,32,66,,98,0,1,,1,0,0,,0,
182 2023-2024 14MMS0697F BGC,182,2023-2024,14MMS0697F,BGC,Escolarizada,33,63,,96,0,1,,1,0,0,,0,
183 2023-2024 14MMS0694I BGC,183,2023-2024,14MMS0694I,BGC,Escolarizada,27,57,,84,1,0,,1,0,0,,0,
184 2023-2024 14MMS0694I BGC,184,2023-2024,14MMS0694I,BGC,Escolarizada,27,57,,84,2,3,,5,0,0,,0,
185 2023-2024 14MMS0695H BGC,185,2023-2024,14MMS0695H,BGC,Escolarizada,110,112,,222,0,0,,0,0,0,,0,
186 2023-2024 14MMS0695H BGC,186,2023-2024,14MMS0695H,BGC,Escolarizada,96,125,,221,1,0,,1,0,0,,0,
187 2023-2024 14MMS0696G BGC,187,2023-2024,14MMS0696G,BGC,Escolarizada,118,161,,279,1,1,,2,0,0,,0,
188 2023-2024 14MMS0696G BGC,188,2023-2024,14MMS0696G,BGC,Escolarizada,122,155,,277,1,0,,1,0,0,,0,
189 2023-2024 14MMS0739O BGC,189,2023-2024,14MMS0739O,BGC,Escolarizada,50,52,,102,0,1,,1,0,1,,1,
190 2023-2024 14MMS0739O BGC,190,2023-2024,14MMS0739O,BGC,Escolarizada,47,54,,101,0,0,,0,0,1,,1,
191 2023-2024 14MMS0644A BGC,191,2023-2024,14MMS0644A,BGC,Escolarizada,207,205,,412,3,2,,5,2,0,,2,
192 2023-2024 14MMS0644A BGC,192,2023-2024,14MMS0644A,BGC,Escolarizada,193,218,,411,3,6,,9,1,0,,1,
193 2023-2024 14MMS0717C BGC,193,2023-2024,14MMS0717C,BGC,Escolarizada,100,112,,212,2,0,,2,0,0,,0,
194 2023-2024 14MMS0717C BGC,194,2023-2024,14MMS0717C,BGC,Escolarizada,117,94,,211,1,0,,1,0,0,,0,
195 2023-2024 14MMS0741C BGC,195,2023-2024,14MMS0741C,BGC,Escolarizada,48,58,,106,0,0,,0,0,0,,0,
196 2023-2024 14MMS0722O BGC,196,2023-2024,14MMS0722O,BGC,Escolarizada,140,134,,274,2,3,,5,0,0,,0,
197 2023-2024 14MMS0722O BGC,197,2023-2024,14MMS0722O,BGC,Escolarizada,126,147,,273,2,3,,5,0,0,,0,
198 2023-2024 14MMS0798D BGC,198,2023-2024,14MMS0798D,BGC,Escolarizada,193,241,,434,3,2,,5,1,2,,3,
199 2023-2024 14MMS0798D BGC,199,2023-2024,14MMS0798D,BGC,Escolarizada,213,221,,434,3,1,,4,0,0,,0,
200 2023-2024 14MMS0714F BGC,200,2023-2024,14MMS0714F,BGC,Escolarizada,100,141,,241,3,4,,7,0,0,,0,
201 2023-2024 14MMS0714F BGC,201,2023-2024,14MMS0714F,BGC,Escolarizada,127,114,,241,2,1,,3,0,0,,0,
202 2023-2024 14MMS0706X BGC,202,2023-2024,14MMS0706X,BGC,Escolarizada,185,233,,418,4,8,,12,0,1,,1,
203 2023-2024 14MMS0706X BGC,203,2023-2024,14MMS0706X,BGC,Escolarizada,190,227,,417,5,7,,12,0,0,,0,
204 2023-2024 14MMS0748W BGC,204,2023-2024,14MMS0748W,BGC,Escolarizada,36,55,,91,0,0,,0,0,0,,0,
205 2023-2024 14MMS0748W BGC,205,2023-2024,14MMS0748W,BGC,Escolarizada,38,52,,90,0,0,,0,0,0,,0,
206 2023-2024 14MMS0639P BGC,206,2023-2024,14MMS0639P,BGC,Escolarizada,139,143,,282,1,1,,2,1,0,,1,
207 2023-2024 14MMS0639P BGC,207,2023-2024,14MMS0639P,BGC,Escolarizada,139,141,,280,4,0,,4,0,1,,1,
208 2023-2024 14MMS0616E BGC,208,2023-2024,14MMS0616E,BGC,Escolarizada,171,279,,450,2,2,,4,0,0,,0,
209 2023-2024 14MMS0616E BGC,209,2023-2024,14MMS0616E,BGC,Escolarizada,193,256,,449,2,3,,5,1,0,,1,
210 2023-2024 14MMS0827I BGC,210,2023-2024,14MMS0827I,BGC,Escolarizada,64,63,,127,0,0,,0,0,0,,0,
211 2023-2024 14MMS0827I BGC,211,2023-2024,14MMS0827I,BGC,Escolarizada,55,71,,126,0,0,,0,0,0,,0,
212 2023-2024 14MMS0699D BGC,212,2023-2024,14MMS0699D,BGC,Escolarizada,47,66,,113,1,0,,1,0,0,,0,
213 2023-2024 14MMS0699D BGC,213,2023-2024,14MMS0699D,BGC,Escolarizada,42,69,,111,0,1,,1,0,0,,0,
214 2023-2024 14MMS0707W BGC,214,2023-2024,14MMS0707W,BGC,Escolarizada,187,227,,414,1,1,,2,0,0,,0,
215 2023-2024 14MMS0707W BGC,215,2023-2024,14MMS0707W,BGC,Escolarizada,187,226,,413,0,1,,1,0,1,,1,
216 2023-2024 14MMS0701B BGC,216,2023-2024,14MMS0701B,BGC,Escolarizada,252,315,,567,1,5,,6,1,1,,2,
217 2023-2024 14MMS0701B BGC,217,2023-2024,14MMS0701B,BGC,Escolarizada,273,293,,566,3,3,,6,0,1,,1,
218 2023-2024 14MMS0702A BGC,218,2023-2024,14MMS0702A,BGC,Escolarizada,89,114,,203,1,0,,1,0,0,,0,
219 2023-2024 14MMS0703Z BGC,219,2023-2024,14MMS0703Z,BGC,Escolarizada,74,70,,144,0,1,,1,20,24,,44,
220 2023-2024 14MMS0703Z BGC,220,2023-2024,14MMS0703Z,BGC,Escolarizada,55,88,,143,0,0,,0,13,25,,38,
221 2023-2024 14MMS0634U BGC,221,2023-2024,14MMS0634U,BGC,Escolarizada,598,773,,1371,11,18,,29,1,0,,1,
