name,orden,ciclo,anio,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
2022 14MMS0752I Prepa 17,21,2022 - 2023,2022,SEMS,,14MMS0752I,Escuela Preparatoria Núm. 17,Prepa 17,Escuela,Metropolitano,Región Centro,El Salto,El Salto,Avenida Emiliano Zapata,2568,F - 2,45690,http://prepa17.sems.udg.mx,prepa17.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+17+UdeG/@20.5746673,-103.3249234,16.38z/data=!4m6!3m5!1s0x842f4d2d299080e7:0x72d799268b04c7d6!8m2!3d20.5738592!4d-103.3213252!16s%2Fg%2F113h89t4q?entry=ttu",,
2022 14MMS0753H Prepa 18,22,2022 - 2023,2022,SEMS,,14MMS0753H,Escuela Preparatoria Núm. 18,Prepa 18,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Hacienda Cedros,1950,N/A,44700,http://prepa18.sems.udg.mx,prepa18.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+18+UdeG/@20.6887076,-103.2848953,17.83z/data=!4m14!1m7!3m6!1s0x8428b143f8a30183:0xdc2bd92b6c010230!2sEscuela+Preparatoria+No.+18+UdeG!8m2!3d20.6879895!4d-103.2836402!16s%2Fg%2F1hhp2qqzq!3m5!1s0x8428b143f8a30183:0xdc2bd92b6c010230!8m2!3d20.6879895!4d-103.2836402!16s%2Fg%2F1hhp2qqzq?entry=ttu",,
2022 14MMS0757D Prepa 19,23,2022 - 2023,2022,SEMS,,14MMS0757D,Escuela Preparatoria Núm. 19,Prepa 19,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Paseo del Almendro,S/N,N/A,45200,http://prepa19.sems.udg.mx,prepa19.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+19+UdeG/@20.8147825,-103.4877357,18.94z/data=!4m14!1m7!3m6!1s0x8428afe687e1de01:0x16330ddb8268e18b!2sEscuela+Preparatoria+No.+19+UdeG!8m2!3d20.8152203!4d-103.4866657!16s%2Fg%2F1q5gkfky8!3m5!1s0x8428afe687e1de01:0x16330ddb8268e18b!8m2!3d20.8152203!4d-103.4866657!16s%2Fg%2F1q5gkfky8?entry=ttu",,
2022 14MMS0756E Prepa 20,24,2022 - 2023,2022,SEMS,,14MMS0756E,Escuela Preparatoria Núm. 20,Prepa 20,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Paseos del bosque,S/N,N/A,45066,http://prepa20.sems.udg.mx,prepa20.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+20+UdeG/@20.6291983,-103.4785905,17.83z/data=!4m14!1m7!3m6!1s0x8428abbe39610cfd:0x37ecd81d05cf231e!2sEscuela+Preparatoria+No.+20+UdeG!8m2!3d20.6283391!4d-103.4771508!16s%2Fg%2F1hm58cbpp!3m5!1s0x8428abbe39610cfd:0x37ecd81d05cf231e!8m2!3d20.6283391!4d-103.4771508!16s%2Fg%2F1hm58cbpp?entry=ttu",,
2022 14MMS0878P Prepa 21,25,2022 - 2023,2022,SEMS,,14MMS0878P,Escuela Preparatoria Núm. 21,Prepa 21,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Carretera Guadalajara-Colotlán,Km 6.5,N/A,45200,http://prepa21.sems.udg.mx,prepa21.sems.udg.mx,"https://www.google.com.mx/maps/place/Prepa+21+U+de+G/@20.8425646,-103.4540495,16.1z/data=!4m6!3m5!1s0x8428a7e3b2badf77:0x17f29f2958e1544a!8m2!3d20.8382026!4d-103.453307!16s%2Fg%2F11spdq3rm5?entry=ttu",,
2022 14MMS0844Z Prepa 22,26,2022 - 2023,2022,SEMS,,14MMS0844Z,Escuela Preparatoria Núm. 22,Prepa 22,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Pedro Coronel,S/N,N/A,45559,http://prepa22.sems.udg.mx,prepa22.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+No.+22+UdeG/@20.6334298,-103.3018773,19.22z/data=!4m6!3m5!1s0x8428b3eb027d7245:0xbb4b9f45da066e6e!8m2!3d20.6331458!4d-103.3015588!16s%2Fg%2F11gmfrgrqf?entry=ttu",,
2022 14MMS0614G Escuela Vocacional,27,2022 - 2023,2022,SEMS,,14MMS0614G,Escuela Vocacional,Escuela Vocacional,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Boulevard Gral. Marcelino García Barragán,32,N/A,44430,http://voca.sems.udg.mx,voca.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Vocacional+de+Guadalajara/@20.6537942,-103.3277039,17.35z/data=!4m14!1m7!3m6!1s0x8428b23ad59e56b5:0xcf6885106ee7b409!2sEscuela+Vocacional+de+Guadalajara!8m2!3d20.6564546!4d-103.3274373!16s%2Fg%2F1tfshqlv!3m5!1s0x8428b23ad59e56b5:0xcf6885106ee7b409!8m2!3d20.6564546!4d-103.3274373!16s%2Fg%2F1tfshqlv?entry=ttu",,
2022 14MMS0776S Poli de Guadalajara,28,2022 - 2023,2022,SEMS,,14MMS0776S,Escuela Politécnica de Guadalajara,Poli de Guadalajara,Escuela,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Revolución,1500,N/A,44420,http://politecnica.sems.udg.mx,politecnica.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Polit%C3%A9cnica+de+Guadalajara/@20.6590512,-103.3276709,17z/data=!4m14!1m7!3m6!1s0x8428b225975e7b8d:0x10d733ff85e0db84!2sEscuela+Polit%C3%A9cnica+de+Guadalajara!8m2!3d20.6590462!4d-103.325096!16s%2Fg%2F1tjkg376!3m5!1s0x8428b225975e7b8d:0x10d733ff85e0db84!8m2!3d20.6590462!4d-103.325096!16s%2Fg%2F1tjkg376?entry=ttu",,
2022 14MMS0799C Poli Ing. Jorge Matute Remus,29,2022 - 2023,2022,SEMS,,14MMS0799C,Escuela Politécnica Ing. Jorge Matute Remus,Poli Ing. Jorge Matute Remus,Escuela,Metropolitano,Región Centro,Zapopan,Zapopan,Calle La Grana,430,1,45132,http://www.politecnicamatute.sems.udg.mx,www.politecnicamatute.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Polit%C3%A9cnica+Ing.+Jorge+Matute+Remus/@20.7459436,-103.3826509,17.28z/data=!4m14!1m7!3m6!1s0x8428af9bb3238c5f:0xce621a215c6902a8!2sEscuela+Polit%C3%A9cnica+Ing.+Jorge+Matute+Remus!8m2!3d20.7458452!4d-103.3805902!16s%2Fg%2F1vvr6jky!3m5!1s0x8428af9bb3238c5f:0xce621a215c6902a8!8m2!3d20.7458452!4d-103.3805902!16s%2Fg%2F1vvr6jky?entry=ttu",,
2022 14MMS0645Z Prepa Tonalá,30,2022 - 2023,2022,SEMS,,14MMS0645Z,Escuela Preparatoria de Tonalá,Prepa Tonalá,Escuela,Metropolitano,Región Centro,Tonalá,Tonalá,Calle Independencia,232,N/A,45400,http://prepatonala.sems.udg.mx,prepatonala.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+de+Tonal%C3%A1/@20.6247379,-103.2358903,18.54z/data=!4m6!3m5!1s0x8428b4f6fff7d44f:0x5c5950483a256c2d!8m2!3d20.6245314!4d-103.2347917!16s%2Fg%2F1wnf1cc3?entry=ttu",,
