row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado,
112,5031200004,Licenciatura en Antropología,Licenciatura,031200,030000,031000,031200,
113,5031200004,Licenciatura en Antropología,Licenciatura,031200,030000,031000,031200,
114,5031200031,Licenciatura en Sociología,Licenciatura,031200,030000,031000,031200,
115,5031200031,Licenciatura en Sociología,Licenciatura,031200,030000,031000,031200,
116,5031300010,Licenciatura en Estudios Políticos y Gobierno,Licenciatura,031300,030000,031000,031300,
117,5031300010,Licenciatura en Estudios Políticos y Gobierno,Licenciatura,031300,030000,031000,031300,
118,5031300014,Licenciatura en Relaciones Internacionales,Licenciatura,031300,030000,031000,031300,
119,5031300014,Licenciatura en Relaciones Internacionales,Licenciatura,031300,030000,031000,031300,
120,5031300044,Licenciatura en Construcción de la Paz y Seguridad,Licenciatura,031300,030000,031000,031300,
121,5031300044,Licenciatura en Construcción De La Paz y Seguridad,Licenciatura,031300,030000,031000,031300,
122,5031400003,Licenciatura en Economía,Licenciatura,031400,030000,031000,031400,
123,5031400003,Licenciatura en Economía,Licenciatura,031400,030000,031000,031400,
124,5031500008,Licenciatura en Gerontología,Licenciatura,031500,030000,031000,031500,
125,5031500008,Licenciatura en Gerontología,Licenciatura,031500,030000,031000,031500,
126,5031500010,Licenciatura en Trabajo Social,Licenciatura,031500,030000,031000,031500,
127,5031500010,Licenciatura en Trabajo Social,Licenciatura,031500,030000,031000,031500,
128,5032100001,Licenciatura en Periodismo Digital,Licenciatura,032100,030000,032000,032100,
129,5032100001,Licenciatura en Periodismo Digital,Licenciatura,032100,030000,032000,032100,
130,5032100027,Licenciatura en Comunicación Pública,Licenciatura,032100,030000,032000,032100,
131,5032100027,Licenciatura en Comunicación Pública,Licenciatura,032100,030000,032000,032100,
132,5032100038,Licenciatura en Periodismo,Licenciatura,032100,030000,032000,032100,
133,5032100038,Licenciatura en Periodismo,Licenciatura,032100,030000,032000,032100,
134,5032100065,Licenciatura en Relaciones Públicas y Comunicación,Licenciatura,032100,030000,032000,032100,
135,5032100065,Licenciatura en Relaciones Públicas y Comunicación,Licenciatura,032100,030000,032000,032100,
136,5032200003,Licenciatura en Bibliotecología,Licenciatura,032200,030000,032000,032200,
137,5032200003,Licenciatura en Bibliotecología,Licenciatura,032200,030000,032000,032200,
138,5032200012,Licenciatura en Bibliotecología y Gestión del Conocimiento,Licenciatura,032200,030000,032000,032200,
139,5032200012,Licenciatura en Bibliotecología y Gestión del Conocimiento,Licenciatura,032200,030000,032000,032200,
140,5033100003,Abogado,Licenciatura,033100,030000,033000,033100,
141,5033200006,Licenciatura en Criminología,Licenciatura,033200,030000,033000,033200,
142,5033200006,Licenciatura en Criminología,Licenciatura,033200,030000,033000,033200,
143,5033200024,Licenciatura en Ciencias Forenses,Licenciatura,033200,030000,033000,033200,
144,5033200024,Licenciatura en Ciencias Forenses,Licenciatura,033200,030000,033000,033200,
145,5041100007,Ing. de Procesos y Comercio Internacional,Licenciatura,041100,040000,041000,041100,
146,5041100007,Ingeniería de Procesos y Comercio Internacional,Licenciatura,041100,040000,041000,041100,
147,5041100009,Ing. en Negocios,Licenciatura,041100,040000,041000,041100,
148,5041100009,Ingeniería en Negocios,Licenciatura,041100,040000,041000,041100,
149,5041100021,Licenciatura en Agronegocios,Licenciatura,041100,040000,041000,041100,
150,5041100021,Licenciatura en Agronegocios,Licenciatura,041100,040000,041000,041100,
151,5041100056,Licenciatura en Negocios Internacionales,Licenciatura,041100,040000,041000,041100,
152,5041100056,Licenciatura en Negocios Internacionales,Licenciatura,041100,040000,041000,041100,
153,5041100127,Licenciatura en Gestión de Negocios Gastronómicos,Licenciatura,041100,040000,041000,041100,
154,5041100127,Licenciatura en Gestión de Negocios Gastronómicos,Licenciatura,041100,040000,041000,041100,
155,5041200028,Licenciatura en Mercadotecnia,Licenciatura,041200,040000,041000,041200,
156,5041200028,Licenciatura en Mercadotecnia,Licenciatura,041200,040000,041000,041200,
157,5041200075,Licenciatura en Mercadotecnia Digital,Licenciatura,041200,040000,041000,041200,
158,5041200075,Licenciatura en Mercadotecnia Digital,Licenciatura,041200,040000,041000,041200,
159,5041300007,Licenciatura en Administración Financiera y Sistemas,Licenciatura,041300,040000,041000,041300,
160,5041300007,Licenciatura en Administración Financiera y Sistemas,Licenciatura,041300,040000,041000,041300,
161,5041400032,Licenciatura en Contaduría Pública,Licenciatura,041400,040000,041000,041400,
162,5041400032,Licenciatura en Contaduría Pública,Licenciatura,041400,040000,041000,041400,
163,5042000002,Licenciatura en Administración,Licenciatura,042000,040000,042000,042000,
164,5042000002,Licenciatura en Administración,Licenciatura,042000,040000,042000,042000,
165,5042100012,Licenciatura en Administración de Negocios,Licenciatura,042100,040000,042000,042100,
166,5042100012,Licenciatura en Administración de Negocios,Licenciatura,042100,040000,042000,042100,
167,5042100065,Licenciatura en Administración de las Organizaciones,Licenciatura,042100,040000,042000,042100,
168,5042100065,Licenciatura en Administración de las Organizaciones,Licenciatura,042100,040000,042000,042100,
169,5042100092,Licenciatura en Administración y Gestión Empresarial,Licenciatura,042100,040000,042000,042100,
170,5042100092,Licenciatura en Administración y Gestión Empresarial,Licenciatura,042100,040000,042000,042100,
171,5042100117,Licenciatura en Recursos Humanos,Licenciatura,042100,040000,042000,042100,
172,5042100117,Licenciatura en Recursos Humanos,Licenciatura,042100,040000,042000,042100,
173,5042200024,Licenciatura en Desarrollo Turístico Sustentable,Licenciatura,042200,040000,042000,042200,
