name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
51 2021-2022 14MMS0753H BGAI,51,2021-2022,14MMS0753H,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
52 2021-2022 14MMS0753H BGC,52,2021-2022,14MMS0753H,BGC,Escolarizada,220,328,,548,,,,10,,,,1,,,,,,,,,,,,
53 2021-2022 14MMS0753H BGC,53,2021-2022,14MMS0753H,BGC,Escolarizada,243,304,,547,,,,10,,,,0,,,,,,,,,,,,
54 2021-2022 14MMS0757D BGAI,54,2021-2022,14MMS0757D,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
55 2021-2022 14MMS0757D BGC,55,2021-2022,14MMS0757D,BGC,Escolarizada,224,306,,530,,,,9,,,,0,,,,,,,,,,,,
56 2021-2022 14MMS0757D BGC,56,2021-2022,14MMS0757D,BGC,Escolarizada,211,318,,529,,,,8,,,,1,,,,,,,,,,,,
57 2021-2022 14MMS0756E BGAI,57,2021-2022,14MMS0756E,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
58 2021-2022 14MMS0756E BGC,58,2021-2022,14MMS0756E,BGC,Escolarizada,242,319,,561,,,,5,,,,2,,,,,,,,,,,,
59 2021-2022 14MMS0756E BGC,59,2021-2022,14MMS0756E,BGC,Escolarizada,229,332,,561,,,,13,,,,1,,,,,,,,,,,,
60 2021-2022 14MMS0878P BGC,60,2021-2022,14MMS0878P,BGC,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
61 2021-2022 14MMS0878P BGC,61,2021-2022,14MMS0878P,BGC,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
62 2021-2022 14MMS0844Z BGC,62,2021-2022,14MMS0844Z,BGC,Escolarizada,163,208,,371,,,,5,,,,1,,,,,,,,,,,,
63 2021-2022 14MMS0844Z BGC,63,2021-2022,14MMS0844Z,BGC,Escolarizada,165,206,,371,,,,6,,,,0,,,,,,,,,,,,
64 2021-2022 14MMS0607X BGAI,64,2021-2022,14MMS0607X,BGAI,Escolarizada,24,32,,56,,,,1,,,,0,,,,,,,,,,,,
65 2021-2022 14MMS0607X BGC,65,2021-2022,14MMS0607X,BGC,Escolarizada,243,307,,550,,,,10,,,,0,,,,,,,,,,,,
66 2021-2022 14MMS0607X BGC,66,2021-2022,14MMS0607X,BGC,Escolarizada,226,319,,545,,,,9,,,,0,,,,,,,,,,,,
