name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
140 2022-2023 14MMS0709U BGC Escolarizada,140,2022-2023,14MMS0709U,BGC,Escolarizada,163,221,,384,0,0,,0,2,0,,2
141 2022-2023 14MMS0710J BGC Escolarizada,141,2022-2023,14MMS0710J,BGC,Escolarizada,156,186,,342,0,0,,0,1,1,,2
142 2022-2023 14MMS0711I BGC Escolarizada,142,2022-2023,14MMS0711I,BGC,Escolarizada,82,94,,176,1,0,,1,0,0,,0
143 2022-2023 14MMS0712H BGC Escolarizada,143,2022-2023,14MMS0712H,BGC,Escolarizada,205,265,,470,5,3,,8,1,0,,1
144 2022-2023 14MMS0713G BGC Escolarizada,144,2022-2023,14MMS0713G,BGC,Escolarizada,228,311,,539,7,3,,10,0,0,,0
145 2022-2023 14MMS0714F BGC Escolarizada,145,2022-2023,14MMS0714F,BGC,Escolarizada,237,245,,482,9,5,,14,0,0,,0
146 2022-2023 14MMS0715E BGC Escolarizada,146,2022-2023,14MMS0715E,BGC,Escolarizada,115,149,,264,2,4,,6,0,0,,0
147 2022-2023 14MMS0716D BGC Escolarizada,147,2022-2023,14MMS0716D,BGC,Escolarizada,135,190,,325,0,0,,0,0,0,,0
148 2022-2023 14MMS0717C 3042000001 Escolarizada,148,2022-2023,14MMS0717C,3042000001,Escolarizada,52,40,,92,0,0,,0,0,0,,0
149 2022-2023 14MMS0717C 3101600003 Escolarizada,149,2022-2023,14MMS0717C,3101600003,Escolarizada,30,72,,102,0,1,,1,0,0,,0
150 2022-2023 14MMS0717C BGC Escolarizada,150,2022-2023,14MMS0717C,BGC,Escolarizada,245,202,,447,3,0,,3,0,0,,0
151 2022-2023 14MMS0718B 3042000001 Escolarizada,151,2022-2023,14MMS0718B,3042000001,Escolarizada,52,47,,99,0,0,,0,0,0,,0
152 2022-2023 14MMS0718B 3101600003 Escolarizada,152,2022-2023,14MMS0718B,3101600003,Escolarizada,83,126,,209,0,0,,0,0,0,,0
153 2022-2023 14MMS0718B BGC Escolarizada,153,2022-2023,14MMS0718B,BGC,Escolarizada,257,268,,525,1,1,,2,0,0,,0
154 2022-2023 14MMS0719A BGC Escolarizada,154,2022-2023,14MMS0719A,BGC,Escolarizada,130,129,,259,0,0,,0,0,0,,0
155 2022-2023 14MMS0720Q BGC Escolarizada,155,2022-2023,14MMS0720Q,BGC,Escolarizada,148,183,,331,1,0,,1,0,0,,0
156 2022-2023 14MMS0721P BGAI Escolarizada,156,2022-2023,14MMS0721P,BGAI,Escolarizada,21,15,,36,0,0,,0,0,0,,0
157 2022-2023 14MMS0721P BGC Escolarizada,157,2022-2023,14MMS0721P,BGC,Escolarizada,262,406,,668,3,8,,11,0,1,,1
158 2022-2023 14MMS0722O BGC Escolarizada,158,2022-2023,14MMS0722O,BGC,Escolarizada,227,273,,500,3,8,,11,0,0,,0
159 2022-2023 14MMS0723N BGC Escolarizada,159,2022-2023,14MMS0723N,BGC,Escolarizada,60,65,,125,0,0,,0,0,0,,0
160 2022-2023 14MMS0724M BGC Escolarizada,160,2022-2023,14MMS0724M,BGC,Escolarizada,100,111,,211,0,0,,0,0,0,,0
161 2022-2023 14MMS0725L BGC Escolarizada,161,2022-2023,14MMS0725L,BGC,Escolarizada,39,87,,126,1,2,,3,0,0,,0
162 2022-2023 14MMS0726K BGC Escolarizada,162,2022-2023,14MMS0726K,BGC,Escolarizada,41,57,,98,0,0,,0,0,0,,0
163 2022-2023 14MMS0727J BGC Escolarizada,163,2022-2023,14MMS0727J,BGC,Escolarizada,68,75,,143,0,0,,0,0,0,,0
164 2022-2023 14MMS0728I BGC Escolarizada,164,2022-2023,14MMS0728I,BGC,Escolarizada,49,58,,107,1,0,,1,0,0,,0
165 2022-2023 14MMS0730X BGC Escolarizada,165,2022-2023,14MMS0730X,BGC,Escolarizada,83,80,,163,2,1,,3,0,0,,0
166 2022-2023 14MMS0731W BGC Escolarizada,166,2022-2023,14MMS0731W,BGC,Escolarizada,96,79,,175,4,0,,4,2,0,,2
167 2022-2023 14MMS0732V BGC Escolarizada,167,2022-2023,14MMS0732V,BGC,Escolarizada,111,89,,200,0,0,,0,0,1,,1
168 2022-2023 14MMS0733U BGC Escolarizada,168,2022-2023,14MMS0733U,BGC,Escolarizada,70,57,,127,0,0,,0,0,1,,1
169 2022-2023 14MMS0734T BGC Escolarizada,169,2022-2023,14MMS0734T,BGC,Escolarizada,34,37,,71,0,1,,1,2,2,,4
170 2022-2023 14MMS0735S BGC Escolarizada,170,2022-2023,14MMS0735S,BGC,Escolarizada,39,37,,76,0,0,,0,0,0,,0
171 2022-2023 14MMS0736R BGC Escolarizada,171,2022-2023,14MMS0736R,BGC,Escolarizada,49,44,,93,1,0,,1,0,0,,0
172 2022-2023 14MMS0737Q BGC Escolarizada,172,2022-2023,14MMS0737Q,BGC,Escolarizada,45,46,,91,2,0,,2,0,1,,1
173 2022-2023 14MMS0738P BGC Escolarizada,173,2022-2023,14MMS0738P,BGC,Escolarizada,42,51,,93,0,1,,1,5,5,,10
174 2022-2023 14MMS0739O BGC Escolarizada,174,2022-2023,14MMS0739O,BGC,Escolarizada,98,111,,209,0,2,,2,0,0,,0
175 2022-2023 14MMS0740D BGC Escolarizada,175,2022-2023,14MMS0740D,BGC,Escolarizada,38,37,,75,0,0,,0,0,0,,0
176 2022-2023 14MMS0741C BGC Escolarizada,176,2022-2023,14MMS0741C,BGC,Escolarizada,61,70,,131,0,0,,0,0,0,,0
177 2022-2023 14MMS0742B BGC Escolarizada,177,2022-2023,14MMS0742B,BGC,Escolarizada,35,40,,75,0,0,,0,0,0,,0
178 2022-2023 14MMS0743A BGC Escolarizada,178,2022-2023,14MMS0743A,BGC,Escolarizada,67,49,,116,0,0,,0,0,0,,0
179 2022-2023 14MMS0744Z BGC Escolarizada,179,2022-2023,14MMS0744Z,BGC,Escolarizada,540,494,,1034,10,15,,25,1,1,,2
180 2022-2023 14MMS0745Z BGC Escolarizada,180,2022-2023,14MMS0745Z,BGC,Escolarizada,40,44,,84,1,0,,1,0,0,,0
181 2022-2023 14MMS0746Y BGC Escolarizada,181,2022-2023,14MMS0746Y,BGC,Escolarizada,82,127,,209,1,1,,2,0,0,,0
182 2022-2023 14MMS0747X BGC Escolarizada,182,2022-2023,14MMS0747X,BGC,Escolarizada,162,224,,386,1,3,,4,0,1,,1
183 2022-2023 14MMS0748W 3081100003 Escolarizada,183,2022-2023,14MMS0748W,3081100003,Escolarizada,97,57,,154,2,1,,3,0,0,,0
