name,row,anio,entidad_universitaria,programa_educativo_vigente,total
422 PE que requieren PP-895 - 2020 - CUTONALÁ,895,2020,CUTONALÁ,Licenciatura en Contaduría Publica,1
422 PE que requieren PP-896 - 2020 - CUTONALÁ,896,2020,CUTONALÁ,Licenciatura en Nutrición,1
422 PE que requieren PP-897 - 2020 - CUTONALÁ,897,2020,CUTONALÁ,Licenciatura en Salud Publica,1
422 PE que requieren PP-898 - 2020 - CUTONALÁ,898,2020,CUTONALÁ,Médico Cirujano y Partero,1
422 PE que requieren PP-899 - 2020 - CUVALLES,899,2020,CUVALLES,Abogado,1
422 PE que requieren PP-900 - 2020 - CUVALLES,900,2020,CUVALLES,Ingeniería en Electrónica y Computación,1
422 PE que requieren PP-901 - 2020 - CUVALLES,901,2020,CUVALLES,Licenciatura en Administración,1
422 PE que requieren PP-902 - 2020 - CUVALLES,902,2020,CUVALLES,Licenciatura en Agronegocios,1
422 PE que requieren PP-903 - 2020 - CUVALLES,903,2020,CUVALLES,Licenciatura en Contaduría Pública,1
422 PE que requieren PP-904 - 2020 - CUVALLES,904,2020,CUVALLES,Licenciatura en Ingeniería Mecatrónica,1
422 PE que requieren PP-905 - 2020 - CUVALLES,905,2020,CUVALLES,Licenciatura en Tecnologías de la Información,1
422 PE que requieren PP-906 - 2020 - CUVALLES,906,2020,CUVALLES,Licenciatura en Turismo,1
422 PE que requieren PP-907 - 2020 - CUVALLES,907,2020,CUVALLES,Licenciatura en Ingeniería en Instrumentación y Nanosensores,1
422 PE que requieren PP-908 - 2020 - CUTLAJOMULCO,908,2020,CUTLAJOMULCO,Ingeniería en Biotecnología,1
422 PE que requieren PP-909 - 2020 - CUTLAJOMULCO,909,2020,CUTLAJOMULCO,Ingeniería Civil,1
422 PE que requieren PP-910 - 2020 - CUTLAJOMULCO,910,2020,CUTLAJOMULCO,Ingeniería en Diseño Industrial,1
422 PE que requieren PP-911 - 2020 - CUTLAJOMULCO,911,2020,CUTLAJOMULCO,Ingeniería Mecatrónica,1
422 PE que requieren PP-912 - 2020 - CUTLAJOMULCO,912,2020,CUTLAJOMULCO,Licenciatura en Administración y Gestión Empresarial,1
422 PE que requieren PP-913 - 2020 - CUTLAJOMULCO,913,2020,CUTLAJOMULCO,Licenciatura en Terapia Física,1
422 PE que requieren PP-914 - 2020 - SUV,914,2020,SUV,Licenciatura en Administración de las Organizaciones,1
422 PE que requieren PP-915 - 2020 - SUV,915,2020,SUV,Licenciatura en Bibliotecología y Gestión del Conocimiento,1
422 PE que requieren PP-916 - 2020 - SUV,916,2020,SUV,Licenciatura en Educación / Licenciatura en Desarrollo Educativo,1
422 PE que requieren PP-917 - 2020 - SUV,917,2020,SUV,Licenciatura en Tecnologías e Información,1
422 PE que requieren PP-918 - 2020 - SUV,918,2020,SUV,Licenciatura en Periodismo Digital,1
422 PE que requieren PP-919 - 2019 - CUAAD,919,2019,CUAAD,Licenciatura en Arquitectura,1
422 PE que requieren PP-920 - 2019 - CUAAD,920,2019,CUAAD,Licenciatura en Diseño de Modas,1
422 PE que requieren PP-921 - 2019 - CUAAD,921,2019,CUAAD,Licenciatura en Diseño de Interiores y Ambientación,1
422 PE que requieren PP-922 - 2019 - CUAAD,922,2019,CUAAD,Licenciatura en Diseño Industrial,1
422 PE que requieren PP-923 - 2019 - CUAAD,923,2019,CUAAD,Licenciatura en Diseño para la Comunicación Gráfica,1
422 PE que requieren PP-924 - 2019 - CUAAD,924,2019,CUAAD,Licenciatura en Urbanística y Medio Ambiente,1
422 PE que requieren PP-925 - 2019 - CUCBA,925,2019,CUCBA,Licenciatura en Agronegocios,1
422 PE que requieren PP-926 - 2019 - CUCBA,926,2019,CUCBA,Licenciatura en Ciencias de los Alimentos,1
422 PE que requieren PP-927 - 2019 - CUCBA,927,2019,CUCBA,Licenciatura en Medicina Veterinaria,1
422 PE que requieren PP-928 - 2019 - CUCBA,928,2019,CUCBA,Licenciatura en Biología,1
422 PE que requieren PP-929 - 2019 - CUCBA,929,2019,CUCBA,Licenciatura en Ingeniero Agrónomo,1
422 PE que requieren PP-930 - 2019 - CUCEA,930,2019,CUCEA,Licenciatura en Administración,1
422 PE que requieren PP-931 - 2019 - CUCEA,931,2019,CUCEA,Licenciatura en Administración Financiera y Sistemas,1
422 PE que requieren PP-932 - 2019 - CUCEA,932,2019,CUCEA,Licenciatura en Administración Gubernamental y Políticas Públicas,1
422 PE que requieren PP-933 - 2019 - CUCEA,933,2019,CUCEA,Licenciatura en Contaduría Pública,1
422 PE que requieren PP-934 - 2019 - CUCEA,934,2019,CUCEA,Licenciatura en Economía,1
422 PE que requieren PP-935 - 2019 - CUCEA,935,2019,CUCEA,Licenciatura en Gestión de Negocios Gastronómicos,1
422 PE que requieren PP-936 - 2019 - CUCEA,936,2019,CUCEA,Licenciatura en Gestión y Economía Ambiental,1
422 PE que requieren PP-937 - 2019 - CUCEA,937,2019,CUCEA,Licenciatura en Mercadotecnia,1
422 PE que requieren PP-938 - 2019 - CUCEA,938,2019,CUCEA,Licenciatura en Negocios Internacionales,1
422 PE que requieren PP-939 - 2019 - CUCEA,939,2019,CUCEA,Licenciatura en Recursos Humanos,1
422 PE que requieren PP-940 - 2019 - CUCEA,940,2019,CUCEA,Licenciatura en Relaciones Públicas y Comunicación,1
422 PE que requieren PP-941 - 2019 - CUCEA,941,2019,CUCEA,Licenciatura en Tecnologías de la Información,1
422 PE que requieren PP-942 - 2019 - CUCEA,942,2019,CUCEA,Licenciatura en Turismo,1
422 PE que requieren PP-943 - 2019 - CUCEA,943,2019,CUCEA,Ingeniería en Negocios,1
422 PE que requieren PP-944 - 2019 - CUCEI,944,2019,CUCEI,Ingeniería Civil,1
422 PE que requieren PP-945 - 2019 - CUCEI,945,2019,CUCEI,Licenciatura en Ingeniería en Alimentos y Biotecnología,1
422 PE que requieren PP-946 - 2019 - CUCEI,946,2019,CUCEI,Ingeniería en Computación,1
422 PE que requieren PP-947 - 2019 - CUCEI,947,2019,CUCEI,Ingeniería en Comunicaciones e Electrónica,1
422 PE que requieren PP-948 - 2019 - CUCEI,948,2019,CUCEI,Ingeniería Industrial,1
422 PE que requieren PP-949 - 2019 - CUCEI,949,2019,CUCEI,Ingeniería Informática,1
422 PE que requieren PP-950 - 2019 - CUCEI,950,2019,CUCEI,Ingeniería Mecánica Eléctrica,1
422 PE que requieren PP-951 - 2019 - CUCEI,951,2019,CUCEI,Ingeniería Química,1
