name,row,anio,entidad_universitaria,pa_categoria,pa_nivel,tiempo_completo,medio_tiempo,total
312 Investigadores-103 - 2018 - CUCEI,103,2018,CUCEI,Titular,C,110,0,110
312 Investigadores-104 - 2019 - CUCEI,104,2019,CUCEI,Titular,C,105,0,105
312 Investigadores-105 - 2020 - CUCEI,105,2020,CUCEI,Titular,C,102,0,102
312 Investigadores-106 - 2021 - CUCEI,106,2021,CUCEI,Titular,C,114,0,114
312 Investigadores-107 - 2022 - CUCEI,107,2022,CUCEI,Titular,C,107,0,107
312 Investigadores-108 - 2023 - CUCEI,108,2023,CUCEI,Titular,C,104,0,104
312 Investigadores-109 - 2018 - CUCSH,109,2018,CUCSH,Asistente,A,0,0,0
312 Investigadores-110 - 2019 - CUCSH,110,2019,CUCSH,Asistente,A,0,0,0
312 Investigadores-111 - 2020 - CUCSH,111,2020,CUCSH,Asistente,A,0,0,0
312 Investigadores-112 - 2021 - CUCSH,112,2021,CUCSH,Asistente,A,0,0,0
312 Investigadores-113 - 2022 - CUCSH,113,2022,CUCSH,Asistente,A,0,0,0
312 Investigadores-114 - 2023 - CUCSH,114,2023,CUCSH,Asistente,A,0,0,0
312 Investigadores-115 - 2018 - CUCSH,115,2018,CUCSH,Asistente,B,2,0,2
312 Investigadores-116 - 2019 - CUCSH,116,2019,CUCSH,Asistente,B,1,0,1
312 Investigadores-117 - 2020 - CUCSH,117,2020,CUCSH,Asistente,B,2,0,2
312 Investigadores-118 - 2021 - CUCSH,118,2021,CUCSH,Asistente,B,1,0,1
312 Investigadores-119 - 2022 - CUCSH,119,2022,CUCSH,Asistente,B,0,0,0
312 Investigadores-120 - 2023 - CUCSH,120,2023,CUCSH,Asistente,B,0,0,0
312 Investigadores-121 - 2018 - CUCSH,121,2018,CUCSH,Asistente,C,2,0,2
312 Investigadores-122 - 2019 - CUCSH,122,2019,CUCSH,Asistente,C,4,0,4
312 Investigadores-123 - 2020 - CUCSH,123,2020,CUCSH,Asistente,C,4,0,4
312 Investigadores-124 - 2021 - CUCSH,124,2021,CUCSH,Asistente,C,2,0,2
312 Investigadores-125 - 2022 - CUCSH,125,2022,CUCSH,Asistente,C,2,0,2
312 Investigadores-126 - 2023 - CUCSH,126,2023,CUCSH,Asistente,C,2,0,2
312 Investigadores-127 - 2018 - CUCSH,127,2018,CUCSH,Asociado,A,41,0,41
312 Investigadores-128 - 2019 - CUCSH,128,2019,CUCSH,Asociado,A,41,0,41
312 Investigadores-129 - 2020 - CUCSH,129,2020,CUCSH,Asociado,A,38,0,38
312 Investigadores-130 - 2021 - CUCSH,130,2021,CUCSH,Asociado,A,38,0,38
312 Investigadores-131 - 2022 - CUCSH,131,2022,CUCSH,Asociado,A,38,0,38
312 Investigadores-132 - 2023 - CUCSH,132,2023,CUCSH,Asociado,A,39,0,39
312 Investigadores-133 - 2018 - CUCSH,133,2018,CUCSH,Asociado,B,28,0,28
312 Investigadores-134 - 2019 - CUCSH,134,2019,CUCSH,Asociado,B,23,0,23
312 Investigadores-135 - 2020 - CUCSH,135,2020,CUCSH,Asociado,B,25,0,25
312 Investigadores-136 - 2021 - CUCSH,136,2021,CUCSH,Asociado,B,35,0,35
312 Investigadores-137 - 2022 - CUCSH,137,2022,CUCSH,Asociado,B,44,0,44
312 Investigadores-138 - 2023 - CUCSH,138,2023,CUCSH,Asociado,B,42,0,42
312 Investigadores-139 - 2018 - CUCSH,139,2018,CUCSH,Asociado,C,32,0,32
312 Investigadores-140 - 2019 - CUCSH,140,2019,CUCSH,Asociado,C,29,0,29
312 Investigadores-141 - 2020 - CUCSH,141,2020,CUCSH,Asociado,C,28,0,28
312 Investigadores-142 - 2021 - CUCSH,142,2021,CUCSH,Asociado,C,47,0,47
312 Investigadores-143 - 2022 - CUCSH,143,2022,CUCSH,Asociado,C,49,0,49
312 Investigadores-144 - 2023 - CUCSH,144,2023,CUCSH,Asociado,C,52,0,52
312 Investigadores-145 - 2018 - CUCSH,145,2018,CUCSH,Titular,A,45,0,45
312 Investigadores-146 - 2019 - CUCSH,146,2019,CUCSH,Titular,A,47,0,47
312 Investigadores-147 - 2020 - CUCSH,147,2020,CUCSH,Titular,A,45,0,45
312 Investigadores-148 - 2021 - CUCSH,148,2021,CUCSH,Titular,A,75,1,76
312 Investigadores-149 - 2022 - CUCSH,149,2022,CUCSH,Titular,A,76,1,77
312 Investigadores-150 - 2023 - CUCSH,150,2023,CUCSH,Titular,A,74,1,75
312 Investigadores-151 - 2018 - CUCSH,151,2018,CUCSH,Titular,B,52,0,52
312 Investigadores-152 - 2019 - CUCSH,152,2019,CUCSH,Titular,B,51,0,51
312 Investigadores-153 - 2020 - CUCSH,153,2020,CUCSH,Titular,B,47,0,47
312 Investigadores-154 - 2021 - CUCSH,154,2021,CUCSH,Titular,B,60,0,60
312 Investigadores-155 - 2022 - CUCSH,155,2022,CUCSH,Titular,B,58,0,58
312 Investigadores-156 - 2023 - CUCSH,156,2023,CUCSH,Titular,B,55,0,55
312 Investigadores-157 - 2018 - CUCSH,157,2018,CUCSH,Titular,C,174,2,176
312 Investigadores-158 - 2019 - CUCSH,158,2019,CUCSH,Titular,C,166,2,168
312 Investigadores-159 - 2020 - CUCSH,159,2020,CUCSH,Titular,C,159,2,161
312 Investigadores-160 - 2021 - CUCSH,160,2021,CUCSH,Titular,C,156,1,157
312 Investigadores-161 - 2022 - CUCSH,161,2022,CUCSH,Titular,C,149,1,150
312 Investigadores-162 - 2023 - CUCSH,162,2023,CUCSH,Titular,C,140,1,141
312 Investigadores-163 - 2018 - CUCS,163,2018,CUCS,Asistente,A,0,0,0
312 Investigadores-164 - 2019 - CUCS,164,2019,CUCS,Asistente,A,0,0,0
312 Investigadores-165 - 2020 - CUCS,165,2020,CUCS,Asistente,A,0,0,0
312 Investigadores-166 - 2021 - CUCS,166,2021,CUCS,Asistente,A,0,0,0
312 Investigadores-167 - 2022 - CUCS,167,2022,CUCS,Asistente,A,0,0,0
312 Investigadores-168 - 2023 - CUCS,168,2023,CUCS,Asistente,A,0,0,0
312 Investigadores-169 - 2018 - CUCS,169,2018,CUCS,Asistente,B,1,0,1
312 Investigadores-170 - 2019 - CUCS,170,2019,CUCS,Asistente,B,1,0,1
312 Investigadores-171 - 2020 - CUCS,171,2020,CUCS,Asistente,B,1,0,1
312 Investigadores-172 - 2021 - CUCS,172,2021,CUCS,Asistente,B,1,0,1
312 Investigadores-173 - 2022 - CUCS,173,2022,CUCS,Asistente,B,1,0,1
312 Investigadores-174 - 2023 - CUCS,174,2023,CUCS,Asistente,B,1,0,1
312 Investigadores-175 - 2018 - CUCS,175,2018,CUCS,Asistente,C,1,0,1
312 Investigadores-176 - 2019 - CUCS,176,2019,CUCS,Asistente,C,1,0,1
312 Investigadores-177 - 2020 - CUCS,177,2020,CUCS,Asistente,C,1,0,1
312 Investigadores-178 - 2021 - CUCS,178,2021,CUCS,Asistente,C,0,0,0
312 Investigadores-179 - 2022 - CUCS,179,2022,CUCS,Asistente,C,2,0,2
312 Investigadores-180 - 2023 - CUCS,180,2023,CUCS,Asistente,C,2,0,2
312 Investigadores-181 - 2018 - CUCS,181,2018,CUCS,Asociado,A,11,0,11
312 Investigadores-182 - 2019 - CUCS,182,2019,CUCS,Asociado,A,12,0,12
312 Investigadores-183 - 2020 - CUCS,183,2020,CUCS,Asociado,A,11,0,11
312 Investigadores-184 - 2021 - CUCS,184,2021,CUCS,Asociado,A,26,0,26
312 Investigadores-185 - 2022 - CUCS,185,2022,CUCS,Asociado,A,31,1,32
312 Investigadores-186 - 2023 - CUCS,186,2023,CUCS,Asociado,A,38,1,39
312 Investigadores-187 - 2018 - CUCS,187,2018,CUCS,Asociado,B,29,2,31
312 Investigadores-188 - 2019 - CUCS,188,2019,CUCS,Asociado,B,38,2,40
312 Investigadores-189 - 2020 - CUCS,189,2020,CUCS,Asociado,B,35,2,37
312 Investigadores-190 - 2021 - CUCS,190,2021,CUCS,Asociado,B,48,0,48
312 Investigadores-191 - 2022 - CUCS,191,2022,CUCS,Asociado,B,53,0,53
312 Investigadores-192 - 2023 - CUCS,192,2023,CUCS,Asociado,B,53,1,54
312 Investigadores-193 - 2018 - CUCS,193,2018,CUCS,Asociado,C,26,1,27
312 Investigadores-194 - 2019 - CUCS,194,2019,CUCS,Asociado,C,27,1,28
312 Investigadores-195 - 2020 - CUCS,195,2020,CUCS,Asociado,C,29,1,30
312 Investigadores-196 - 2021 - CUCS,196,2021,CUCS,Asociado,C,49,0,49
312 Investigadores-197 - 2022 - CUCS,197,2022,CUCS,Asociado,C,45,0,45
312 Investigadores-198 - 2023 - CUCS,198,2023,CUCS,Asociado,C,47,0,47
312 Investigadores-199 - 2018 - CUCS,199,2018,CUCS,Titular,A,56,3,59
312 Investigadores-200 - 2019 - CUCS,200,2019,CUCS,Titular,A,53,3,56
312 Investigadores-201 - 2020 - CUCS,201,2020,CUCS,Titular,A,52,3,55
312 Investigadores-202 - 2021 - CUCS,202,2021,CUCS,Titular,A,72,2,74
312 Investigadores-203 - 2022 - CUCS,203,2022,CUCS,Titular,A,75,2,77
312 Investigadores-204 - 2023 - CUCS,204,2023,CUCS,Titular,A,74,2,76
312 Investigadores-205 - 2018 - CUCS,205,2018,CUCS,Titular,B,28,0,28
312 Investigadores-206 - 2019 - CUCS,206,2019,CUCS,Titular,B,27,0,27
312 Investigadores-207 - 2020 - CUCS,207,2020,CUCS,Titular,B,28,0,28
312 Investigadores-208 - 2021 - CUCS,208,2021,CUCS,Titular,B,46,0,46
312 Investigadores-209 - 2022 - CUCS,209,2022,CUCS,Titular,B,46,0,46
312 Investigadores-210 - 2023 - CUCS,210,2023,CUCS,Titular,B,43,0,43
312 Investigadores-211 - 2018 - CUCS,211,2018,CUCS,Titular,C,122,1,123
312 Investigadores-212 - 2019 - CUCS,212,2019,CUCS,Titular,C,116,1,117
312 Investigadores-213 - 2020 - CUCS,213,2020,CUCS,Titular,C,114,0,114
312 Investigadores-214 - 2021 - CUCS,214,2021,CUCS,Titular,C,131,0,131
312 Investigadores-215 - 2022 - CUCS,215,2022,CUCS,Titular,C,117,0,117
312 Investigadores-216 - 2023 - CUCS,216,2023,CUCS,Titular,C,107,0,107
312 Investigadores-217 - 2018 - CUAAD,217,2018,CUAAD,Asistente,A,0,0,0
312 Investigadores-218 - 2019 - CUAAD,218,2019,CUAAD,Asistente,A,0,0,0
312 Investigadores-219 - 2020 - CUAAD,219,2020,CUAAD,Asistente,A,0,0,0
312 Investigadores-220 - 2021 - CUAAD,220,2021,CUAAD,Asistente,A,0,0,0
312 Investigadores-221 - 2022 - CUAAD,221,2022,CUAAD,Asistente,A,1,0,1
312 Investigadores-222 - 2023 - CUAAD,222,2023,CUAAD,Asistente,A,1,0,1
312 Investigadores-223 - 2018 - CUAAD,223,2018,CUAAD,Asistente,B,0,0,0
312 Investigadores-224 - 2019 - CUAAD,224,2019,CUAAD,Asistente,B,0,0,0
312 Investigadores-225 - 2020 - CUAAD,225,2020,CUAAD,Asistente,B,0,0,0
312 Investigadores-226 - 2021 - CUAAD,226,2021,CUAAD,Asistente,B,0,0,0
312 Investigadores-227 - 2022 - CUAAD,227,2022,CUAAD,Asistente,B,0,0,0
312 Investigadores-228 - 2023 - CUAAD,228,2023,CUAAD,Asistente,B,0,0,0
312 Investigadores-229 - 2018 - CUAAD,229,2018,CUAAD,Asistente,C,1,0,1
312 Investigadores-230 - 2019 - CUAAD,230,2019,CUAAD,Asistente,C,1,0,1
312 Investigadores-231 - 2020 - CUAAD,231,2020,CUAAD,Asistente,C,0,0,0
312 Investigadores-232 - 2021 - CUAAD,232,2021,CUAAD,Asistente,C,3,0,3
312 Investigadores-233 - 2022 - CUAAD,233,2022,CUAAD,Asistente,C,3,0,3
312 Investigadores-234 - 2023 - CUAAD,234,2023,CUAAD,Asistente,C,2,0,2
312 Investigadores-235 - 2018 - CUAAD,235,2018,CUAAD,Asociado,A,1,0,1
312 Investigadores-236 - 2019 - CUAAD,236,2019,CUAAD,Asociado,A,1,0,1
312 Investigadores-237 - 2020 - CUAAD,237,2020,CUAAD,Asociado,A,2,0,2
312 Investigadores-238 - 2021 - CUAAD,238,2021,CUAAD,Asociado,A,16,0,16
312 Investigadores-239 - 2022 - CUAAD,239,2022,CUAAD,Asociado,A,16,0,16
312 Investigadores-240 - 2023 - CUAAD,240,2023,CUAAD,Asociado,A,17,0,17
312 Investigadores-241 - 2018 - CUAAD,241,2018,CUAAD,Asociado,B,0,0,0
312 Investigadores-242 - 2019 - CUAAD,242,2019,CUAAD,Asociado,B,1,0,1
312 Investigadores-243 - 2020 - CUAAD,243,2020,CUAAD,Asociado,B,1,0,1
312 Investigadores-244 - 2021 - CUAAD,244,2021,CUAAD,Asociado,B,13,0,13
312 Investigadores-245 - 2022 - CUAAD,245,2022,CUAAD,Asociado,B,16,0,16
312 Investigadores-246 - 2023 - CUAAD,246,2023,CUAAD,Asociado,B,16,0,16
312 Investigadores-247 - 2018 - CUAAD,247,2018,CUAAD,Asociado,C,3,0,3
312 Investigadores-248 - 2019 - CUAAD,248,2019,CUAAD,Asociado,C,3,0,3
312 Investigadores-249 - 2020 - CUAAD,249,2020,CUAAD,Asociado,C,4,0,4
312 Investigadores-250 - 2021 - CUAAD,250,2021,CUAAD,Asociado,C,8,0,8
312 Investigadores-251 - 2022 - CUAAD,251,2022,CUAAD,Asociado,C,8,0,8
312 Investigadores-252 - 2023 - CUAAD,252,2023,CUAAD,Asociado,C,10,0,10
312 Investigadores-253 - 2018 - CUAAD,253,2018,CUAAD,Titular,A,13,0,13
312 Investigadores-254 - 2019 - CUAAD,254,2019,CUAAD,Titular,A,13,0,13
312 Investigadores-255 - 2020 - CUAAD,255,2020,CUAAD,Titular,A,15,0,15
312 Investigadores-256 - 2021 - CUAAD,256,2021,CUAAD,Titular,A,35,0,35
312 Investigadores-257 - 2022 - CUAAD,257,2022,CUAAD,Titular,A,35,0,35
312 Investigadores-258 - 2023 - CUAAD,258,2023,CUAAD,Titular,A,34,0,34
312 Investigadores-259 - 2018 - CUAAD,259,2018,CUAAD,Titular,B,4,0,4
312 Investigadores-260 - 2019 - CUAAD,260,2019,CUAAD,Titular,B,4,0,4
312 Investigadores-261 - 2020 - CUAAD,261,2020,CUAAD,Titular,B,6,0,6
312 Investigadores-262 - 2021 - CUAAD,262,2021,CUAAD,Titular,B,16,0,16
312 Investigadores-263 - 2022 - CUAAD,263,2022,CUAAD,Titular,B,16,0,16
312 Investigadores-264 - 2023 - CUAAD,264,2023,CUAAD,Titular,B,16,0,16
312 Investigadores-265 - 2018 - CUAAD,265,2018,CUAAD,Titular,C,24,0,24
312 Investigadores-266 - 2019 - CUAAD,266,2019,CUAAD,Titular,C,21,0,21
312 Investigadores-267 - 2020 - CUAAD,267,2020,CUAAD,Titular,C,23,0,23
312 Investigadores-268 - 2021 - CUAAD,268,2021,CUAAD,Titular,C,32,0,32
312 Investigadores-269 - 2022 - CUAAD,269,2022,CUAAD,Titular,C,29,0,29
312 Investigadores-270 - 2023 - CUAAD,270,2023,CUAAD,Titular,C,28,0,28
312 Investigadores-271 - 2018 - CUCBA,271,2018,CUCBA,Asistente,A,0,0,0
312 Investigadores-272 - 2019 - CUCBA,272,2019,CUCBA,Asistente,A,0,0,0
312 Investigadores-273 - 2020 - CUCBA,273,2020,CUCBA,Asistente,A,0,0,0
312 Investigadores-274 - 2021 - CUCBA,274,2021,CUCBA,Asistente,A,0,0,0
312 Investigadores-275 - 2022 - CUCBA,275,2022,CUCBA,Asistente,A,0,0,0
312 Investigadores-276 - 2023 - CUCBA,276,2023,CUCBA,Asistente,A,0,0,0
312 Investigadores-277 - 2018 - CUCBA,277,2018,CUCBA,Asistente,B,1,0,1
312 Investigadores-278 - 2019 - CUCBA,278,2019,CUCBA,Asistente,B,1,0,1
312 Investigadores-279 - 2020 - CUCBA,279,2020,CUCBA,Asistente,B,1,0,1
312 Investigadores-280 - 2021 - CUCBA,280,2021,CUCBA,Asistente,B,0,0,0
312 Investigadores-281 - 2022 - CUCBA,281,2022,CUCBA,Asistente,B,0,0,0
312 Investigadores-282 - 2023 - CUCBA,282,2023,CUCBA,Asistente,B,0,0,0
312 Investigadores-283 - 2018 - CUCBA,283,2018,CUCBA,Asistente,C,0,0,0
312 Investigadores-284 - 2019 - CUCBA,284,2019,CUCBA,Asistente,C,0,0,0
312 Investigadores-285 - 2020 - CUCBA,285,2020,CUCBA,Asistente,C,0,0,0
312 Investigadores-286 - 2021 - CUCBA,286,2021,CUCBA,Asistente,C,1,0,1
312 Investigadores-287 - 2022 - CUCBA,287,2022,CUCBA,Asistente,C,1,0,1
312 Investigadores-288 - 2023 - CUCBA,288,2023,CUCBA,Asistente,C,1,0,1
312 Investigadores-289 - 2018 - CUCBA,289,2018,CUCBA,Asociado,A,5,0,5
312 Investigadores-290 - 2019 - CUCBA,290,2019,CUCBA,Asociado,A,5,0,5
312 Investigadores-291 - 2020 - CUCBA,291,2020,CUCBA,Asociado,A,5,0,5
312 Investigadores-292 - 2021 - CUCBA,292,2021,CUCBA,Asociado,A,5,0,5
312 Investigadores-293 - 2022 - CUCBA,293,2022,CUCBA,Asociado,A,8,0,8
312 Investigadores-294 - 2023 - CUCBA,294,2023,CUCBA,Asociado,A,12,0,12
312 Investigadores-295 - 2018 - CUCBA,295,2018,CUCBA,Asociado,B,11,0,11
312 Investigadores-296 - 2019 - CUCBA,296,2019,CUCBA,Asociado,B,10,0,10
312 Investigadores-297 - 2020 - CUCBA,297,2020,CUCBA,Asociado,B,8,0,8
312 Investigadores-298 - 2021 - CUCBA,298,2021,CUCBA,Asociado,B,19,0,19
312 Investigadores-299 - 2022 - CUCBA,299,2022,CUCBA,Asociado,B,19,0,19
312 Investigadores-300 - 2023 - CUCBA,300,2023,CUCBA,Asociado,B,17,0,17
312 Investigadores-301 - 2018 - CUCBA,301,2018,CUCBA,Asociado,C,15,0,15
312 Investigadores-302 - 2019 - CUCBA,302,2019,CUCBA,Asociado,C,14,0,14
312 Investigadores-303 - 2020 - CUCBA,303,2020,CUCBA,Asociado,C,17,0,17
312 Investigadores-304 - 2021 - CUCBA,304,2021,CUCBA,Asociado,C,18,0,18
312 Investigadores-305 - 2022 - CUCBA,305,2022,CUCBA,Asociado,C,16,0,16
