name,row,anio,base_de_datos,suscripcion,tipo
2024 49 RILM Abstracts of Music Literature with Full Collection - EBSCO,49,2024,RILM Abstracts of Music Literature with Full Collection - EBSCO,UDG,RTC
2024 50 Science Collection - Annual Reviews,50,2024,Science Collection - Annual Reviews,UDG,RTC
2024 51 Springer Link,51,2024,Springer Link,UDG,RTC
2024 52 Springer Protocols,52,2024,Springer Protocols,UDG,RTC
2024 53 STATdx - Elsevier,53,2024,STATdx - Elsevier,UDG,RTC
2024 54 Tirant Contadores - Tirant Lo Blanch,54,2024,Tirant Contadores - Tirant Lo Blanch,UDG,RTC
2024 55 Up to Date - Wolters Kluwer,55,2024,Up to Date - Wolters Kluwer,UDG,RTC
2024 56 Vlex Global,56,2024,Vlex Global,UDG,RTC
2024 57 Vlex M xico,57,2024,Vlex M xico,UDG,RTC
"2024 58 Vlex M dulo ""Normas de Informaci n Financiera""",58,2024,"Vlex M dulo ""Normas de Informaci n Financiera""",UDG,RTC
2024 59 World Newspaper Archive: Peri dicos de Am rica Latina 1 (1805-1922),59,2024,World Newspaper Archive: Peri dicos de Am rica Latina 1 (1805-1922),UDG,RTC
2024 60 World Newspaper Archive: Peri dicos de Am rica Latina 2 (1822-1922),60,2024,World Newspaper Archive: Peri dicos de Am rica Latina 2 (1822-1922),UDG,RTC
2024 61 Academic Complete - ProQuest,61,2024,Academic Complete - ProQuest,UDG,LE
2024 62 Access Medicina - McGraw-Hill,62,2024,Access Medicina - McGraw-Hill,UDG,LE
2024 63 Biblioteca Digital Alfaomega,63,2024,Biblioteca Digital Alfaomega,UDG,LE
2024 64 Biblioteca Digital HLM - Editorial Patria,64,2024,Biblioteca Digital HLM - Editorial Patria,UDG,LE
2024 65 Biblioteca Digital Cengage,65,2024,Biblioteca Digital Cengage,UDG,LE
2024 66 Biblioteca Larousse Patria - Patria,66,2024,Biblioteca Larousse Patria - Patria,UDG,LE
2024 67 Biblioteca Digital Mc Graw Hill - McGraw-Hill,67,2024,Biblioteca Digital Mc Graw Hill - McGraw-Hill,UDG,LE
2024 68 Biblioteca Planeta,68,2024,Biblioteca Planeta,UDG,LE
2024 69 Biblioteca Virtual Dikaia,69,2024,Biblioteca Virtual Dikaia,UDG,LE
2024 70 Biblioteca Virtual Pearson,70,2024,Biblioteca Virtual Pearson,UDG,LE
2024 71 Bibliotechnia,71,2024,Bibliotechnia,UDG,LE
2024 72 Clinical Key Educaci n M dica - Elsevier,72,2024,Clinical Key Educaci n M dica - Elsevier,UDG,LE
2024 73 ClinicalKey Student Nursing - Elsevier,73,2024,ClinicalKey Student Nursing - Elsevier,UDG,LE
2024 74 Comic Plus,74,2024,Comic Plus,UDG,LE
2024 75 Digitalia Hisp nica,75,2024,Digitalia Hisp nica,UDG,LE
2024 76 ECOE ,76,2024,ECOE ,UDG,LE
2024 77 eBooks 7-24 - DC Learning,77,2024,eBooks 7-24 - DC Learning,UDG,LE
2024 78 Editorial M dica Panamericana,78,2024,Editorial M dica Panamericana,UDG,LE
2024 79 e-libro C tedra,79,2024,e-libro C tedra,UDG,LE
2024 80 e-libro English,80,2024,e-libro English,UDG,LE
2024 81 Eureka - Editorial M dica Panamericana,81,2024,Eureka - Editorial M dica Panamericana,UDG,LE
2024 82 Gale eBooks,82,2024,Gale eBooks,UDG,LE
2024 83 IGI Global,83,2024,IGI Global,UDG,LE
2024 84 Manual Moderno,84,2024,Manual Moderno,UDG,LE
2024 85 Mc Graw-Hill ebooks Plus,85,2024,Mc Graw-Hill ebooks Plus,UDG,LE
2024 86 Ovid e-books - Wolters Kluwer,86,2024,Ovid e-books - Wolters Kluwer,UDG,LE
2024 87 PsycBooks - American Psychological Association(APA),87,2024,PsycBooks - American Psychological Association(APA),UDG,LE
2024 88 Rama de la U,88,2024,Rama de la U,UDG,LE
2024 89 Springer e-Book Single Titles (a perpetuidad),89,2024,Springer e-Book Single Titles (a perpetuidad),UDG,LE
2024 90 UNWTO Elibrary,90,2024,UNWTO Elibrary,UDG,LE
2024 91 World e-Book Library,91,2024,World e-Book Library,UDG,LE
2024 92 Aula Digital Mienciclo,92,2024,Aula Digital Mienciclo,UDG,LE
2024 93 Directorio de enlaces a Sitios Fuente,93,2024,Directorio de enlaces a Sitios Fuente,UDG,LE
2024 94 Enciclonet,94,2024,Enciclonet,UDG,LE
2024 95 Gale Virtual Reference Library,95,2024,Gale Virtual Reference Library,UDG,LE
2024 96 Hisp nica Universal Mienciclo,96,2024,Hisp nica Universal Mienciclo,UDG,LE
2024 97 Oc ano Universitas,97,2024,Oc ano Universitas,UDG,LE
2024 98 Refworks - ProQuest,98,2024,Refworks - ProQuest,UDG,LE
2024 99 Ulrichs - ProQuest,99,2024,Ulrichs - ProQuest,UDG,LE
2024 100 Agr cola - Departamento de Agricultura de los EE.UU.,100,2024,Agr cola - Departamento de Agricultura de los EE.UU.,UDG,R
2024 101 Food Science and Technologies Abstracts,101,2024,Food Science and Technologies Abstracts,UDG,R
2024 102 Global Books in Print - ProQuest,102,2024,Global Books in Print - ProQuest,UDG,R
2024 103 Scifinder - American Chemical Society,103,2024,Scifinder - American Chemical Society,UDG,R
2024 104 ACM Digital Library - Association for Computing Machinery,104,2024,ACM Digital Library - Association for Computing Machinery,CONRICYT,RTC
2024 105 ACS Academic Core Plus (18 revistas) - American Chemical Society,105,2024,ACS Academic Core Plus (18 revistas) - American Chemical Society,CONRICYT,RTC
2024 106 ACS Archivos Legacy (25 revistas) -American Chemical Society,106,2024,ACS Archivos Legacy (25 revistas) -American Chemical Society,CONRICYT,RTC
2024 107 ACSESS Journals (9 revistas) - Alliance of Crop Soil and Environmental Science Societies,107,2024,ACSESS Journals (9 revistas) - Alliance of Crop Soil and Environmental Science Societies,CONRICYT,RTC
2024 108 AIP Scitation (16 revistas) - American Institute of Physics,108,2024,AIP Scitation (16 revistas) - American Institute of Physics,CONRICYT,RTC
2024 109 AMS Journals (4 revistas) - American Mathematical Society,109,2024,AMS Journals (4 revistas) - American Mathematical Society,CONRICYT,RTC
2024 110 Archival Journals and Primary Sources Collection - JSTOR,110,2024,Archival Journals and Primary Sources Collection - JSTOR,CONRICYT,RTC
2024 111 Art & Sciences I - JSTOR,111,2024,Art & Sciences I - JSTOR,CONRICYT,RTC
2024 112 Art & Sciences II - JSTOR ,112,2024,Art & Sciences II - JSTOR ,CONRICYT,RTC
2024 113 Art & Sciences III - JSTOR,113,2024,Art & Sciences III - JSTOR,CONRICYT,RTC
2024 114 Art & Sciences IV - JSTOR,114,2024,Art & Sciences IV - JSTOR,CONRICYT,RTC
2024 115 Art & Sciences V - JSTOR,115,2024,Art & Sciences V - JSTOR,CONRICYT,RTC
2024 116 Art & Sciences VI - JSTOR,116,2024,Art & Sciences VI - JSTOR,CONRICYT,RTC
2024 117 Art & Sciences VII - JSTOR ,117,2024,Art & Sciences VII - JSTOR ,CONRICYT,RTC
2024 118 Art & Sciences VIII - JSTOR,118,2024,Art & Sciences VIII - JSTOR,CONRICYT,RTC
2024 119 Art & Sciences IX - JSTOR,119,2024,Art & Sciences IX - JSTOR,CONRICYT,RTC
2024 120 Art & Sciences X - JSTOR,120,2024,Art & Sciences X - JSTOR,CONRICYT,RTC
2024 121 ASME Digital Collection - American Society of Mechanical Engineers,121,2024,ASME Digital Collection - American Society of Mechanical Engineers,CONRICYT,RTC
2024 122 ASTM Digital Library - American Society for Testing and Materials,122,2024,ASTM Digital Library - American Society for Testing and Materials,CONRICYT,RTC
2024 123 CAB Full Text Reviews - CABI Publishing (full text),123,2024,CAB Full Text Reviews - CABI Publishing (full text),CONRICYT,RTC
2024 124 CAB Protection Compendium - CABI Publishing (full text),124,2024,CAB Protection Compendium - CABI Publishing (full text),CONRICYT,RTC
2024 125 CAB Animal Health and Production Compendium - CABI Publishing (full text),125,2024,CAB Animal Health and Production Compendium - CABI Publishing (full text),CONRICYT,RTC
2024 126 CAB Forestry Compendium - CABI Publishing (full text),126,2024,CAB Forestry Compendium - CABI Publishing (full text),CONRICYT,RTC
2024 127 CAB Aquaculture Compendium - CABI Publishing (full text),127,2024,CAB Aquaculture Compendium - CABI Publishing (full text),CONRICYT,RTC
2024 128 Clinical Key Espa ol - Elsevier,128,2024,Clinical Key Espa ol - Elsevier,CONRICYT,RTC
2024 129 Colecci n RSC Gold  - Royal Society of Chemistry,129,2024,Colecci n RSC Gold  - Royal Society of Chemistry,CONRICYT,RTC
2024 130 Colecci n Taylor and Francis Journals (2 colecciones),130,2024,Colecci n Taylor and Francis Journals (2 colecciones),CONRICYT,RTC
2024 131 Compendex de Engineering Village - Elsevier,131,2024,Compendex de Engineering Village - Elsevier,CONRICYT,RTC
2024 132 Dentistry & Oral Sciences Source - EBSCO,132,2024,Dentistry & Oral Sciences Source - EBSCO,CONRICYT,RTC
2024 133 Inspec  - Institution of Engineering and Technology,133,2024,Inspec  - Institution of Engineering and Technology,CONRICYT,RTC
2024 134 Lippincott Journals Propietary Collection - Wolters Kluwer,134,2024,Lippincott Journals Propietary Collection - Wolters Kluwer,CONRICYT,RTC
2024 135 Nature - Springer,135,2024,Nature - Springer,CONRICYT,RTC
2024 136 Nature (15 t tulos) - Springer,136,2024,Nature (15 t tulos) - Springer,CONRICYT,RTC
2024 137 New England Journal of Medicine - Massachusets Medical Society,137,2024,New England Journal of Medicine - Massachusets Medical Society,CONRICYT,RTC
2024 138 New England Journal of Medicine Evidence - Massachusets Medical Society,138,2024,New England Journal of Medicine Evidence - Massachusets Medical Society,CONRICYT,RTC
2024 139 OECD iLibrary - Organizaci n para la Cooperaci n y el Desarrollo Econ micos,139,2024,OECD iLibrary - Organizaci n para la Cooperaci n y el Desarrollo Econ micos,CONRICYT,RTC
2024 140 Oxford Journals Collection - Oxford University Press,140,2024,Oxford Journals Collection - Oxford University Press,CONRICYT,RTC
2024 141 Royal Society of Chemistry RSC,141,2024,Royal Society of Chemistry RSC,CONRICYT,RTC
2024 142  Royal Society Publishing,142,2024, Royal Society Publishing,CONRICYT,RTC
2024 143 Science Classic  - American Association for the Advancement of Science,143,2024,Science Classic  - American Association for the Advancement of Science,CONRICYT,RTC
2024 144 Science Signaling  - American Association for the Advancement of Science,144,2024,Science Signaling  - American Association for the Advancement of Science,CONRICYT,RTC
2024 145 Science Direct Subject Collection (Paquete B sico) - Elsevier,145,2024,Science Direct Subject Collection (Paquete B sico) - Elsevier,CONRICYT,RTC
2024 146 SIAM - Society of Industrial and Applied Mathematics ,146,2024,SIAM - Society of Industrial and Applied Mathematics ,CONRICYT,RTC
2024 147 SPIE Digital Library - Society of Photo-Optical Instrumentation Engineers,147,2024,SPIE Digital Library - Society of Photo-Optical Instrumentation Engineers,CONRICYT,RTC
2024 148 Springer Materials y Archivo Springer Materials,148,2024,Springer Materials y Archivo Springer Materials,CONRICYT,RTC
2024 149 Tirant Online M xico Premium,149,2024,Tirant Online M xico Premium,CONRICYT,RTC
2024 150 Wiley,150,2024,Wiley,CONRICYT,RTC
2024 151 CABI e-Books,151,2024,CABI e-Books,CONRICYT,LE
2024 152 Complete Freedom Collection e-Books - Elsevier,152,2024,Complete Freedom Collection e-Books - Elsevier,CONRICYT,LE
2024 153 Britannica Academic Edition - Britannica Digital Learning,153,2024,Britannica Academic Edition - Britannica Digital Learning,CONRICYT,LE
2024 154 Britannica Image Quest - Britannica Digital Learning,154,2024,Britannica Image Quest - Britannica Digital Learning,CONRICYT,LE
2024 155 Britannica Moderna - Britannica Digital Learning,155,2024,Britannica Moderna - Britannica Digital Learning,CONRICYT,LE
2024 156 Book Citation Index - Clarivate Analytics,156,2024,Book Citation Index - Clarivate Analytics,CONRICYT,R
2024 157 CAB Abstracs,157,2024,CAB Abstracs,CONRICYT,R
2024 158 Derwent Innovation - Clarivate Analytics,158,2024,Derwent Innovation - Clarivate Analytics,CONRICYT,R
2024 159 Journal Citation Report - Clarivate Analytics,159,2024,Journal Citation Report - Clarivate Analytics,CONRICYT,R
2024 160 Scopus - Elsevier,160,2024,Scopus - Elsevier,CONRICYT,R
2024 161 Web of Science - (Core Collection 3 Ediciones) - Clarivate Analytics,161,2024,Web of Science - (Core Collection 3 Ediciones) - Clarivate Analytics,CONRICYT,R
