name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,academicos_h,academicos_m,academicos_nb,academicos_t
712-2023-139 PA DTC Titular B de CUCBA,139,2023,CUCBA,DTC,Titular,B,3,2,,5
712-2023-140 PA DTC Titular B de CUALTOS,140,2023,CUALTOS,DTC,Titular,B,1,2,,3
712-2023-141 PA DTC Titular B de CUCIÉNEGA,141,2023,CUCIÉNEGA,DTC,Titular,B,3,0,,3
712-2023-142 PA DTC Titular B de CUSUR,142,2023,CUSUR,DTC,Titular,B,1,1,,2
712-2023-143 PA DTC Titular B de CUCOSTA,143,2023,CUCOSTA,DTC,Titular,B,0,0,,0
712-2023-144 PA DTC Titular B de CUCOSTASUR,144,2023,CUCOSTASUR,DTC,Titular,B,0,0,,0
712-2023-145 PA DTC Titular B de CUVALLES,145,2023,CUVALLES,DTC,Titular,B,2,0,,2
712-2023-146 PA DTC Titular B de CUNORTE,146,2023,CUNORTE,DTC,Titular,B,0,0,,0
712-2023-147 PA DTC Titular B de CULAGOS,147,2023,CULAGOS,DTC,Titular,B,2,0,,2
712-2023-148 PA DTC Titular B de CUTONALÁ,148,2023,CUTONALÁ,DTC,Titular,B,3,0,,3
712-2023-149 PA DTC Titular B de CUTLAJOMULCO,149,2023,CUTLAJOMULCO,DTC,Titular,B,0,0,,0
712-2023-150 PA DTC Titular B de SUV,150,2023,SUV,DTC,Titular,B,0,2,,2
712-2023-151 PA DTC Titular B de SEMS,151,2023,SEMS,DTC,Titular,B,22,24,,46
712-2023-152 PA DTC Titular B de AG,152,2023,AG,DTC,Titular,B,0,0,,0
712-2023-153 PA DTC Titular C de CUCEA,153,2023,CUCEA,DTC,Titular,C,14,2,,16
712-2023-154 PA DTC Titular C de CUCEI,154,2023,CUCEI,DTC,Titular,C,5,3,,8
712-2023-155 PA DTC Titular C de CUCSH,155,2023,CUCSH,DTC,Titular,C,9,9,,18
712-2023-156 PA DTC Titular C de CUCS,156,2023,CUCS,DTC,Titular,C,16,6,,22
712-2023-157 PA DTC Titular C de CUAAD,157,2023,CUAAD,DTC,Titular,C,4,1,,5
712-2023-158 PA DTC Titular C de CUCBA,158,2023,CUCBA,DTC,Titular,C,8,2,,10
712-2023-159 PA DTC Titular C de CUALTOS,159,2023,CUALTOS,DTC,Titular,C,1,0,,1
712-2023-160 PA DTC Titular C de CUCIÉNEGA,160,2023,CUCIÉNEGA,DTC,Titular,C,1,1,,2
712-2023-161 PA DTC Titular C de CUSUR,161,2023,CUSUR,DTC,Titular,C,5,1,,6
712-2023-162 PA DTC Titular C de CUCOSTA,162,2023,CUCOSTA,DTC,Titular,C,0,2,,2
712-2023-163 PA DTC Titular C de CUCOSTASUR,163,2023,CUCOSTASUR,DTC,Titular,C,4,2,,6
712-2023-164 PA DTC Titular C de CUVALLES,164,2023,CUVALLES,DTC,Titular,C,1,1,,2
712-2023-165 PA DTC Titular C de CUNORTE,165,2023,CUNORTE,DTC,Titular,C,0,1,,1
712-2023-166 PA DTC Titular C de CULAGOS,166,2023,CULAGOS,DTC,Titular,C,0,0,,0
712-2023-167 PA DTC Titular C de CUTONALÁ,167,2023,CUTONALÁ,DTC,Titular,C,1,2,,3
712-2023-168 PA DTC Titular C de CUTLAJOMULCO,168,2023,CUTLAJOMULCO,DTC,Titular,C,0,0,,0
712-2023-169 PA DTC Titular C de SUV,169,2023,SUV,DTC,Titular,C,1,2,,3
712-2023-170 PA DTC Titular C de SEMS,170,2023,SEMS,DTC,Titular,C,29,21,,50
712-2023-171 PA DTC Titular C de AG,171,2023,AG,DTC,Titular,C,0,0,,0
712-2023-172 PA DMT Asistente A de CUCEA,172,2023,CUCEA,DMT,Asistente,A,0,0,,0
