name,row,anio,concepto_ingreso,pesos_corrientes,
b13 Subsidio público ordinario de la UdeG -27 - 2019 - Aportaciones especiales (extraordinarias),27,2019,Aportaciones especiales (extraordinarias),259683959.4,
b13 Subsidio público ordinario de la UdeG -28 - 2019 - Certificaciones,28,2019,Certificaciones,25329147.3,
b13 Subsidio público ordinario de la UdeG -29 - 2019 - Revalidaciones,29,2019,Revalidaciones,1386012.98,
b13 Subsidio público ordinario de la UdeG -30 - 2019 - Servicios no escolares,30,2019,Servicios no escolares,273914366.5,
b13 Subsidio público ordinario de la UdeG -31 - 2019 - Servicios,31,2019,Servicios,105551651,
b13 Subsidio público ordinario de la UdeG -32 - 2019 - Arrendamientos,32,2019,Arrendamientos,26441096.8,
b13 Subsidio público ordinario de la UdeG -33 - 2019 - Venta de formas,33,2019,Venta de formas,14178575.86,
b13 Subsidio público ordinario de la UdeG -34 - 2019 - Servicios de apoyo técnico,34,2019,Servicios de apoyo técnico,110927542.9,
b13 Subsidio público ordinario de la UdeG -35 - 2019 - Venta de productos,35,2019,Venta de productos,16815499.92,
b13 Subsidio público ordinario de la UdeG -36 - 2019 - Incorporaciones,36,2019,Incorporaciones,59634937.12,
b13 Subsidio público ordinario de la UdeG -37 - 2019 - Donativos,37,2019,Donativos,23138211,
b13 Subsidio público ordinario de la UdeG -38 - 2019 - Entidades universitarias,38,2019,Entidades universitarias,21287275.72,
b13 Subsidio público ordinario de la UdeG -39 - 2020 - Productos financieros,39,2020,Productos financieros,196992726,
b13 Subsidio público ordinario de la UdeG -40 - 2020 - Servicios escolares,40,2020,Servicios escolares,744720968.7,
b13 Subsidio público ordinario de la UdeG -41 - 2020 - Matrículas,41,2020,Matrículas,257218243.4,
b13 Subsidio público ordinario de la UdeG -42 - 2020 - Exámenes,42,2020,Exámenes,87590493.77,
b13 Subsidio público ordinario de la UdeG -43 - 2020 - Expedición de títulos,43,2020,Expedición de títulos,34339255.09,
b13 Subsidio público ordinario de la UdeG -44 - 2020 - Expedición de credenciales,44,2020,Expedición de credenciales,78279620.54,
b13 Subsidio público ordinario de la UdeG -45 - 2020 - Aportaciones voluntarias,45,2020,Aportaciones voluntarias,17198139.38,
b13 Subsidio público ordinario de la UdeG -46 - 2020 - Aportaciones especiales (extraordinarias),46,2020,Aportaciones especiales (extraordinarias),249082041.6,
b13 Subsidio público ordinario de la UdeG -47 - 2020 - Certificaciones,47,2020,Certificaciones,19811890.16,
b13 Subsidio público ordinario de la UdeG -48 - 2020 - Revalidaciones,48,2020,Revalidaciones,1201284.8,
b13 Subsidio público ordinario de la UdeG -49 - 2020 - Servicios no escolares,49,2020,Servicios no escolares,84288351.78,
b13 Subsidio público ordinario de la UdeG -50 - 2020 - Servicios,50,2020,Servicios,51082212.11,
b13 Subsidio público ordinario de la UdeG -51 - 2020 - Arrendamientos,51,2020,Arrendamientos,11270509.66,
b13 Subsidio público ordinario de la UdeG -52 - 2020 - Venta de formas,52,2020,Venta de formas,13238371.46,
b13 Subsidio público ordinario de la UdeG -53 - 2020 - Servicios de apoyo técnico,53,2020,Servicios de apoyo técnico,1182674.93,
b13 Subsidio público ordinario de la UdeG -54 - 2020 - Venta de productos,54,2020,Venta de productos,7514583.62,
b13 Subsidio público ordinario de la UdeG -55 - 2020 - Incorporaciones,55,2020,Incorporaciones,62325448.93,
