name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
65 2019-2020 14MMS0646Z BGC Escolarizada,65,2019-2020,14MMS0646Z,BGC,Escolarizada,2221,2238,,4459,22,13,,35,1,1,,2
66 2019-2020 14MMS0647Y BGAI Escolarizada,66,2019-2020,14MMS0647Y,BGAI,Escolarizada,28,30,,58,1,1,,2,0,0,,0
67 2019-2020 14MMS0647Y BGC Escolarizada,67,2019-2020,14MMS0647Y,BGC,Escolarizada,1245,1690,,2935,15,20,,35,2,2,,4
68 2019-2020 14MMS0648X BGC Escolarizada,68,2019-2020,14MMS0648X,BGC,Escolarizada,1163,1635,,2798,14,21,,35,0,6,,6
69 2019-2020 14MMS0649W BGAI Escolarizada,69,2019-2020,14MMS0649W,BGAI,Escolarizada,102,111,,213,0,1,,1,0,0,,0
70 2019-2020 14MMS0649W BGC Escolarizada,70,2019-2020,14MMS0649W,BGC,Escolarizada,1792,2361,,4153,13,20,,33,2,2,,4
71 2019-2020 14MMS0650L 3093100005 Escolarizada,71,2019-2020,14MMS0650L,3093100005,Escolarizada,143,274,,417,2,2,,4,0,0,,0
72 2019-2020 14MMS0650L 3095300007 Escolarizada,72,2019-2020,14MMS0650L,3095300007,Escolarizada,134,313,,447,0,3,,3,0,0,,0
73 2019-2020 14MMS0650L BGAI Escolarizada,73,2019-2020,14MMS0650L,BGAI,Escolarizada,126,113,,239,0,0,,0,0,0,,0
74 2019-2020 14MMS0650L BGC Escolarizada,74,2019-2020,14MMS0650L,BGC,Escolarizada,1269,1646,,2915,18,17,,35,0,0,,0
75 2019-2020 14MMS0651K 3101600003 Escolarizada,75,2019-2020,14MMS0651K,3101600003,Escolarizada,103,145,,248,1,4,,5,0,0,,0
76 2019-2020 14MMS0651K BGAI Escolarizada,76,2019-2020,14MMS0651K,BGAI,Escolarizada,25,25,,50,0,0,,0,0,0,,0
77 2019-2020 14MMS0651K BGC Escolarizada,77,2019-2020,14MMS0651K,BGC,Escolarizada,424,571,,995,5,6,,11,0,0,,0
78 2019-2020 14MMS0652J BGC Escolarizada,78,2019-2020,14MMS0652J,BGC,Escolarizada,255,348,,603,4,8,,12,0,0,,0
79 2019-2020 14MMS0653I BGC Escolarizada,79,2019-2020,14MMS0653I,BGC,Escolarizada,485,615,,1100,5,8,,13,0,1,,1
80 2019-2020 14MMS0654H BGAI Escolarizada,80,2019-2020,14MMS0654H,BGAI,Escolarizada,80,79,,159,0,0,,0,0,0,,0
81 2019-2020 14MMS0654H BGC Escolarizada,81,2019-2020,14MMS0654H,BGC,Escolarizada,576,971,,1547,6,12,,18,0,1,,1
82 2019-2020 14MMS0655G BGC Escolarizada,82,2019-2020,14MMS0655G,BGC,Escolarizada,649,787,,1436,4,3,,7,1,4,,5
83 2019-2020 14MMS0656F BGC Escolarizada,83,2019-2020,14MMS0656F,BGC,Escolarizada,218,215,,433,1,0,,1,0,0,,0
84 2019-2020 14MMS0657E BGAI Escolarizada,84,2019-2020,14MMS0657E,BGAI,Escolarizada,283,257,,540,0,2,,2,0,0,,0
85 2019-2020 14MMS0657E BGC Escolarizada,85,2019-2020,14MMS0657E,BGC,Escolarizada,924,1183,,2107,8,11,,19,0,1,,1
86 2019-2020 14MMS0658D BGC Escolarizada,86,2019-2020,14MMS0658D,BGC,Escolarizada,611,747,,1358,12,6,,18,0,0,,0
87 2019-2020 14MMS0659C 3042100026 Escolarizada,87,2019-2020,14MMS0659C,3042100026,Escolarizada,85,95,,180,3,3,,6,0,0,,0
88 2019-2020 14MMS0659C BGC Escolarizada,88,2019-2020,14MMS0659C,BGC,Escolarizada,320,418,,738,5,15,,20,0,0,,0
89 2019-2020 14MMS0660S 3042000001 Escolarizada,89,2019-2020,14MMS0660S,3042000001,Escolarizada,95,96,,191,0,0,,0,0,0,,0
90 2019-2020 14MMS0660S 3101600003 Escolarizada,90,2019-2020,14MMS0660S,3101600003,Escolarizada,61,92,,153,0,0,,0,0,0,,0
91 2019-2020 14MMS0660S BGC Escolarizada,91,2019-2020,14MMS0660S,BGC,Escolarizada,364,348,,712,0,0,,0,0,0,,0
92 2019-2020 14MMS0661R BGC Escolarizada,92,2019-2020,14MMS0661R,BGC,Escolarizada,95,111,,206,1,2,,3,0,0,,0
93 2019-2020 14MMS0662Q BGC Escolarizada,93,2019-2020,14MMS0662Q,BGC,Escolarizada,115,137,,252,0,0,,0,0,0,,0
94 2019-2020 14MMS0663P BGC Escolarizada,94,2019-2020,14MMS0663P,BGC,Escolarizada,72,84,,156,1,0,,1,0,0,,0
95 2019-2020 14MMS0664O BGC Escolarizada,95,2019-2020,14MMS0664O,BGC,Escolarizada,73,75,,148,0,0,,0,0,0,,0
96 2019-2020 14MMS0665N BGC Escolarizada,96,2019-2020,14MMS0665N,BGC,Escolarizada,111,125,,236,1,0,,1,0,0,,0
97 2019-2020 14MMS0666M BGC Escolarizada,97,2019-2020,14MMS0666M,BGC,Escolarizada,117,171,,288,1,12,,13,0,0,,0
98 2019-2020 14MMS0667L BGC Escolarizada,98,2019-2020,14MMS0667L,BGC,Escolarizada,113,209,,322,0,0,,0,0,0,,0
99 2019-2020 14MMS0668K BGC Escolarizada,99,2019-2020,14MMS0668K,BGC,Escolarizada,246,296,,542,4,2,,6,0,0,,0
100 2019-2020 14MMS0669J BGC Escolarizada,100,2019-2020,14MMS0669J,BGC,Escolarizada,104,155,,259,2,1,,3,0,0,,0
101 2019-2020 14MMS0670Z BGC Escolarizada,101,2019-2020,14MMS0670Z,BGC,Escolarizada,85,81,,166,0,0,,0,0,0,,0
102 2019-2020 14MMS0671Y BGC Escolarizada,102,2019-2020,14MMS0671Y,BGC,Escolarizada,79,96,,175,0,0,,0,0,0,,0
103 2019-2020 14MMS0672X BGC Escolarizada,103,2019-2020,14MMS0672X,BGC,Escolarizada,21,36,,57,0,0,,0,0,0,,0
104 2019-2020 14MMS0673W BGC Escolarizada,104,2019-2020,14MMS0673W,BGC,Escolarizada,102,113,,215,0,1,,1,0,0,,0
105 2019-2020 14MMS0674V BGC Escolarizada,105,2019-2020,14MMS0674V,BGC,Escolarizada,79,88,,167,0,0,,0,0,0,,0
106 2019-2020 14MMS0675U BGC Escolarizada,106,2019-2020,14MMS0675U,BGC,Escolarizada,53,80,,133,1,0,,1,0,0,,0
107 2019-2020 14MMS0676T BGC Escolarizada,107,2019-2020,14MMS0676T,BGC,Escolarizada,102,112,,214,0,0,,0,0,0,,0
108 2019-2020 14MMS0677S BGC Escolarizada,108,2019-2020,14MMS0677S,BGC,Escolarizada,124,123,,247,1,1,,2,0,0,,0
109 2019-2020 14MMS0678R BGC Escolarizada,109,2019-2020,14MMS0678R,BGC,Escolarizada,108,121,,229,0,0,,0,0,0,,0
110 2019-2020 14MMS0679Q BGC Escolarizada,110,2019-2020,14MMS0679Q,BGC,Escolarizada,156,145,,301,1,0,,1,0,0,,0
111 2019-2020 14MMS0680F BGC Escolarizada,111,2019-2020,14MMS0680F,BGC,Escolarizada,104,105,,209,0,1,,1,0,0,,0
112 2019-2020 14MMS0681E BGC Escolarizada,112,2019-2020,14MMS0681E,BGC,Escolarizada,99,97,,196,1,2,,3,0,0,,0
113 2019-2020 14MMS0682D BGC Escolarizada,113,2019-2020,14MMS0682D,BGC,Escolarizada,130,159,,289,1,0,,1,0,0,,0
114 2019-2020 14MMS0683C BGC Escolarizada,114,2019-2020,14MMS0683C,BGC,Escolarizada,148,142,,290,2,3,,5,0,0,,0
115 2019-2020 14MMS0684B BGC Escolarizada,115,2019-2020,14MMS0684B,BGC,Escolarizada,70,78,,148,0,1,,1,0,0,,0
