row,name,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
151,2022-2023 14USU0160O 5041200028,2022-2023,14USU0160O,5041200028,Escolarizada,114,134,,248,6,5,,11,0,0,,0,
152,2022-2023 14USU0160O 5041400032,2022-2023,14USU0160O,5041400032,Escolarizada,124,169,,293,2,12,,14,0,1,,1,
153,2022-2023 14USU0160O 5042000002,2022-2023,14USU0160O,5042000002,Escolarizada,148,225,,373,4,7,,11,0,0,,0,
154,2022-2023 14USU0160O 5042100117,2022-2023,14USU0160O,5042100117,Escolarizada,61,171,,232,0,6,,6,0,0,,0,
155,2022-2023 14USU0160O 5061000002,2022-2023,14USU0160O,5061000002,Escolarizada,206,50,,256,13,1,,14,0,0,,0,
156,2022-2023 14USU0160O 5062200055,2022-2023,14USU0160O,5062200055,Escolarizada,183,47,,230,11,3,,14,1,0,,1,
157,2022-2023 14USU0160O 5071400015,2022-2023,14USU0160O,5071400015,Escolarizada,159,170,,329,4,4,,8,0,0,,0,
158,2022-2023 14USU0160O 5071700019,2022-2023,14USU0160O,5071700019,Escolarizada,199,58,,257,6,2,,8,0,0,,0,
159,2022-2023 14USU0160O 5091100011,2022-2023,14USU0160O,5091100011,Escolarizada,26,57,,83,0,1,,1,0,1,,1,
160,2022-2023 14USU0160O 5095400006,2022-2023,14USU0160O,5095400006,Escolarizada,174,323,,497,12,11,,23,0,0,,0,
161,2022-2023 14USU0170V 5033100003,2022-2023,14USU0170V,5033100003,Escolarizada,56,61,,117,4,7,,11,1,0,,1,
162,2022-2023 14USU0170V 5041100021,2022-2023,14USU0170V,5041100021,Escolarizada,68,40,,108,3,0,,3,0,0,,0,
163,2022-2023 14USU0170V 5041400032,2022-2023,14USU0170V,5041400032,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
164,2022-2023 14USU0170V 5042000002,2022-2023,14USU0170V,5042000002,Escolarizada,47,59,,106,2,0,,2,0,0,,0,
165,2022-2023 14USU0170V 5081100010,2022-2023,14USU0170V,5081100010,Escolarizada,117,66,,183,3,2,,5,0,0,,0,
166,2022-2023 14USU0170V 5092100006,2022-2023,14USU0170V,5092100006,Escolarizada,6,22,,28,0,0,,0,0,0,,0,
