row,name,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
406,2022-2023 14USU0130U 7081000006,2022-2023,14USU0130U,7081000006,Escolarizada,6,1,,7,0,0,,0,0,0,,0,
407,2022-2023 14USU0130U 7081100051,2022-2023,14USU0130U,7081100051,Escolarizada,4,1,,5,0,0,,0,0,0,,0,
408,2022-2023 14USU0130U 7081100056,2022-2023,14USU0130U,7081100056,Escolarizada,4,5,,9,0,0,,0,0,0,,0,
409,2022-2023 14USU0130U 7095600007,2022-2023,14USU0130U,7095600007,Escolarizada,2,14,,16,0,0,,0,0,0,,0,
410,2022-2023 14USU0130U 8031100002,2022-2023,14USU0130U,8031100002,Escolarizada,16,11,,27,1,0,,1,0,0,,0,
411,2022-2023 14USU0130U 8051100004,2022-2023,14USU0130U,8051100004,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
412,2022-2023 14USU0130U 8051100024,2022-2023,14USU0130U,8051100024,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
413,2022-2023 14USU0130U 8051300007,2022-2023,14USU0130U,8051300007,Escolarizada,23,11,,34,0,0,,0,1,0,,1,
414,2022-2023 14USU0140A 7012602009,2022-2023,14USU0140A,7012602009,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
415,2022-2023 14USU0140A 7021300007,2022-2023,14USU0140A,7021300007,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
416,2022-2023 14USU0140A 7021400005,2022-2023,14USU0140A,7021400005,Escolarizada,3,1,,4,0,0,,0,0,0,,0,
417,2022-2023 14USU0140A 7021400038,2022-2023,14USU0140A,7021400038,Escolarizada,8,17,,25,0,0,,0,0,0,,0,
418,2022-2023 14USU0140A 7021600006,2022-2023,14USU0140A,7021600006,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
419,2022-2023 14USU0140A 7021600019,2022-2023,14USU0140A,7021600019,Escolarizada,7,6,,13,0,0,,0,0,0,,0,
420,2022-2023 14USU0140A 7021600021,2022-2023,14USU0140A,7021600021,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
421,2022-2023 14USU0140A 7022300036,2022-2023,14USU0140A,7022300036,Escolarizada,4,7,,11,0,0,,0,0,0,,0,
422,2022-2023 14USU0140A 7042500117,2022-2023,14USU0140A,7042500117,Escolarizada,9,16,,25,0,0,,0,0,0,,0,
423,2022-2023 14USU0140A 7073100051,2022-2023,14USU0140A,7073100051,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
424,2022-2023 14USU0140A 7073100082,2022-2023,14USU0140A,7073100082,Escolarizada,22,16,,38,0,0,,0,0,0,,0,
425,2022-2023 14USU0140A 7073100088,2022-2023,14USU0140A,7073100088,Escolarizada,9,9,,18,0,0,,0,0,1,,1,
426,2022-2023 14USU0140A 7073100089,2022-2023,14USU0140A,7073100089,Escolarizada,15,13,,28,0,0,,0,0,0,,0,
427,2022-2023 14USU0140A 7103100003,2022-2023,14USU0140A,7103100003,Escolarizada,7,6,,13,0,0,,0,0,0,,0,
428,2022-2023 14USU0140A 8021000010,2022-2023,14USU0140A,8021000010,Escolarizada,8,6,,14,1,0,,1,0,0,,0,
429,2022-2023 14USU0140A 8042100049,2022-2023,14USU0140A,8042100049,Escolarizada,4,3,,7,0,0,,0,0,0,,0,
430,2022-2023 14USU0140A 8073100010,2022-2023,14USU0140A,8073100010,Escolarizada,31,18,,49,0,0,,0,0,0,,0,
431,2022-2023 14USU0160O 7031100041,2022-2023,14USU0160O,7031100041,Escolarizada,2,6,,8,0,0,,0,0,0,,0,
432,2022-2023 14USU0160O 7031100253,2022-2023,14USU0160O,7031100253,Escolarizada,2,1,,3,0,0,,0,0,0,,0,
433,2022-2023 14USU0160O 7031300048,2022-2023,14USU0160O,7031300048,Escolarizada,2,1,,3,0,0,,0,0,0,,0,
434,2022-2023 14USU0160O 7033100026,2022-2023,14USU0160O,7033100026,Escolarizada,7,2,,9,0,0,,0,0,0,,0,
435,2022-2023 14USU0160O 7042100033,2022-2023,14USU0160O,7042100033,Escolarizada,7,7,,14,0,0,,0,0,0,,0,
436,2022-2023 14USU0160O 7053100018,2022-2023,14USU0160O,7053100018,Escolarizada,4,1,,5,0,0,,0,0,0,,0,
437,2022-2023 14USU0160O 7081100078,2022-2023,14USU0160O,7081100078,Escolarizada,1,3,,4,0,0,,0,0,0,,0,
438,2022-2023 14USU0160O 8031300003,2022-2023,14USU0160O,8031300003,Escolarizada,14,4,,18,0,0,,0,0,0,,0,
439,2022-2023 14USU0160O 8052000002,2022-2023,14USU0160O,8052000002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
440,2022-2023 14USU0160O 8071000012,2022-2023,14USU0160O,8071000012,Escolarizada,4,2,,6,0,0,,0,0,0,,0,
441,2022-2023 14USU0190I 6091323001,2022-2023,14USU0190I,6091323001,Escolarizada,8,5,,13,0,0,,0,0,0,,0,
442,2022-2023 14USU0190I 6091326001,2022-2023,14USU0190I,6091326001,Escolarizada,11,15,,26,0,0,,0,0,0,,0,
443,2022-2023 14USU0190I 7011400011,2022-2023,14USU0190I,7011400011,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
444,2022-2023 14USU0190I 7041200034,2022-2023,14USU0190I,7041200034,Escolarizada,13,13,,26,0,1,,1,0,0,,0,
445,2022-2023 14USU0190I 7041400008,2022-2023,14USU0190I,7041400008,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
446,2022-2023 14USU0190I 7042000002,2022-2023,14USU0190I,7042000002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
447,2022-2023 14USU0190I 7042100033,2022-2023,14USU0190I,7042100033,Escolarizada,19,25,,44,0,0,,0,1,0,,1,
448,2022-2023 14USU0190I 7042300054,2022-2023,14USU0190I,7042300054,Escolarizada,7,9,,16,0,1,,1,0,0,,0,
449,2022-2023 14USU0190I 7052300006,2022-2023,14USU0190I,7052300006,Escolarizada,11,3,,14,1,0,,1,0,0,,0,
450,2022-2023 14USU0190I 8042000014,2022-2023,14USU0190I,8042000014,Escolarizada,10,15,,25,0,0,,0,0,0,,0,
451,2022-2023 14USU0190I 8042200004,2022-2023,14USU0190I,8042200004,Escolarizada,20,16,,36,0,0,,0,0,0,,0,
452,2022-2023 14USU0190I 8051300007,2022-2023,14USU0190I,8051300007,Escolarizada,5,7,,12,0,0,,0,0,0,,0,
453,2022-2023 14USU0200Z 7033100026,2022-2023,14USU0200Z,7033100026,Escolarizada,9,13,,22,0,0,,0,0,0,,0,
454,2022-2023 14USU0200Z 7042100015,2022-2023,14USU0200Z,7042100015,Escolarizada,18,24,,42,1,1,,2,0,0,,0,
455,2022-2023 14USU0200Z 7051300018,2022-2023,14USU0200Z,7051300018,Escolarizada,15,11,,26,1,0,,1,0,0,,0,
456,2022-2023 14USU0200Z 7051300079,2022-2023,14USU0200Z,7051300079,Escolarizada,7,5,,12,0,0,,0,0,0,,0,
457,2022-2023 14USU0200Z 7052200016,2022-2023,14USU0200Z,7052200016,Escolarizada,6,6,,12,0,0,,0,0,0,,0,
458,2022-2023 14USU0200Z 7081100073,2022-2023,14USU0200Z,7081100073,Escolarizada,14,5,,19,1,0,,1,0,0,,0,
459,2022-2023 14USU0200Z 8051300007,2022-2023,14USU0200Z,8051300007,Escolarizada,7,4,,11,0,1,,1,0,0,,0,
460,2022-2023 14USU0200Z 8072300004,2022-2023,14USU0200Z,8072300004,Escolarizada,4,2,,6,0,0,,0,0,0,,0,
461,2022-2023 14USU0210F 6091323001,2022-2023,14USU0210F,6091323001,Escolarizada,6,2,,8,0,0,,0,0,0,,0,
462,2022-2023 14USU0210F 6091326001,2022-2023,14USU0210F,6091326001,Escolarizada,3,5,,8,0,0,,0,0,0,,0,
463,2022-2023 14USU0210F 6091327002,2022-2023,14USU0210F,6091327002,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
464,2022-2023 14USU0210F 7011400011,2022-2023,14USU0210F,7011400011,Escolarizada,2,1,,3,0,0,,0,0,0,,0,
465,2022-2023 14USU0210F 7031100005,2022-2023,14USU0210F,7031100005,Escolarizada,5,7,,12,0,0,,0,0,1,,1,
466,2022-2023 14USU0210F 7031100176,2022-2023,14USU0210F,7031100176,Escolarizada,0,5,,5,0,0,,0,0,0,,0,
467,2022-2023 14USU0210F 7031200071,2022-2023,14USU0210F,7031200071,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
468,2022-2023 14USU0210F 7033100026,2022-2023,14USU0210F,7033100026,Escolarizada,10,9,,19,0,0,,0,0,0,,0,
469,2022-2023 14USU0210F 7042000002,2022-2023,14USU0210F,7042000002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
470,2022-2023 14USU0210F 7042100033,2022-2023,14USU0210F,7042100033,Escolarizada,9,8,,17,0,0,,0,0,0,,0,
471,2022-2023 14USU0210F 7095600030,2022-2023,14USU0210F,7095600030,Escolarizada,7,8,,15,0,1,,1,0,0,,0,
472,2022-2023 14USU0210F 8031100002,2022-2023,14USU0210F,8031100002,Escolarizada,2,14,,16,0,0,,0,0,0,,0,
473,2022-2023 14USU0210F 8031100026,2022-2023,14USU0210F,8031100026,Escolarizada,4,12,,16,0,0,,0,1,0,,1,
474,2022-2023 14USU0220M 6081100002,2022-2023,14USU0220M,6081100002,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
475,2022-2023 14USU0220M 6091323001,2022-2023,14USU0220M,6091323001,Escolarizada,4,4,,8,0,0,,0,0,0,,0,
476,2022-2023 14USU0220M 6091326001,2022-2023,14USU0220M,6091326001,Escolarizada,13,8,,21,0,0,,0,0,0,,0,
477,2022-2023 14USU0220M 6093202001,2022-2023,14USU0220M,6093202001,Escolarizada,5,3,,8,0,0,,0,0,0,,0,
478,2022-2023 14USU0220M 6093203005,2022-2023,14USU0220M,6093203005,Escolarizada,2,5,,7,0,0,,0,0,0,,0,
479,2022-2023 14USU0220M 7011200088,2022-2023,14USU0220M,7011200088,Escolarizada,2,4,,6,0,0,,0,0,1,,1,
480,2022-2023 14USU0220M 7042100033,2022-2023,14USU0220M,7042100033,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
481,2022-2023 14USU0220M 7081100068,2022-2023,14USU0220M,7081100068,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
482,2022-2023 14USU0220M 8095200001,2022-2023,14USU0220M,8095200001,Escolarizada,11,17,,28,0,0,,0,0,0,,0,
483,2022-2023 14USU0221L 7012604064,2022-2023,14USU0221L,7012604064,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
484,2022-2023 14USU0221L 7022500032,2022-2023,14USU0221L,7022500032,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
485,2022-2023 14USU0221L 7071000035,2022-2023,14USU0221L,7071000035,Escolarizada,4,0,,4,0,0,,0,0,0,,0,
486,2022-2023 14USU0221L 8071000002,2022-2023,14USU0221L,8071000002,Escolarizada,7,3,,10,0,0,,0,0,0,,0,
487,2022-2023 14USU0230T 6051100001,2022-2023,14USU0230T,6051100001,Escolarizada,0,1,,1,0,0,,0,0,0,,0,
488,2022-2023 14USU0230T 6091301004,2022-2023,14USU0230T,6091301004,Escolarizada,73,118,,191,1,2,,3,0,0,,0,
489,2022-2023 14USU0230T 6091301005,2022-2023,14USU0230T,6091301005,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
490,2022-2023 14USU0230T 6091301008,2022-2023,14USU0230T,6091301008,Escolarizada,2,2,,4,0,0,,0,0,0,,0,
491,2022-2023 14USU0230T 6091302001,2022-2023,14USU0230T,6091302001,Escolarizada,5,9,,14,0,0,,0,0,0,,0,
492,2022-2023 14USU0230T 6091304001,2022-2023,14USU0230T,6091304001,Escolarizada,15,6,,21,0,0,,0,0,0,,0,
493,2022-2023 14USU0230T 6091304018,2022-2023,14USU0230T,6091304018,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
494,2022-2023 14USU0230T 6091305002,2022-2023,14USU0230T,6091305002,Escolarizada,117,42,,159,1,0,,1,0,0,,0,
495,2022-2023 14USU0230T 6091306001,2022-2023,14USU0230T,6091306001,Escolarizada,3,0,,3,0,0,,0,0,0,,0,
496,2022-2023 14USU0230T 6091307001,2022-2023,14USU0230T,6091307001,Escolarizada,21,1,,22,0,0,,0,0,0,,0,
497,2022-2023 14USU0230T 6091308001,2022-2023,14USU0230T,6091308001,Escolarizada,3,2,,5,0,0,,0,0,0,,0,
498,2022-2023 14USU0230T 6091309002,2022-2023,14USU0230T,6091309002,Escolarizada,49,14,,63,0,2,,2,0,0,,0,
499,2022-2023 14USU0230T 6091310001,2022-2023,14USU0230T,6091310001,Escolarizada,11,25,,36,0,0,,0,0,0,,0,
500,2022-2023 14USU0230T 6091310002,2022-2023,14USU0230T,6091310002,Escolarizada,0,6,,6,0,1,,1,0,0,,0,
501,2022-2023 14USU0230T 6091311001,2022-2023,14USU0230T,6091311001,Escolarizada,7,13,,20,0,0,,0,0,0,,0,
502,2022-2023 14USU0230T 6091312001,2022-2023,14USU0230T,6091312001,Escolarizada,6,5,,11,0,0,,0,0,0,,0,
503,2022-2023 14USU0230T 6091313001,2022-2023,14USU0230T,6091313001,Escolarizada,3,1,,4,0,0,,0,0,0,,0,
504,2022-2023 14USU0230T 6091313004,2022-2023,14USU0230T,6091313004,Escolarizada,10,2,,12,0,0,,0,0,0,,0,
505,2022-2023 14USU0230T 6091313008,2022-2023,14USU0230T,6091313008,Escolarizada,1,2,,3,0,0,,0,0,0,,0,
506,2022-2023 14USU0230T 6091314001,2022-2023,14USU0230T,6091314001,Escolarizada,4,8,,12,1,0,,1,0,0,,0,
507,2022-2023 14USU0230T 6091315001,2022-2023,14USU0230T,6091315001,Escolarizada,31,48,,79,1,0,,1,0,0,,0,
508,2022-2023 14USU0230T 6091316002,2022-2023,14USU0230T,6091316002,Escolarizada,33,130,,163,0,1,,1,0,0,,0,
509,2022-2023 14USU0230T 6091316004,2022-2023,14USU0230T,6091316004,Escolarizada,2,4,,6,0,0,,0,0,0,,0,
510,2022-2023 14USU0230T 6091316007,2022-2023,14USU0230T,6091316007,Escolarizada,7,3,,10,0,0,,0,0,0,,0,
511,2022-2023 14USU0230T 6091317001,2022-2023,14USU0230T,6091317001,Escolarizada,8,12,,20,0,0,,0,0,0,,0,
512,2022-2023 14USU0230T 6091317003,2022-2023,14USU0230T,6091317003,Escolarizada,0,2,,2,0,0,,0,0,0,,0,
513,2022-2023 14USU0230T 6091317009,2022-2023,14USU0230T,6091317009,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
514,2022-2023 14USU0230T 6091318001,2022-2023,14USU0230T,6091318001,Escolarizada,3,0,,3,0,0,,0,0,0,,0,
515,2022-2023 14USU0230T 6091318002,2022-2023,14USU0230T,6091318002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
516,2022-2023 14USU0230T 6091319001,2022-2023,14USU0230T,6091319001,Escolarizada,3,6,,9,0,0,,0,0,0,,0,
517,2022-2023 14USU0230T 6091319004,2022-2023,14USU0230T,6091319004,Escolarizada,2,2,,4,0,1,,1,0,0,,0,
518,2022-2023 14USU0230T 6091321003,2022-2023,14USU0230T,6091321003,Escolarizada,6,2,,8,1,0,,1,0,0,,0,
519,2022-2023 14USU0230T 6091322003,2022-2023,14USU0230T,6091322003,Escolarizada,28,31,,59,0,0,,0,0,0,,0,
520,2022-2023 14USU0230T 6091323001,2022-2023,14USU0230T,6091323001,Escolarizada,60,60,,120,1,2,,3,0,0,,0,
521,2022-2023 14USU0230T 6091325002,2022-2023,14USU0230T,6091325002,Escolarizada,4,8,,12,0,0,,0,0,0,,0,
522,2022-2023 14USU0230T 6091326001,2022-2023,14USU0230T,6091326001,Escolarizada,160,255,,415,3,3,,6,0,0,,0,
523,2022-2023 14USU0230T 6091327002,2022-2023,14USU0230T,6091327002,Escolarizada,153,118,,271,2,4,,6,0,0,,0,
524,2022-2023 14USU0230T 6091329001,2022-2023,14USU0230T,6091329001,Escolarizada,19,8,,27,2,0,,2,1,0,,1,
525,2022-2023 14USU0230T 6091331003,2022-2023,14USU0230T,6091331003,Escolarizada,26,19,,45,1,0,,1,2,0,,2,
526,2022-2023 14USU0230T 6091332001,2022-2023,14USU0230T,6091332001,Escolarizada,15,10,,25,0,0,,0,0,0,,0,
527,2022-2023 14USU0230T 6091334001,2022-2023,14USU0230T,6091334001,Escolarizada,3,1,,4,0,0,,0,0,0,,0,
528,2022-2023 14USU0230T 6091335001,2022-2023,14USU0230T,6091335001,Escolarizada,12,13,,25,0,0,,0,0,0,,0,
529,2022-2023 14USU0230T 6091335003,2022-2023,14USU0230T,6091335003,Escolarizada,3,0,,3,0,0,,0,0,0,,0,
530,2022-2023 14USU0230T 6091336001,2022-2023,14USU0230T,6091336001,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
531,2022-2023 14USU0230T 6091336005,2022-2023,14USU0230T,6091336005,Escolarizada,8,7,,15,0,0,,0,0,0,,0,
532,2022-2023 14USU0230T 6091336007,2022-2023,14USU0230T,6091336007,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
533,2022-2023 14USU0230T 6091336009,2022-2023,14USU0230T,6091336009,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
534,2022-2023 14USU0230T 6091336013,2022-2023,14USU0230T,6091336013,Escolarizada,5,3,,8,0,0,,0,1,0,,1,
535,2022-2023 14USU0230T 6091337005,2022-2023,14USU0230T,6091337005,Escolarizada,57,6,,63,0,0,,0,0,0,,0,
536,2022-2023 14USU0230T 6091338003,2022-2023,14USU0230T,6091338003,Escolarizada,11,33,,44,1,0,,1,0,0,,0,
537,2022-2023 14USU0230T 6091339001,2022-2023,14USU0230T,6091339001,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
538,2022-2023 14USU0230T 6091340001,2022-2023,14USU0230T,6091340001,Escolarizada,28,75,,103,0,1,,1,0,0,,0,
539,2022-2023 14USU0230T 6091340004,2022-2023,14USU0230T,6091340004,Escolarizada,5,6,,11,0,0,,0,0,0,,0,
540,2022-2023 14USU0230T 6091341001,2022-2023,14USU0230T,6091341001,Escolarizada,5,13,,18,0,0,,0,0,0,,0,
541,2022-2023 14USU0230T 6091342012,2022-2023,14USU0230T,6091342012,Escolarizada,61,32,,93,0,1,,1,1,0,,1,
542,2022-2023 14USU0230T 6091342013,2022-2023,14USU0230T,6091342013,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
543,2022-2023 14USU0230T 6091343001,2022-2023,14USU0230T,6091343001,Escolarizada,5,8,,13,0,0,,0,0,0,,0,
544,2022-2023 14USU0230T 6091344001,2022-2023,14USU0230T,6091344001,Escolarizada,25,3,,28,0,0,,0,0,0,,0,
545,2022-2023 14USU0230T 6091344002,2022-2023,14USU0230T,6091344002,Escolarizada,2,1,,3,0,0,,0,0,0,,0,
546,2022-2023 14USU0230T 6091345005,2022-2023,14USU0230T,6091345005,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
547,2022-2023 14USU0230T 6091345008,2022-2023,14USU0230T,6091345008,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
548,2022-2023 14USU0230T 6091345011,2022-2023,14USU0230T,6091345011,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
549,2022-2023 14USU0230T 6092202002,2022-2023,14USU0230T,6092202002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
550,2022-2023 14USU0230T 6092204007,2022-2023,14USU0230T,6092204007,Escolarizada,2,12,,14,0,0,,0,0,0,,0,
551,2022-2023 14USU0230T 6092206002,2022-2023,14USU0230T,6092206002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
552,2022-2023 14USU0230T 6092207003,2022-2023,14USU0230T,6092207003,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
553,2022-2023 14USU0230T 6092208015,2022-2023,14USU0230T,6092208015,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
554,2022-2023 14USU0230T 6093201002,2022-2023,14USU0230T,6093201002,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
555,2022-2023 14USU0230T 6093201005,2022-2023,14USU0230T,6093201005,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
556,2022-2023 14USU0230T 6093202001,2022-2023,14USU0230T,6093202001,Escolarizada,2,11,,13,0,0,,0,0,0,,0,
557,2022-2023 14USU0230T 6093203005,2022-2023,14USU0230T,6093203005,Escolarizada,1,13,,14,0,0,,0,0,0,,0,
558,2022-2023 14USU0230T 6093204001,2022-2023,14USU0230T,6093204001,Escolarizada,6,11,,17,0,0,,0,0,0,,0,
559,2022-2023 14USU0230T 6093205004,2022-2023,14USU0230T,6093205004,Escolarizada,4,4,,8,0,0,,0,0,0,,0,
560,2022-2023 14USU0230T 6093206003,2022-2023,14USU0230T,6093206003,Escolarizada,3,5,,8,0,0,,0,0,0,,0,
561,2022-2023 14USU0230T 6095600002,2022-2023,14USU0230T,6095600002,Escolarizada,17,10,,27,0,0,,0,0,0,,0,
562,2022-2023 14USU0230T 7012601008,2022-2023,14USU0230T,7012601008,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
563,2022-2023 14USU0230T 7012601010,2022-2023,14USU0230T,7012601010,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
564,2022-2023 14USU0230T 7031100001,2022-2023,14USU0230T,7031100001,Escolarizada,3,12,,15,0,0,,0,0,0,,0,
565,2022-2023 14USU0230T 7031100030,2022-2023,14USU0230T,7031100030,Escolarizada,5,6,,11,0,0,,0,0,0,,0,
566,2022-2023 14USU0230T 7031100043,2022-2023,14USU0230T,7031100043,Escolarizada,5,15,,20,0,0,,0,0,0,,0,
567,2022-2023 14USU0230T 7031100057,2022-2023,14USU0230T,7031100057,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
568,2022-2023 14USU0230T 7031100103,2022-2023,14USU0230T,7031100103,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
569,2022-2023 14USU0230T 7031100188,2022-2023,14USU0230T,7031100188,Escolarizada,5,14,,19,0,0,,0,0,0,,0,
570,2022-2023 14USU0230T 7031500022,2022-2023,14USU0230T,7031500022,Escolarizada,5,11,,16,0,0,,0,0,0,,0,
571,2022-2023 14USU0230T 7042500034,2022-2023,14USU0230T,7042500034,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
572,2022-2023 14USU0230T 7051200022,2022-2023,14USU0230T,7051200022,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
573,2022-2023 14USU0230T 7091316004,2022-2023,14USU0230T,7091316004,Escolarizada,1,11,,12,0,0,,0,0,0,,0,
574,2022-2023 14USU0230T 7091325001,2022-2023,14USU0230T,7091325001,Escolarizada,12,7,,19,0,0,,0,0,0,,0,
575,2022-2023 14USU0230T 7091345002,2022-2023,14USU0230T,7091345002,Escolarizada,2,6,,8,0,0,,0,0,0,,0,
576,2022-2023 14USU0230T 7092208001,2022-2023,14USU0230T,7092208001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
577,2022-2023 14USU0230T 7093207003,2022-2023,14USU0230T,7093207003,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
578,2022-2023 14USU0230T 7095000011,2022-2023,14USU0230T,7095000011,Escolarizada,5,14,,19,0,0,,0,0,0,,0,
579,2022-2023 14USU0230T 7095200012,2022-2023,14USU0230T,7095200012,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
580,2022-2023 14USU0230T 7095600015,2022-2023,14USU0230T,7095600015,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
581,2022-2023 14USU0230T 7095600030,2022-2023,14USU0230T,7095600030,Escolarizada,8,13,,21,0,1,,1,0,0,,0,
582,2022-2023 14USU0230T 7095600046,2022-2023,14USU0230T,7095600046,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
583,2022-2023 14USU0230T 7101000006,2022-2023,14USU0230T,7101000006,Escolarizada,4,9,,13,0,0,,0,0,0,,0,
584,2022-2023 14USU0230T 8031100011,2022-2023,14USU0230T,8031100011,Escolarizada,4,2,,6,0,0,,0,0,0,,0,
585,2022-2023 14USU0230T 8051100012,2022-2023,14USU0230T,8051100012,Escolarizada,20,26,,46,0,1,,1,0,0,,0,
586,2022-2023 14USU0230T 8051200017,2022-2023,14USU0230T,8051200017,Escolarizada,40,16,,56,0,0,,0,0,0,,0,
587,2022-2023 14USU0230T 8051200020,2022-2023,14USU0230T,8051200020,Escolarizada,21,18,,39,0,0,,0,0,0,,0,
588,2022-2023 14USU0230T 8072100013,2022-2023,14USU0230T,8072100013,Escolarizada,10,21,,31,0,1,,1,0,0,,0,
589,2022-2023 14USU0230T 8091100003,2022-2023,14USU0230T,8091100003,Escolarizada,12,19,,31,0,0,,0,0,0,,0,
590,2022-2023 14USU0230T 8091325001,2022-2023,14USU0230T,8091325001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
591,2022-2023 14USU0230T 8091345005,2022-2023,14USU0230T,8091345005,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
592,2022-2023 14USU0230T 8095000001,2022-2023,14USU0230T,8095000001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
593,2022-2023 14USU0230T 8095000003,2022-2023,14USU0230T,8095000003,Escolarizada,6,3,,9,0,0,,0,0,0,,0,
594,2022-2023 14USU0230T 8095200003,2022-2023,14USU0230T,8095200003,Escolarizada,27,28,,55,0,2,,2,0,0,,0,
595,2022-2023 14USU0230T 8095600001,2022-2023,14USU0230T,8095600001,Escolarizada,19,23,,42,1,0,,1,0,2,,2,
596,2022-2023 14MMS0607X BGAI,2022-2023,14MMS0607X,BGAI,Escolarizada,116,74,,190,3,3,,6,0,0,,0,
597,2022-2023 14MMS0607X BGC,2022-2023,14MMS0607X,BGC,Escolarizada,1236,1532,,2768,28,32,,60,2,2,,4,
598,2022-2023 14MMS0608W BGAI,2022-2023,14MMS0608W,BGAI,Escolarizada,49,34,,83,1,0,,1,0,0,,0,
599,2022-2023 14MMS0608W BGC,2022-2023,14MMS0608W,BGC,Escolarizada,1924,2257,,4181,37,45,,82,2,1,,3,
600,2022-2023 14MMS0609V BGAI,2022-2023,14MMS0609V,BGAI,Escolarizada,59,34,,93,3,1,,4,0,0,,0,
601,2022-2023 14MMS0609V BGC,2022-2023,14MMS0609V,BGC,Escolarizada,946,1427,,2373,22,19,,41,1,0,,1,
602,2022-2023 14MMS0610K BGAI,2022-2023,14MMS0610K,BGAI,Escolarizada,71,59,,130,2,0,,2,0,0,,0,
603,2022-2023 14MMS0610K BGC,2022-2023,14MMS0610K,BGC,Escolarizada,1028,1314,,2342,22,29,,51,0,0,,0,
604,2022-2023 14MMS0611J BGAI,2022-2023,14MMS0611J,BGAI,Escolarizada,42,43,,85,0,0,,0,0,0,,0,
605,2022-2023 14MMS0611J BGC,2022-2023,14MMS0611J,BGC,Escolarizada,1036,1725,,2761,18,26,,44,1,2,,3,
606,2022-2023 14MMS0612I BGAI,2022-2023,14MMS0612I,BGAI,Escolarizada,34,26,,60,0,2,,2,0,0,,0,
607,2022-2023 14MMS0612I BGC,2022-2023,14MMS0612I,BGC,Escolarizada,2124,2920,,5044,36,51,,87,2,1,,3,
608,2022-2023 14MMS0613H BGAI,2022-2023,14MMS0613H,BGAI,Escolarizada,29,11,,40,0,0,,0,0,0,,0,
609,2022-2023 14MMS0613H BGC,2022-2023,14MMS0613H,BGC,Escolarizada,2455,2878,,5333,69,54,,123,6,12,,18,
610,2022-2023 14MMS0614G BGC,2022-2023,14MMS0614G,BGC,Escolarizada,2073,2809,,4882,38,67,,105,1,1,,2,
611,2022-2023 14MMS0615F BGAI,2022-2023,14MMS0615F,BGAI,Escolarizada,114,83,,197,3,0,,3,0,0,,0,
