name,row,anio,entidad_universitaria,anexo_1,anexo_2,anexo_3,anexo_4,anexo_5,anexo_6,anexo_7,anexo_8,anexo_9,anexo_10,anexo_11,anexo_12,anexo_13,anexo_14,anexo_15,anexo_16,anexo_17,anexo_18,anexo_19
Anexo 1994 - 1 - CUCEA,1,1994,CUCEA,13421,231,648,,10,3,3,,,17744,16670,137,20055.00,26732540.00,,,1,6,
Anexo 2019 - 2 - CUCEA,2,2019,CUCEA,20267,463,698,,14,,20,6,,74500,164989,233,71369.73,593781440,2351,1792,1,112,
Anexo 2020 - 3 - CUCEA,3,2020,CUCEA,21746,456,686,,14,,18,6,,77278,175298,233,71369.73,611172194,2941,682,1,126,
Anexo 2021 - 4 - CUCEA,4,2021,CUCEA,22530,429,590,,14,,17,6,,80009,167196,233,71369.73,633700218,2672,1890,1,125,
Anexo 2022 - 5 - CUCEA,5,2022,CUCEA,22468,410,571,,14,,17,7,,81405,174306,229,71369.73,646334116,3644,2658,1,142,
Anexo 2023 - 6 - CUCEA,6,2023,CUCEA,23123,413,588,1,14,,20,7,,82448,175828,229,71369.73,698134673,3307,2093,1,182,
Anexo 2024 - 7 - CUCEA,7,2024,CUCEA,24424,377,587,1,15,,17,8,,78248,166325,227,32600,722945171.6,3167,2907,1,197,
Anexo 2025 - 8 - CUCEA,8,2025,CUCEA,24808,410,659,1,16,,19,7,,86221,171523,227,32600,760110884,3631,3878,1,201,
Anexo 1994 - 9 - CUCS,9,1994,CUCS,10030,329,1151,1,5,,4,4,,9229,11339,95,32515.00,49319790.00,,,1,23,
Anexo 2019 - 10 - CUCS,10,2019,CUCS,18636,547,1275,5,8,69,14,9,1,31419,70593,201,65828.46,839164529,3362,2529,1,243,
Anexo 2020 - 11 - CUCS,11,2020,CUCS,19248,546,1249,5,8,71,15,9,1,31912,71856,221,68018.46,859809194,4921,2282,1,255,
Anexo 2021 - 12 - CUCS,12,2021,CUCS,18457,532,1169,5,8,54,14,9,1,32018,72040,191,68693.1,856475258,3340,3342,1,256,
Anexo 2022 - 13 - CUCS,13,2022,CUCS,19289,508,1131,5,9,63,11,9,1,33294,66831,191,68753.32,897748541,3374,3201,1,285,
