ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2023-2024,14MMS0647Y,BGC,Escolarizada,750,872,,1622,2,0,,2,2,0,,2,0,0,,0,0,0,,0,1,0,,1,16,6,,22,1,0,,1,0,0,,0,22,6,,28,3,3,,6
2023-2024,14MMS0647Y,BGC,Escolarizada,760,860,,1620,2,0,,2,0,0,,0,0,0,,0,1,0,,1,0,0,,0,8,8,,16,0,0,,0,0,0,,0,11,8,,19,0,0,,0
2023-2024,14MMS0762P,BGC,Escolarizada,60,69,,129,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0762P,BGC,Escolarizada,48,80,,128,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0648X,BGAI,Escolarizada,18,10,,28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0648X,BGC,Escolarizada,831,964,,1795,1,0,,1,1,0,,1,0,0,,0,0,0,,0,1,1,,2,11,17,,28,0,0,,0,0,0,,0,14,18,,32,3,3,,6
2023-2024,14MMS0648X,BGC,Escolarizada,817,977,,1794,0,2,,2,1,2,,3,0,0,,0,0,0,,0,0,0,,0,9,15,,24,0,0,,0,0,0,,0,10,19,,29,2,3,,5
2023-2024,14MMS0649W,BGAI,Escolarizada,129,88,,217,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2023-2024,14MMS0649W,BGC,Escolarizada,1025,1197,,2222,2,1,,3,0,1,,1,0,0,,0,0,0,,0,2,0,,2,3,16,,19,0,0,,0,3,0,,3,10,18,,28,7,4,,11
2023-2024,14MMS0649W,BGC,Escolarizada,961,1261,,2222,1,1,,2,0,0,,0,0,0,,0,0,0,,0,2,1,,3,10,15,,25,0,0,,0,0,0,,0,13,17,,30,1,2,,3
2023-2024,14MMS0650L,BGAI,Escolarizada,86,81,,167,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0650L,BGC,Escolarizada,830,823,,1653,1,0,,1,2,1,,3,0,0,,0,0,1,,1,0,0,,0,8,5,,13,1,3,,4,0,0,,0,12,10,,22,3,1,,4
2023-2024,14MMS0650L,BGC,Escolarizada,780,872,,1652,0,1,,1,0,0,,0,0,0,,0,0,1,,1,1,0,,1,6,10,,16,0,0,,0,0,0,,0,7,12,,19,0,1,,1
2023-2024,14MMS0646Z,BGC,Escolarizada,1780,1430,,3210,2,2,,4,3,2,,5,0,0,,0,0,0,,0,0,1,,1,15,16,,31,0,1,,1,0,0,,0,20,22,,42,9,5,,14
2023-2024,14MMS0646Z,BGC,Escolarizada,1786,1422,,3208,2,1,,3,2,2,,4,0,0,,0,0,0,,0,0,0,,0,17,21,,38,0,2,,2,1,1,,2,22,27,,49,3,5,,8
2023-2024,14MMS0640E,BGC,Escolarizada,335,335,,670,1,0,,1,3,0,,3,0,0,,0,0,0,,0,0,1,,1,0,3,,3,0,1,,1,0,0,,0,4,5,,9,3,0,,3
2023-2024,14MMS0640E,BGC,Escolarizada,332,336,,668,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,6,,10,0,1,,1,0,0,,0,4,7,,11,2,0,,2
2023-2024,14MMS0615F,BGAI,Escolarizada,78,81,,159,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,2,2,,4,0,0,,0,0,0,,0,3,2,,5,0,0,,0
2023-2024,14MMS0615F,BGC,Escolarizada,576,811,,1387,0,1,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,9,10,,19,0,2,,2,0,0,,0,10,13,,23,1,0,,1
2023-2024,14MMS0615F,BGC,Escolarizada,570,817,,1387,0,1,,1,1,0,,1,0,0,,0,0,0,,0,1,0,,1,3,13,,16,0,0,,0,0,0,,0,5,14,,19,0,2,,2
2023-2024,14MMS0630Y,BGAI,Escolarizada,21,11,,32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
2023-2024,14MMS0630Y,BGC,Escolarizada,526,567,,1093,0,0,,0,1,1,,2,0,1,,1,0,0,,0,1,1,,2,3,4,,7,0,1,,1,1,0,,1,6,8,,14,1,2,,3
2023-2024,14MMS0630Y,BGC,Escolarizada,526,565,,1091,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,4,0,,4,1,1,,2,1,0,,1,7,1,,8,0,2,,2
2023-2024,14MMS0631X,BGC,Escolarizada,811,879,,1690,1,1,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,10,10,,20,1,0,,1,0,0,,0,13,11,,24,7,10,,17
2023-2024,14MMS0631X,BGC,Escolarizada,813,875,,1688,0,0,,0,1,2,,3,0,0,,0,0,0,,0,0,0,,0,12,7,,19,0,0,,0,0,0,,0,13,9,,22,2,7,,9
2023-2024,14MMS0636S,BGC,Escolarizada,764,765,,1529,4,2,,6,0,1,,1,0,0,,0,0,0,,0,1,1,,2,7,11,,18,0,1,,1,0,0,,0,12,16,,28,0,4,,4
2023-2024,14MMS0636S,BGC,Escolarizada,754,773,,1527,0,1,,1,1,0,,1,1,1,,2,1,0,,1,0,2,,2,7,8,,15,0,0,,0,0,0,,0,10,12,,22,4,4,,8
2023-2024,14MMS0752I,BGAI,Escolarizada,85,98,,183,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,2,0,,2,0,0,,0
2023-2024,14MMS0752I,BGC,Escolarizada,377,628,,1005,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,8,,10,1,0,,1,0,0,,0,4,9,,13,0,2,,2
2023-2024,14MMS0752I,BGC,Escolarizada,376,629,,1005,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,4,7,,11,1,0,,1,0,0,,0,5,8,,13,4,1,,5
2023-2024,14MMS0753H,BGAI,Escolarizada,18,17,,35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0753H,BGC,Escolarizada,700,788,,1488,0,2,,2,1,0,,1,0,0,,0,0,0,,0,0,1,,1,10,9,,19,0,0,,0,0,0,,0,11,12,,23,2,5,,7
2023-2024,14MMS0753H,BGC,Escolarizada,686,801,,1487,1,0,,1,1,0,,1,0,0,,0,0,0,,0,1,1,,2,5,8,,13,1,0,,1,0,0,,0,9,9,,18,1,4,,5
2023-2024,14MMS0757D,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0757D,BGC,Escolarizada,638,762,,1400,0,3,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,9,7,,16,0,1,,1,0,0,,0,9,11,,20,2,3,,5
2023-2024,14MMS0757D,BGC,Escolarizada,639,760,,1399,0,0,,0,1,0,,1,0,1,,1,0,0,,0,0,1,,1,7,11,,18,0,1,,1,3,0,,3,11,14,,25,2,0,,2
2023-2024,14MMS0756E,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0756E,BGC,Escolarizada,715,735,,1450,1,0,,1,2,0,,2,0,1,,1,1,0,,1,0,0,,0,7,10,,17,0,0,,0,0,0,,0,11,11,,22,10,4,,14
2023-2024,14MMS0756E,BGC,Escolarizada,672,777,,1449,2,1,,3,1,0,,1,0,0,,0,0,0,,0,0,0,,0,12,8,,20,0,0,,0,0,0,,0,15,9,,24,4,6,,10
2023-2024,14MMS0878P,BGC,Escolarizada,239,232,,471,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,1,2,,3,4,2,,6
2023-2024,14MMS0878P,BGC,Escolarizada,232,238,,470,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,1,3,,4
2023-2024,14MMS0844Z,BGC,Escolarizada,799,768,,1567,0,0,,0,5,4,,9,0,0,,0,0,1,,1,0,0,,0,4,9,,13,1,1,,2,2,0,,2,12,15,,27,2,2,,4
2023-2024,14MMS0844Z,BGC,Escolarizada,755,812,,1567,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,4,7,,11,0,1,,1,2,0,,2,6,9,,15,1,3,,4
2023-2024,14MMS0607X,BGAI,Escolarizada,75,63,,138,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,2,,3,0,0,,0,0,0,,0,1,2,,3,0,0,,0
2023-2024,14MMS0607X,BGC,Escolarizada,643,715,,1358,3,1,,4,2,2,,4,0,0,,0,0,0,,0,1,0,,1,11,13,,24,0,0,,0,1,0,,1,18,16,,34,3,4,,7
2023-2024,14MMS0607X,BGC,Escolarizada,626,731,,1357,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,10,6,,16,0,0,,0,2,0,,2,12,6,,18,1,1,,2
2023-2024,14MMS0645Z,BGAI,Escolarizada,73,72,,145,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,3,0,,3
2023-2024,14MMS0645Z,BGC,Escolarizada,733,977,,1710,1,1,,2,1,0,,1,0,0,,0,0,1,,1,0,1,,1,8,3,,11,0,1,,1,0,0,,0,10,7,,17,0,2,,2
2023-2024,14MMS0645Z,BGC,Escolarizada,719,989,,1708,1,1,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,12,15,,27,0,1,,1,0,0,,0,14,17,,31,4,2,,6
2023-2024,14MMS0623O,BGAI,Escolarizada,101,94,,195,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
2023-2024,14MMS0623O,BGC,Escolarizada,956,1124,,2080,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,8,17,,25,1,0,,1,0,0,,0,10,17,,27,1,1,,2
2023-2024,14MMS0623O,BGC,Escolarizada,956,1123,,2079,0,2,,2,0,3,,3,0,0,,0,0,0,,0,1,1,,2,11,11,,22,0,2,,2,2,1,,3,14,20,,34,0,3,,3
2023-2024,14MMS0614G,BGC,Escolarizada,1228,1506,,2734,0,2,,2,2,0,,2,0,0,,0,1,1,,2,0,2,,2,18,26,,44,0,0,,0,0,0,,0,21,31,,52,1,1,,2
2023-2024,14MMS0614G,BGC,Escolarizada,1254,1479,,2733,1,1,,2,2,2,,4,0,0,,0,1,0,,1,0,0,,0,8,24,,32,0,0,,0,1,0,,1,13,27,,40,2,4,,6
2023-2024,14MMS0643B,BGAI,Escolarizada,24,38,,62,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0643B,BGC,Escolarizada,230,253,,483,1,0,,1,0,0,,0,1,0,,1,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,1,,1
2023-2024,14MMS0643B,BGC,Escolarizada,236,247,,483,2,0,,2,0,0,,0,0,0,,0,0,0,,0,1,1,,2,1,0,,1,0,0,,0,0,0,,0,4,1,,5,0,1,,1
2023-2024,14MMS0705Y,BGAI,Escolarizada,21,39,,60,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0705Y,BGC,Escolarizada,165,219,,384,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,4,2,,6,0,1,,1,0,0,,0,5,3,,8,0,0,,0
2023-2024,14MMS0705Y,BGC,Escolarizada,157,227,,384,1,1,,2,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,2,,2,0,0,,0,0,0,,0,2,3,,5,0,0,,0
2023-2024,14MMS0617D,BGC,Escolarizada,255,314,,569,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,,7,0,0,,0,0,0,,0,2,6,,8,0,0,,0
2023-2024,14MMS0617D,BGC,Escolarizada,256,312,,568,0,1,,1,0,1,,1,0,0,,0,0,0,,0,0,0,,0,1,2,,3,0,0,,0,1,0,,1,2,4,,6,0,0,,0
2023-2024,14MMS0662Q,BGC,Escolarizada,99,138,,237,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
2023-2024,14MMS0663P,BGC,Escolarizada,33,38,,71,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0663P,BGC,Escolarizada,33,38,,71,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0
2023-2024,14MMS0664O,BGC,Escolarizada,89,74,,163,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
2023-2024,14MMS0665N,BGC,Escolarizada,76,87,,163,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2023-2024,14MMS0665N,BGC,Escolarizada,77,84,,161,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
2023-2024,14MMS0619B,BGAI,Escolarizada,21,19,,40,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0619B,BGC,Escolarizada,331,434,,765,1,1,,2,0,0,,0,0,1,,1,1,0,,1,2,0,,2,7,8,,15,0,0,,0,0,0,,0,11,10,,21,0,0,,0
2023-2024,14MMS0619B,BGC,Escolarizada,367,397,,764,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,10,5,,15,0,1,,1,0,0,,0,11,6,,17,1,1,,2
2023-2024,14MMS0666M,BGC,Escolarizada,53,76,,129,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,0,,3,0,0,,0,0,0,,0,3,0,,3,2,0,,2
2023-2024,14MMS0666M,BGC,Escolarizada,44,85,,129,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2
2023-2024,14MMS0667L,BGC,Escolarizada,52,104,,156,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0667L,BGC,Escolarizada,65,89,,154,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0728I,BGC,Escolarizada,51,73,,124,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2023-2024,14MMS0718B,BGC,Escolarizada,116,112,,228,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0718B,BGC,Escolarizada,112,115,,227,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
2023-2024,14MMS0750K,BGC,Escolarizada,142,197,,339,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,0,,0,8,7,,15,0,0,,0,1,0,,1,10,8,,18,0,0,,0
2023-2024,14MMS0618C,BGAI,Escolarizada,15,19,,34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
2023-2024,14MMS0618C,BGC,Escolarizada,389,450,,839,1,0,,1,2,0,,2,0,0,,0,0,0,,0,0,0,,0,3,3,,6,0,1,,1,0,0,,0,6,4,,10,0,0,,0
2023-2024,14MMS0618C,BGC,Escolarizada,387,451,,838,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,4,,4,0,0,,0,0,5,,5,0,0,,0
2023-2024,14MMS0747X,BGC,Escolarizada,222,269,,491,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,3,,4,0,0,,0,0,0,,0,1,3,,4,1,1,,2
2023-2024,14MMS0668K,BGC,Escolarizada,151,190,,341,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,1,,1
2023-2024,14MMS0668K,BGC,Escolarizada,179,161,,340,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
2023-2024,14MMS0621Q,BGC,Escolarizada,431,479,,910,2,0,,2,0,2,,2,0,0,,0,0,2,,2,1,0,,1,7,5,,12,0,2,,2,0,0,,0,10,11,,21,3,1,,4
2023-2024,14MMS0621Q,BGC,Escolarizada,419,490,,909,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,6,10,,16,0,0,,0,0,0,,0,6,10,,16,2,2,,4
2023-2024,14MMS0635T,BGC,Escolarizada,310,369,,679,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,4,,6,0,0,,0,0,0,,0,2,4,,6,1,1,,2
2023-2024,14MMS0635T,BGC,Escolarizada,338,339,,677,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,2,5,,7,0,0,,0,1,0,,1,4,5,,9,0,0,,0
2023-2024,14MMS0732V,BGC,Escolarizada,107,94,,201,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,35,38,,73
2023-2024,14MMS0622P,BGC,Escolarizada,127,133,,260,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,0,,3,0,0,,0,0,0,,0,3,1,,4,0,0,,0
2023-2024,14MMS0622P,BGC,Escolarizada,121,138,,259,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
2023-2024,14MMS0733U,BGC,Escolarizada,49,54,,103,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
2023-2024,14MMS0674V,BGC,Escolarizada,72,94,,166,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0734T,BGC,Escolarizada,34,41,,75,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0675U,BGC,Escolarizada,67,63,,130,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,3,,3,0,0,,0
2023-2024,14MMS0676T,BGC,Escolarizada,51,68,,119,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0676T,BGC,Escolarizada,52,67,,119,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0735S,BGC,Escolarizada,45,37,,82,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0736R,BGC,Escolarizada,65,60,,125,0,1,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0
2023-2024,14MMS0737Q,BGC,Escolarizada,46,50,,96,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,1,,1
2023-2024,14MMS0677S,BGC,Escolarizada,69,54,,123,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0677S,BGC,Escolarizada,54,67,,121,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0758C,BGC,Escolarizada,98,101,,199,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0626L,BGC,Escolarizada,454,595,,1049,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3,9,15,,24,0,0,,0,0,0,,0,11,16,,27,3,5,,8
2023-2024,14MMS0626L,BGC,Escolarizada,460,588,,1048,1,1,,2,2,0,,2,0,1,,1,0,0,,0,0,1,,1,9,7,,16,1,0,,1,0,0,,0,13,10,,23,0,1,,1
