name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2018B 323 14USU0150H 5042000002,323,2018-2019,2018,B,14USU0150H,5042000002,,,,30,,,,30,,,,0,100.00,35,97.28
2018B 324 14USU0150H 5041400032,324,2018-2019,2018,B,14USU0150H,5041400032,,,,37,,,,37,,,,0,100.00,37,102.94
2018B 325 14USU0150H 5031100007,325,2018-2019,2018,B,14USU0150H,5031100007,,,,27,,,,27,,,,0,100.00,35,95.9533
2018B 326 14USU0150H 5042100117,326,2018-2019,2018,B,14USU0150H,5042100117,,,,23,,,,23,,,,0,100.00,35,99.7933
2018B 327 14USU0190I 5033100003,327,2018-2019,2018,B,14USU0190I,5033100003,,,,156,,,,90,,,,66,57.69,90,125.25
2018B 328 14USU0190I 5073200005,328,2018-2019,2018,B,14USU0190I,5073200005,,,,131,,,,80,,,,51,61.07,80,134.3367
2018B 329 14USU0190I 5061000002,329,2018-2019,2018,B,14USU0190I,5061000002,,,,72,,,,40,,,,32,55.56,40,132.1667
2018B 330 14USU0190I 5062100034,330,2018-2019,2018,B,14USU0190I,5062100034,,,,49,,,,45,,,,4,91.84,45,104.1667
2018B 331 14USU0190I 5051100003,331,2018-2019,2018,B,14USU0190I,5051100003,,,,58,,,,40,,,,18,68.97,40,122.0833
2018B 332 14USU0190I 5042000002,332,2018-2019,2018,B,14USU0190I,5042000002,,,,221,,,,90,,,,131,40.72,90,135
2018B 333 14USU0190I 5073100009,333,2018-2019,2018,B,14USU0190I,5073100009,,,,122,,,,80,,,,42,65.57,80,128.6067
2018B 334 14USU0190I 5021000114,334,2018-2019,2018,B,14USU0190I,5021000114,,,,17,,,,17,,,,0,100.00,20,92.4167
2018B 335 14USU0190I 5021700002,335,2018-2019,2018,B,14USU0190I,5021700002,,,,20,,,,20,,,,0,100.00,20,98.6667
2018B 336 14USU0190I 5072100049,336,2018-2019,2018,B,14USU0190I,5072100049,,,,74,,,,30,,,,44,40.54,30,136.25
2018B 337 14USU0190I 5041400032,337,2018-2019,2018,B,14USU0190I,5041400032,,,,223,,,,90,,,,133,40.36,90,137.5933
2018B 338 14USU0190I 5101100015,338,2018-2019,2018,B,14USU0190I,5101100015,,,,92,,,,42,,,,50,45.65,42,124.25
2018B 339 14USU0190I 5021500044,339,2018-2019,2018,B,14USU0190I,5021500044,,,,35,,,,35,,,,0,100.00,35,88.1667
2018B 340 14USU0190I 5092100006,340,2018-2019,2018,B,14USU0190I,5092100006,,,,126,,,,41,,,,85,32.54,41,142.39
2018B 341 14USU0190I 5021500002,341,2018-2019,2018,B,14USU0190I,5021500002,,,,83,,,,80,,,,3,96.39,80,101.9167
2018B 342 14USU0190I 5094200006,342,2018-2019,2018,B,14USU0190I,5094200006,,,,95,,,,40,,,,55,42.11,40,131.75
2018B 343 14USU0190I 5031100007,343,2018-2019,2018,B,14USU0190I,5031100007,,,,135,,,,90,,,,45,66.67,90,117.0833
2018B 344 14USU0190I 5101600013,344,2018-2019,2018,B,14USU0190I,5101600013,,,,89,,,,89,,,,0,100.00,89,88.5
2018B 345 14USU0190I 5091100011,345,2018-2019,2018,B,14USU0190I,5091100011,,,,513,,,,41,,,,472,7.99,41,170.25
2018B 346 14USU0009S 5033100003,346,2018-2019,2018,B,14USU0009S,5033100003,,,,23,,,,23,,,,0,100.00,23,96.5833
2018B 347 14USU0009S 5042000002,347,2018-2019,2018,B,14USU0009S,5042000002,,,,10,,,,10,,,,0,100.00,10,97.4667
2018B 348 14USU0009S 5101600013,348,2018-2019,2018,B,14USU0009S,5101600013,,,,12,,,,12,,,,0,100.00,12,84.9167
2018B 349 14USU0200Z 5033100003,349,2018-2019,2018,B,14USU0200Z,5033100003,,,,118,,,,80,,,,38,67.80,80,119.8333
