name,row,anio,entidad_universitaria,pa_categoria,pa_nivel,total,tiempo_completo,medio_tiempo
312 Investigadores-176 - 2024 - SEMS,176,2024,SEMS,Asociado,B,1,1,0
312 Investigadores-177 - 2024 - SEMS,177,2024,SEMS,Asociado,C,2,2,0
312 Investigadores-178 - 2024 - SEMS,178,2024,SEMS,Titular,A,0,0,0
312 Investigadores-179 - 2024 - SEMS,179,2024,SEMS,Titular,B,1,1,0
312 Investigadores-180 - 2024 - SEMS,180,2024,SEMS,Titular,C,1,1,0
312 Investigadores-181 - 2024 - AG,181,2024,AG,Asistente,A,0,0,0
312 Investigadores-182 - 2024 - AG,182,2024,AG,Asistente,B,0,0,0
312 Investigadores-183 - 2024 - AG,183,2024,AG,Asistente,C,0,0,0
312 Investigadores-184 - 2024 - AG,184,2024,AG,Asociado,A,0,0,0
312 Investigadores-185 - 2024 - AG,185,2024,AG,Asociado,B,0,0,0
312 Investigadores-186 - 2024 - AG,186,2024,AG,Asociado,C,0,0,0
312 Investigadores-187 - 2024 - AG,187,2024,AG,Titular,A,0,0,0
312 Investigadores-188 - 2024 - AG,188,2024,AG,Titular,B,0,0,0
312 Investigadores-189 - 2024 - AG,189,2024,AG,Titular,C,0,0,0
