orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
23,CUTONALÁ,,14USU0008T,Centro Universitario de Tonalá,CUTONALÁ,Centro Universitario,Regional,Región Centro,Tonalá,
24,CUTLAJOMULCO,,14USU0011G,Centro Universitario de Tlajomulco,CUTLAJOMULCO,Centro Universitario,Regional,Región Centro,Tlajomulco de Zúñiga,
25,CUGUADALAJARA,,14USU0012F,Centro Universitario de Guadalajara,CUGUADALAJARA,Centro Universitario,Regional,Región Centro,Guadalajara,Se agregó en el anexo 2024
26,CUTLAQUEPAQUE,,CUTLAQUEPAQUE,Centro Universitario de Tlaquepaque,CUTLAQUEPAQUE,Centro Universitario,Regional,Región Centro,San Pedro Tlaquepaque,
27,CUCHAPALA,,14USU0013E,Centro Universitario de Chapala,CUCHAPALA,Centro Universitario,Regional,Región Sureste,Chapala,
28,SUV,,14USU0004X,Sistema de Universidad Virtual,SUV,Virtual,Regional,Región Centro,Guadalajara,
29,SEMS,,14MMS0607X,Escuela Preparatoria de Jalisco,Prepa Jalisco,Escuela,Metropolitano,Región Centro,Guadalajara,
30,SEMS,,14MMS0608W,Escuela Preparatoria No. 2,Prepa 2,Escuela,Metropolitano,Región Centro,Guadalajara,
31,SEMS,,14MMS0609V,Escuela Preparatoria No. 3,Prepa 3,Escuela,Metropolitano,Región Centro,Guadalajara,
32,SEMS,,14MMS0610K,Escuela Preparatoria No. 4,Prepa 4,Escuela,Metropolitano,Región Centro,Guadalajara,
33,SEMS,,14MMS0611J,Escuela Preparatoria No. 5,Prepa 5,Escuela,Metropolitano,Región Centro,Guadalajara,
34,SEMS,,14MMS0612I,Escuela Preparatoria No. 6,Prepa 6,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
35,SEMS,,14MMS0613H,Escuela Preparatoria No. 7,Prepa 7,Escuela,Metropolitano,Región Centro,Zapopan,
36,SEMS,,14MMS0647Y,Escuela Preparatoria No. 8,Prepa 8,Escuela,Metropolitano,Región Centro,Zapopan,
37,SEMS,14MMS0647Y,14MMS0762P,Módulo Cuquío,Módulo Cuquío,Módulo,Metropolitano,Región Centro,Cuquío,
38,SEMS,14MMS0647Y,14MMS0761Q,Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,Módulo,Metropolitano,Región Centro,Ixtlahuacán del Río,
39,SEMS,,14MMS0648X,Escuela Preparatoria No. 9,Prepa 9,Escuela,Metropolitano,Región Centro,Zapopan,
40,SEMS,,14MMS0649W,Escuela Preparatoria No. 10,Prepa 10,Escuela,Metropolitano,Región Centro,Zapopan,
41,SEMS,,14MMS0650L,Escuela Preparatoria No. 11,Prepa 11,Escuela,Metropolitano,Región Centro,Guadalajara,
42,SEMS,,14MMS0646Z,Escuela Preparatoria No. 12,Prepa 12,Escuela,Metropolitano,Región Centro,Guadalajara,
43,SEMS,14MMS0646Z,14MMS0640E,Módulo Tlaquepaque,Módulo Tlaquepaque,Módulo,Metropolitano,Región Centro,San Pedro Tlaquepaque,
44,SEMS,,14MMS0615F,Escuela Preparatoria No. 13 “El Sauz”,Prepa 13,Escuela,Metropolitano,Región Centro,Guadalajara,
45,SEMS,,14MMS0630Y,Escuela Preparatoria No. 14,Prepa 14,Escuela,Metropolitano,Región Centro,Guadalajara,
46,SEMS,14MMS0630Y,14MMS0641D,Módulo La Experiencia,Módulo La Experiencia,Módulo,Metropolitano,Región Centro,Zapopan,
47,SEMS,,14MMS0631X,Escuela Preparatoria No. 15,Prepa 15,Escuela,Metropolitano,Región Centro,Zapopan,
48,SEMS,,14MMS0636S,Escuela Preparatoria No. 16,Prepa 16,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
49,SEMS,,14MMS0752I,Escuela Preparatoria No. 17,Prepa 17,Escuela,Metropolitano,Región Centro,El Salto,
50,SEMS,,14MMS0753H,Escuela Preparatoria No. 18,Prepa 18,Escuela,Metropolitano,Región Centro,Guadalajara,
51,SEMS,,14MMS0757D,Escuela Preparatoria No. 19,Prepa 19,Escuela,Metropolitano,Región Centro,Zapopan,
52,SEMS,,14MMS0756E,Escuela Preparatoria No. 20,Prepa 20,Escuela,Metropolitano,Región Centro,Zapopan,
53,SEMS,,14MMS0614G,Escuela Vocacional,Escuela Vocacional,Escuela,Metropolitano,Región Centro,Guadalajara,
54,SEMS,,14MMS0645Z,Escuela Preparatoria de Tonalá,Prepa Tonalá,Escuela,Metropolitano,Región Centro,Tonalá,
55,SEMS,,14MMS0623O,Escuela Preparatoria Regional Tonalá Norte,Prepa Tonalá Norte,Escuela,Metropolitano,Región Centro,Tonalá,
56,SEMS,,14MMS0776S,Escuela Politécnica de Guadalajara,Poli de Guadalajara,Escuela,Metropolitano,Región Centro,Guadalajara,
57,SEMS,,14MMS0799C,Escuela Politécnica “Ing. Jorge Matute Remus”,Poli Ing. Jorge Matute Remus,Escuela,Metropolitano,Región Centro,Zapopan,
58,SEMS,,14MMS0878P,Escuela Preparatoria No. 21 de Zapopan,Prepa 21,Escuela,Metropolitano,Región Centro,Zapopan,
59,SEMS,,14MMS0844Z,Escuela Preparatoria No. 22 de Tlaquepaque,Prepa 22,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
60,SEMS,,14MMS0643B,Escuela Preparatoria Regional de Ahualulco de Mercado,EPR de Ahualulco de Mercado,Escuela,Regional,Región Valles,Ahualulco de Mercado,
61,SEMS,14MMS0643B,14MMS0727J,Módulo Teuchitlán,Módulo Teuchitlán,Módulo,Regional,Región Valles,Teuchitlán,
62,SEMS,,14MMS0717C,Escuela Preparatoria Regional de Amatitán,EPR de Amatitán,Escuela,Regional,Región Valles,Amatitán,
63,SEMS,14MMS0717C,14MMS0741C,Módulo “El Salvador”,Módulo El Salvador,Módulo,Regional,Región Valles,Tequila,
64,SEMS,,14MMS0617D,Escuela Preparatoria Regional de Ameca,EPR de Ameca,Escuela,Regional,Región Valles,Ameca,
65,SEMS,14MMS0617D,14MMS0662Q,Módulo de Atenguillo,Módulo Atenguillo,Módulo,Regional,Región Costa-Sierra Occidental,Atenguillo,
66,SEMS,14MMS0617D,14MMS0663P,Módulo Mascota,Módulo Mascota,Módulo,Regional,Región Costa-Sierra Occidental,Mascota,
67,SEMS,14MMS0617D,14MMS0664O,Módulo San Antonio Matute,Módulo San Antonio Matute,Módulo,Regional,Región Valles,Ameca,
68,SEMS,14MMS0617D,14MMS0665N,Módulo Talpa de Allende,Módulo Talpa de Allende,Módulo,Regional,Región Costa-Sierra Occidental,Talpa de Allende,
69,SEMS,,14MMS0619B,Escuela Preparatoria Regional de Arandas,EPR de Arandas,Escuela,Regional,Región Altos Sur,Arandas,
70,SEMS,14MMS0619B,14MMS0666M,Módulo Jesús María,Módulo Jesús María,Módulo,Regional,Región Altos Sur,Jesús María,
71,SEMS,14MMS0619B,14MMS0667L,Módulo San Ignacio Cerro Gordo,Módulo San Ignacio Cerro Gordo,Módulo,Regional,Región Altos Sur,San Ignacio Cerro Gordo,
72,SEMS,14MMS0619B,14MMS0728I,Módulo Santa María del Valle,Módulo Santa María del Valle,Módulo,Regional,Región Altos Sur,Arandas,
73,SEMS,,14MMS0618C,Escuela Preparatoria Regional de Atotonilco,EPR de Atotonilco,Escuela,Regional,Región Ciénega,Atotonilco el Alto,
74,SEMS,14MMS0618C,14MMS0668K,Módulo Ayotlán,Módulo Ayotlán,Módulo,Regional,Región Ciénega,Ayotlán,
