orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
179,SEMS,,14MMS0633V,Escuela Preparatoria Regional de Tuxpan,EPR de Tuxpan,Escuela,Regional,Región Sur,Tuxpan,
180,SEMS,14MMS0633V,14MMS0772W,Módulo Pihuamo,Módulo Pihuamo,Módulo,Regional,Región Sur,Pihuamo,
181,SEMS,14MMS0633V,14MMS0679Q,Módulo Tecalitlán,Módulo Tecalitlán,Módulo,Regional,Región Sur,Tecalitlán,
182,SEMS,14MMS0633V,14MMS0723N,Módulo Tonila,Módulo Tonila,Módulo,Regional,Región Sur,Tonila,
183,SEMS,,14MMS0712H,Escuela Preparatoria Regional de Unión de Tula,EPR de Unión de Tula,Escuela,Regional,Región Sierra de Amula,Unión de Tula,
184,SEMS,14MMS0712H,14MMS0669J,Módulo Ayutla,Módulo Ayutla,Módulo,Regional,Región Sierra de Amula,Ayutla,
185,SEMS,14MMS0712H,14MMS0672X,Módulo Ejutla,Módulo Ejutla,Módulo,Regional,Región Sierra de Amula,Ejutla,
186,SEMS,,14MMS0708V,Escuela Preparatoria Regional de Villa Corona,EPR de Villa Corona,Escuela,Regional,Región Lagunas,Villa Corona,
187,SEMS,14MMS0708V,14MMS0767K,Módulo Acatlán de Juárez,Módulo Acatlán de Juárez,Módulo,Regional,Región Lagunas,Acatlán de Juárez,
188,SEMS,,14MMS0659C,Escuela Preparatoria Regional de Zacoalco de Torres,EPR de Zacoalco de Torres,Escuela,Regional,Región Lagunas,Zacoalco de Torres,
189,SEMS,14MMS0659C,14MMS0755F,Módulo Atemajac de Brizuela,Módulo Atemajac de Brizuela,Módulo,Regional,Región Lagunas,Atemajac de Brizuela,
190,SEMS,14MMS0659C,14MMS0746Y,Módulo Teocuitatlán de Corona,Módulo Teocuitatlán de Corona,Módulo,Regional,Región Lagunas,Teocuitatlán de Corona,
191,SEMS,14MMS0659C,14MMS0724M,Módulo Villa Atoyac,Módulo Villa Atoyac,Módulo,Regional,Región Lagunas,Atoyac,
192,SEMS,14MMS0659C,14MMS0745Z,Módulo Cítala,Módulo Cítala,Módulo,Regional,Región Lagunas,Teocuitatlán de Corona,
193,SEMS,,14MMS0638Q,Escuela Preparatoria Regional de Zapotiltic,EPR de Zapotiltic,Escuela,Regional,Región Sur,Zapotiltic,
194,SEMS,,14MMS0658D,Escuela Preparatoria Regional de Zapotlanejo,EPR de Zapotlanejo,Escuela,Metropolitano,Región Centro,Zapotlanejo,
195,SEMS,14MMS0658D,14MMS0725L,Módulo Matatlán,Módulo Matatlán,Módulo,Metropolitano,Región Centro,Zapotlanejo,
196,SEMS,,14MMS0616E,Escuela Regional de Educación Media Superior de Ocotlán,EREMS Ocotlán,Escuela,Regional,Región Ciénega,Ocotlán,
197,SEMS,14MMS0616E,14MMS0639P,Módulo Atequiza,Módulo Atequiza,Módulo,Metropolitano,Región Centro,Ixtlahuacán de los Membrillos,
198,SEMS,14MMS0616E,14MMS0699D,Módulo Tototlán,Módulo Tototlán,Módulo,Regional,Región Ciénega,Tototlán,
199,SEMS,14MMS0616E,14MMS0748W,Módulo Zapotlán del Rey,Módulo Zapotlán del Rey,Módulo,Regional,Región Ciénega,Zapotlán del Rey,
200,SEMS,14MMS0616E,14MMS0827I,Módulo Poncitlán,Módulo Poncitlán,Módulo,Regional,Región Ciénega,Poncitlán,
201,SEMS,,14MMS0751J,Escuela de Educación Media Superior Wixárika,EREMS Wixárika,Escuela,Regional,Región Norte,Mezquitic,
202,SEMS,14MMS0751J,14MMS0830W,Módulo Ocota de la Sierra,Módulo Ocota,Módulo,Regional,Región Norte,Mezquitic,
203,SEMS,,14MMS0818A,Escuela Preparatoria de San José del Valle de Tlajomulco de Zúñiga,Prepa San José del Valle,Escuela,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
204,SEMS,14MMS0818A,14MMS0912F,Módulo Hacicendas de Santa Fe,Módulo Haciendas de Santa Fe,Módulo,Regional,Región Centro,,
205,CUAAD,,14MMS0775T,"Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",CUAAD - San Agustín,Sede CU,Regional,Región Centro,Guadalajara,
206,CUCS,,14MMS0774U,Centro Universitario de Ciencias de la Salud,CUCS,Centro Universitario,Regional,Región Centro,Guadalajara,
207,CUSUR,,14MMS0777R,Centro Universitario del Sur,CUSUR,Centro Universitario,Regional,Región Sur,Zapotlán el Grande,
208,SUV,,14MMS0749V,Sistema de Universidad Virtual,SUV,Virtual,Regional,Región Centro,Guadalajara,
209,CUCIÉNEGA,14USU0160O,14USU0180B,Centro Universitario de la Ciénega sede CEFERESO,CEFERESO,Sede CU,Regional,Región Centro,Zapotlanejo,
