name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-185 - 2019 - CUVALLES - Federal,185,2019,CUVALLES,Federal,,,,,0
421 Prácticas profesionales-186 - 2019 - CUVALLES - Estatal,186,2019,CUVALLES,Estatal,,,,,0
421 Prácticas profesionales-187 - 2019 - CUVALLES - Municipal,187,2019,CUVALLES,Municipal,,,,,0
421 Prácticas profesionales-188 - 2019 - CUVALLES - Privado,188,2019,CUVALLES,Privado,46,42,,88,111
421 Prácticas profesionales-189 - 2019 - CUVALLES - Civil,189,2019,CUVALLES,Civil,,,,,49
421 Prácticas profesionales-190 - 2019 - CUNORTE - Público,190,2019,CUNORTE,Público,350,698,,1048,47
421 Prácticas profesionales-191 - 2019 - CUNORTE - Federal,191,2019,CUNORTE,Federal,30,22,,52,6
421 Prácticas profesionales-192 - 2019 - CUNORTE - Estatal,192,2019,CUNORTE,Estatal,281,613,,894,11
421 Prácticas profesionales-193 - 2019 - CUNORTE - Municipal,193,2019,CUNORTE,Municipal,39,63,,102,30
421 Prácticas profesionales-194 - 2019 - CUNORTE - Privado,194,2019,CUNORTE,Privado,49,96,,145,65
421 Prácticas profesionales-195 - 2019 - CUNORTE - Civil,195,2019,CUNORTE,Civil,10,16,,26,6
421 Prácticas profesionales-196 - 2019 - CULAGOS - Público,196,2019,CULAGOS,Público,103,277,,380,12
421 Prácticas profesionales-197 - 2019 - CULAGOS - Federal,197,2019,CULAGOS,Federal,3,3,,6,0
421 Prácticas profesionales-198 - 2019 - CULAGOS - Estatal,198,2019,CULAGOS,Estatal,59,192,,251,1
421 Prácticas profesionales-199 - 2019 - CULAGOS - Municipal,199,2019,CULAGOS,Municipal,41,82,,123,11
421 Prácticas profesionales-200 - 2019 - CULAGOS - Privado,200,2019,CULAGOS,Privado,106,51,,157,72
421 Prácticas profesionales-201 - 2019 - CULAGOS - Civil,201,2019,CULAGOS,Civil,4,7,,11,6
421 Prácticas profesionales-202 - 2019 - CUTONALÁ - Público,202,2019,CUTONALÁ,Público,352,778,,1130,10
421 Prácticas profesionales-203 - 2019 - CUTONALÁ - Federal,203,2019,CUTONALÁ,Federal,,,,,2
421 Prácticas profesionales-204 - 2019 - CUTONALÁ - Estatal,204,2019,CUTONALÁ,Estatal,,,,,4
