name,orden,anio,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,conteo,clasificacion_plantel,region_jalisco,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,notas,
811 Planteles -29 - 2024 - SEMS - 14MMS0609V,29,2024,SEMS,,14MMS0609V,Escuela Preparatoria No. 3,Prepa 3,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Francisco Gómez de Mendiola,S/N,N/A,44700,http://prepa3.sems.udg.mx,prepa3.sems.udg.mx,,
811 Planteles -30 - 2024 - SEMS - 14MMS0610K,30,2024,SEMS,,14MMS0610K,Escuela Preparatoria No. 4,Prepa 4,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Torrecillas,S/N,N/A,44890,http://prepa4.sems.udg.mx,prepa4.sems.udg.mx,,
811 Planteles -31 - 2024 - SEMS - 14MMS0611J,31,2024,SEMS,,14MMS0611J,Escuela Preparatoria No. 5,Prepa 5,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Fray Andrés de Urdaneta,S/N,N/A,44930,http://prepa5.sems.udg.mx,prepa5.sems.udg.mx,,
811 Planteles -32 - 2024 - SEMS - 14MMS0612I,32,2024,SEMS,,14MMS0612I,Escuela Preparatoria No. 6,Prepa 6,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Avenida Literatura,S/N,N/A,44990,http://prepa6.sems.udg.mx,prepa6.sems.udg.mx,,
811 Planteles -33 - 2024 - SEMS - 14MMS0613H,33,2024,SEMS,,14MMS0613H,Escuela Preparatoria No. 7,Prepa 7,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Avenida Tesistán,S/N,N/A,45130,http://prepa7.sems.udg.mx,prepa7.sems.udg.mx,,
811 Planteles -34 - 2024 - SEMS - 14MMS0647Y,34,2024,SEMS,,14MMS0647Y,Escuela Preparatoria No. 8,Prepa 8,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Periférico Norte,1900,N/A,45180,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,,
811 Planteles -35 - 2024 - SEMS - 14MMS0762P,35,2024,SEMS,14MMS0647Y,14MMS0762P,Módulo Cuquío,Módulo Cuquío,Módulo,1,Regional,Región Centro,Cuquío,Cuquío,Calle Avenal,54,N/A,45480,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,,
811 Planteles -36 - 2024 - SEMS - 14MMS0761Q,36,2024,SEMS,14MMS0647Y,14MMS0761Q,Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,Módulo,1,Regional,Región Centro,Ixtlahuacán del Río,Ixtlahuacán del Río,Calle Mariano Matamoros,1,N/A,45260,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,,
811 Planteles -37 - 2024 - SEMS - 14MMS0648X,37,2024,SEMS,,14MMS0648X,Escuela Preparatoria No. 9,Prepa 9,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Avenida Dr. Mateo del Regil,S/N,N/A,45236,http://prepa9.sems.udg.mx,prepa9.sems.udg.mx,,
811 Planteles -38 - 2024 - SEMS - 14MMS0649W,38,2024,SEMS,,14MMS0649W,Escuela Preparatoria No. 10,Prepa 10,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle La Grana,430,2,45132,http://prepa10.sems.udg.mx,prepa10.sems.udg.mx,,
811 Planteles -39 - 2024 - SEMS - 14MMS0650L,39,2024,SEMS,,14MMS0650L,Escuela Preparatoria No. 11,Prepa 11,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Sierra Nevada,990,N/A,44290,http://prepa11.sems.udg.mx,prepa11.sems.udg.mx,,
811 Planteles -40 - 2024 - SEMS - 14MMS0646Z,40,2024,SEMS,,14MMS0646Z,Escuela Preparatoria No. 12,Prepa 12,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Corregidora (calle 40),500,N/A,44420,http://prepa12.sems.udg.mx,prepa12.sems.udg.mx,,
811 Planteles -41 - 2024 - SEMS - 14MMS0615F,41,2024,SEMS,,14MMS0615F,Escuela Preparatoria No. 13 “El Sauz”,Prepa 13,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Isla Pianosa,4575,N/A,45589,http://prepa13.sems.udg.mx,prepa13.sems.udg.mx,,
811 Planteles -42 - 2024 - SEMS - 14MMS0630Y,42,2024,SEMS,,14MMS0630Y,Escuela Preparatoria No. 14,Prepa 14,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Volcán Miño,185,N/A,44250,http://prepa14.sems.udg.mx,prepa14.sems.udg.mx,,
811 Planteles -43 - 2024 - SEMS - 14MMS0641D,43,2024,SEMS,14MMS0630Y,14MMS0641D,Módulo La Experiencia,Módulo La Experiencia,Módulo,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Hidalgo ,2,N/A,45198,http://prepa14.sems.udg.mx,prepa14.sems.udg.mx,,
811 Planteles -44 - 2024 - SEMS - 14MMS0631X,44,2024,SEMS,,14MMS0631X,Escuela Preparatoria No. 15,Prepa 15,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle 5 de Mayo,S/N,N/A,45019,http://prepa15.sems.udg.mx,prepa15.sems.udg.mx,,
811 Planteles -45 - 2024 - SEMS - 14MMS0636S,45,2024,SEMS,,14MMS0636S,Escuela Preparatoria No. 16,Prepa 16,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Santa Cruz,33,N/A,45000,http://prepa16.sems.udg.mx,prepa16.sems.udg.mx,,
811 Planteles -46 - 2024 - SEMS - 14MMS0752I,46,2024,SEMS,,14MMS0752I,Escuela Preparatoria No. 17,Prepa 17,Escuela,1,Metropolitano,Región Centro,El Salto,El Salto,Avenida Emiliano Zapata,2568,F - 2,45690,http://prepa17.sems.udg.mx,prepa17.sems.udg.mx,,
811 Planteles -47 - 2024 - SEMS - 14MMS0753H,47,2024,SEMS,,14MMS0753H,Escuela Preparatoria No. 18,Prepa 18,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Hacienda Cedros,1950,N/A,44700,http://prepa18.sems.udg.mx,prepa18.sems.udg.mx,,
811 Planteles -48 - 2024 - SEMS - 14MMS0757D,48,2024,SEMS,,14MMS0757D,Escuela Preparatoria No. 19,Prepa 19,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Paseo del Almendro,S/N,N/A,45200,http://prepa19.sems.udg.mx,prepa19.sems.udg.mx,,
811 Planteles -49 - 2024 - SEMS - 14MMS0756E,49,2024,SEMS,,14MMS0756E,Escuela Preparatoria No. 20,Prepa 20,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Paseos del bosque,S/N,N/A,45066,http://prepa20.sems.udg.mx,prepa20.sems.udg.mx,,
811 Planteles -50 - 2024 - SEMS - 14MMS0614G,50,2024,SEMS,,14MMS0614G,Escuela Vocacional,Escuela Vocacional,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Boulevard Gral. Marcelino García Barragán,32,N/A,44430,http://voca.sems.udg.mx,voca.sems.udg.mx,,
811 Planteles -51 - 2024 - SEMS - 14MMS0645Z,51,2024,SEMS,,14MMS0645Z,"Escuela Preparatoria de Tonalá “Dra. Ruth Padilla Muñoz""",Prepa Tonalá,Escuela,1,Metropolitano,Región Centro,Tonalá,Tonalá,Calle Independencia,232,N/A,45400,http://prepatonala.sems.udg.mx,prepatonala.sems.udg.mx,,
811 Planteles -52 - 2024 - SEMS - 14MMS0623O,52,2024,SEMS,,14MMS0623O,Escuela Preparatoria Regional Tonalá Norte,Prepa Tonalá Norte,Escuela,1,Metropolitano,Región Centro,Tonalá,Tonalá,Avenida Juan Gil Preciado,S/N,N/A,45409,http://prepatonalanorte.sems.udg.mx,prepatonalanorte.sems.udg.mx,,
811 Planteles -53 - 2024 - SEMS - 14MMS0776S,53,2024,SEMS,,14MMS0776S,Escuela Politécnica de Guadalajara,Poli de Guadalajara,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Revolución,1500,N/A,44420,http://politecnica.sems.udg.mx,politecnica.sems.udg.mx,,
811 Planteles -54 - 2024 - SEMS - 14MMS0799C,54,2024,SEMS,,14MMS0799C,Escuela Politécnica “Ing. Jorge Matute Remus”,Poli Ing. Jorge Matute Remus,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle La Grana,430,1,45132,http://www.politecnicamatute.sems.udg.mx,www.politecnicamatute.sems.udg.mx,,
811 Planteles -55 - 2024 - SEMS - 14MMS0878P,55,2024,SEMS,,14MMS0878P,Escuela Preparatoria No. 21 de Zapopan,Prepa 21,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Carretera Guadalajara-Colotlán,Km 6.5,N/A,45200,http://prepa21.sems.udg.mx,prepa21.sems.udg.mx,,
811 Planteles -56 - 2024 - SEMS - 14MMS0844Z,56,2024,SEMS,,14MMS0844Z,Escuela Preparatoria No. 22 de Tlaquepaque,Prepa 22,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Pedro Coronel,S/N,N/A,45559,http://prepa22.sems.udg.mx,prepa22.sems.udg.mx,,
811 Planteles -57 - 2024 - SEMS - 14MMS0640E,57,2024,SEMS,,14MMS0640E,Escuela Preparatoria de Tlaquepaque,Escuela Tlaquepaque,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Francisco de Miranda,75,N/A,44500,,,,
811 Planteles -58 - 2024 - SEMS - 14MMS0643B,58,2024,SEMS,,14MMS0643B,Escuela Preparatoria Regional de Ahualulco de Mercado,EPR de Ahualulco de Mercado,Escuela,1,Regional,Región Valles,Ahualulco de Mercado,Ahualulco de Mercado,Calle 20 de Noviembre,110,N/A,46730,http://prepaahualulco.sems.udg.mx,prepaahualulco.sems.udg.mx,,
811 Planteles -59 - 2024 - SEMS - 14MMS0727J,59,2024,SEMS,14MMS0643B,14MMS0727J,Módulo Teuchitlán,Módulo Teuchitlán,Módulo,1,Regional,Región Valles,Teuchitlán,Teuchitlán,Calle 16 de Septiembre,16 de Septiembre,N/A,46760,http://prepaahualulco.sems.udg.mx,prepaahualulco.sems.udg.mx,,
811 Planteles -60 - 2024 - SEMS - 14MMS0717C,60,2024,SEMS,,14MMS0717C,Escuela Preparatoria Regional de Amatitán,EPR de Amatitán,Escuela,1,Regional,Región Valles,Amatitán,Amatitán,Calle López Mateos,165,N/A,45380,http://prepaamatitan.sems.udg.mx,prepaamatitan.sems.udg.mx,,
811 Planteles -61 - 2024 - SEMS - 14MMS0741C,61,2024,SEMS,14MMS0717C,14MMS0741C,Módulo “El Salvador”,Módulo El Salvador,Módulo,1,Regional,Región Valles,Tequila,Tequila,Calle Iturbide,S/N,N/A,46408,http://prepaamatitan.sems.udg.mx,prepaamatitan.sems.udg.mx,,
811 Planteles -62 - 2024 - SEMS - 14MMS0617D,62,2024,SEMS,,14MMS0617D,Escuela Preparatoria Regional de Ameca,EPR de Ameca,Escuela,1,Regional,Región Valles,Ameca,Ameca,Calle Lic. Enrique Díaz de León,205,N/A,46600,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,
811 Planteles -63 - 2024 - SEMS - 14MMS0662Q,63,2024,SEMS,14MMS0617D,14MMS0662Q,"Módulo de Atenguillo “Mtro. José Alfredo Peña Ramos""",Módulo Atenguillo,Módulo,1,Regional,Región Costa-Sierra Occidental,Atenguillo,Atenguillo,Avenida Ameca,1000,N/A,48100,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,
811 Planteles -64 - 2024 - SEMS - 14MMS0663P,64,2024,SEMS,14MMS0617D,14MMS0663P,Módulo Mascota,Módulo Mascota,Módulo,1,Regional,Región Costa-Sierra Occidental,Mascota,Mascota,Calle Salvador Chávez Magaña,68,N/A,46900,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,
811 Planteles -65 - 2024 - SEMS - 14MMS0664O,65,2024,SEMS,14MMS0617D,14MMS0664O,Módulo San Antonio Matute,Módulo San Antonio Matute,Módulo,1,Regional,Región Valles,Ameca,Ameca,Avenida Ameca,S/N,N/A,46700,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,
811 Planteles -66 - 2024 - SEMS - 14MMS0665N,66,2024,SEMS,14MMS0617D,14MMS0665N,Módulo Talpa de Allende,Módulo Talpa de Allende,Módulo,1,Regional,Región Costa-Sierra Occidental,Talpa de Allende,Talpa de Allende,Calle Manuela Navarro Alatorre,1,N/A,48200,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,
811 Planteles -67 - 2024 - SEMS - 14MMS0619B,67,2024,SEMS,,14MMS0619B,Escuela Preparatoria Regional de Arandas,EPR de Arandas,Escuela,1,Regional,Región Altos Sur,Arandas,Arandas,Calle General Arteaga,345,N/A,47180,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,
811 Planteles -68 - 2024 - SEMS - 14MMS0666M,68,2024,SEMS,14MMS0619B,14MMS0666M,Módulo Jesús María,Módulo Jesús María,Módulo,1,Regional,Región Altos Sur,Jesús María,Jesús María,Avenida Prolongación Jalisco,4,N/A,47950,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,
811 Planteles -69 - 2024 - SEMS - 14MMS0667L,69,2024,SEMS,14MMS0619B,14MMS0667L,Módulo San Ignacio Cerro Gordo,Módulo San Ignacio Cerro Gordo,Módulo,1,Regional,Región Altos Sur,San Ignacio Cerro Gordo,San Ignacio Cerro Gordo,Calle Niños Héroes,120,N/A,47190,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,
811 Planteles -70 - 2024 - SEMS - 14MMS0728I,70,2024,SEMS,14MMS0619B,14MMS0728I,Módulo Santa María del Valle,Módulo Santa María del Valle,Módulo,1,Regional,Región Altos Sur,Arandas,Arandas,Calle Jesús Campos,S/N,N/A,47196,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,
811 Planteles -71 - 2024 - SEMS - 14MMS0618C,71,2024,SEMS,,14MMS0618C,Escuela Preparatoria Regional de Atotonilco,EPR de Atotonilco,Escuela,1,Regional,Región Ciénega,Atotonilco el Alto,Atotonilco el Alto,Carretera Guadalajara - México,Km 84,N/A,47750,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,
811 Planteles -72 - 2024 - SEMS - 14MMS0668K,72,2024,SEMS,14MMS0618C,14MMS0668K,Módulo Ayotlán,Módulo Ayotlán,Módulo,1,Regional,Región Ciénega,Ayotlán,Ayotlan,Carretera Ayotlan - La Piedad,Km 0.5,N/A,47930,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,
811 Planteles -73 - 2024 - SEMS - 14MMS0747X,73,2024,SEMS,14MMS0618C,14MMS0747X,Módulo La Ribera,Módulo La Ribera,Módulo,1,Regional,Región Ciénega,Ayotlán,Ayotlan,Calle Benito Juárez,S/N,N/A,47930,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,
811 Planteles -74 - 2024 - SEMS - 14MMS0750K,74,2024,SEMS,14MMS0618C,14MMS0750K,Módulo San Francisco de Asís,Módulo San Francisco de Asís,Módulo,1,Regional,Región Ciénega,Atotonilco el Alto,Atotonilco el Alto,Calle Orozco ,S/N,N/A,47755,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,
811 Planteles -75 - 2024 - SEMS - 14MMS0621Q,75,2024,SEMS,,14MMS0621Q,Escuela Preparatoria Regional de Autlán,EPR de Autlán de Navarro,Escuela,1,Regional,Región Sierra de Amula,Autlán de Navarro,Autlán de Navarro,Avenida Universidad ,407,N/A,48900,http://prepaautlan.sems.udg.mx,prepaautlan.sems.udg.mx,,
811 Planteles -76 - 2024 - SEMS - 14MMS0622P,76,2024,SEMS,,14MMS0622P,Escuela Preparatoria Regional de Casimiro Castillo,EPR de Casimiro Castillo,Escuela,1,Regional,Región Costa Sur,Casimiro Castillo,Casimiro Castillo,Carretera Guadalajara - Barra de Navidad,Km 1.5,N/A,48930,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,
811 Planteles -77 - 2024 - SEMS - 14MMS0732V,77,2024,SEMS,14MMS0622P,14MMS0732V,Módulo Ayotitlán,Módulo Ayotitlán,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Carretera El Rincón de Ayotitlán,Km 1,N/A,48962,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,
811 Planteles -78 - 2024 - SEMS - 14MMS0733U,78,2024,SEMS,14MMS0622P,14MMS0733U,Módulo Chacala,Módulo Chacala,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Calle Independencia,S/N,N/A,48967,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,
811 Planteles -79 - 2024 - SEMS - 14MMS0674V,79,2024,SEMS,14MMS0622P,14MMS0674V,Módulo Cuautitlán de García Barragán,Módulo Cuautitlán,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Avenida Prolongación Hidalgo,150,N/A,48950,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,
