row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion
126,5071300014,Ingeniería Mecatrónica,Licenciatura,071000
127,5071300082,Ingeniería Robótica,Licenciatura,071000
128,5071300091,Ingeniería en Instrumentación Electrónica y Nanosensores,Licenciatura,071000
129,5071400008,Ingeniería Bioquímica,Licenciatura,071000
130,5071400015,Ingeniería Química,Licenciatura,071000
131,5071700019,Ingeniería Industrial,Licenciatura,071000
132,5072100002,Ingeniería Agroindustrial,Licenciatura,072000
133,5072100018,Licenciatura en Ciencia de los Alimentos,Licenciatura,072000
134,5072100033,Licenciatura en Ingeniería en Alimentos y Biotecnología,Licenciatura,072000
135,5072100049,Licenciatura en Ciencias y Artes Culinarias,Licenciatura,072000
136,5072400001,Ingeniería en Geofísica,Licenciatura,072000
137,5073100009,Licenciatura en Arquitectura,Licenciatura,073000
138,5073100024,Licenciatura en Urbanística y Medio Ambiente,Licenciatura,073000
139,5073200005,Ingeniería Civil,Licenciatura,073000
140,5073200010,Ingeniería en Obras y Servicios,Licenciatura,073000
141,5073200035,Ingeniería en Topografía Geomática,Licenciatura,073000
142,5081100010,Licenciatura en Agrobiotecnología,Licenciatura,081000
143,5081100050,Ingeniería en Sistemas Pecuarios,Licenciatura,081000
144,5081300016,Ingeniero Agrónomo,Licenciatura,081000
145,5082100001,Licenciatura en Medicina Veterinaria y Zootecnia,Licenciatura,082000
146,5091100011,Médico Cirujano y Partero,Licenciatura,091000
147,5092100006,Licenciatura en Enfermería,Licenciatura,092000
148,5093100002,Licenciatura en Cirujano Dentista,Licenciatura,093000
149,5094100009,Licenciatura en Terapia Física,Licenciatura,094000
150,5094200006,Licenciatura en Nutrición,Licenciatura,094000
151,5094300009,Licenciatura en Podología,Licenciatura,094000
152,5095400006,Licenciatura en Químico Farmacéutico Biólogo,Licenciatura,095000
153,5095600005,Licenciatura en Salud Pública,Licenciatura,095000
154,5101100015,Licenciatura en Cultura Física y Deportes,Licenciatura,101000
155,5101600013,Licenciatura en Turismo,Licenciatura,101000
156,5102100004,Ingeniería en Logística y Transporte,Licenciatura,102000
157,5103100007,"Licenciatura en Seguridad Laboral, Protección Civil y Emergencias",Licenciatura,103000
158,5104100015,Licenciatura en Seguridad Ciudadana,Licenciatura,104000
159,6081100005,Especialidadialidad en Producción Porcina,Especialidad,081000
160,6091301004,Especialidadialidad en Anestesiología,Especialidad,091000
161,6091301008,Especialidadialidad en Medicina Paliativa y del Dolor,Especialidad,091000
162,6091302001,Especialidadialidad en Angiología y Cirugía Vascular,Especialidad,091000
163,6091304001,Especialidadialidad en Cardiología,Especialidad,091000
164,6091305002,Especialidadialidad en Cirugía General,Especialidad,091000
165,6091306001,Especialidadialidad en Cirugía Cardiotorácica,Especialidad,091000
166,6091307001,Especialidadialidad en Neurocirugía,Especialidad,091000
167,6091308001,Especialidadialidad en Cirugía Pediátrica,Especialidad,091000
168,6091309002,Especialidadialidad en Cirugía Plástica y Reconstructiva,Especialidad,091000
169,6091310001,Especialidadialidad en Dermatología,Especialidad,091000
170,6091310002,Especialidadialidad en Dermatología Pediátrica,Especialidad,091000
171,6091311001,Especialidadialidad en Endocrinología,Especialidad,091000
172,6091313004,Especialidadialidad en Gastroenterología,Especialidad,091000
173,6091313008,Especialidadialidad en Gastroenterología y Nutrición Pediátrica,Especialidad,091000
174,6091314001,Especialidadialidad en Genética Médica,Especialidad,091000
175,6091315001,Especialidadialidad en Geriatría,Especialidad,091000
176,6091316002,Especialidadialidad en Ginecología y Obstetricia,Especialidad,091000
177,6091316004,Especialidadialidad en Medicina Materno-Fetal,Especialidad,091000
178,6091316007,Especialidadialidad en Ginecología Oncológica,Especialidad,091000
179,6091317001,Especialidadialidad en Hematología,Especialidad,091000
180,6091317009,Especialidadialidad en Hemato-Oncología Pediátrica,Especialidad,091000
181,6091318001,Especialidadialidad en Infectología,Especialidad,091000
182,6091319001,Especialidadialidad en Alergia e Inmunología Clínica,Especialidad,091000
183,6091319004,Especialidadialidad en Alergia e Inmunología Clínica Pediátrica,Especialidad,091000
184,6091321003,Especialidadialidad en Medicina del Enfermo en Estado Crítico,Especialidad,091000
185,6091322003,Especialidadialidad en Medicina de Rehabilitación,Especialidad,091000
186,6091323001,Especialidadialidad en Medicina de Urgencias,Especialidad,091000
187,6091326001,Especialidadialidad en Medicina Familiar,Especialidad,091000
188,6091327002,Especialidadialidad en Medicina Interna,Especialidad,091000
189,6091329001,Especialidadialidad en Anatomía Patológica,Especialidad,091000
190,6091331003,Especialidadialidad en Nefrología,Especialidad,091000
191,6091332001,Especialidadialidad en Neumología,Especialidad,091000
192,6091334001,Especialidadialidad en Neurología,Especialidad,091000
193,6091335001,Especialidadialidad en Oftalmología,Especialidad,091000
194,6091335003,Especialidadialidad en Retina Médica y Quirúrgica,Especialidad,091000
195,6091336001,Especialidadialidad en Cirugía Oncológica,Especialidad,091000
196,6091336005,Especialidadialidad en Oncología Médica,Especialidad,091000
197,6091336013,Especialidadialidad en Radio-Oncología,Especialidad,091000
198,6091337005,Especialidadialidad en Traumatología y Ortopedia,Especialidad,091000
199,6091338003,Especialidadialidad en Otorrinolaringología y Cirugía de Cabeza y Cuello,Especialidad,091000
200,6091340001,Especialidadialidad en Pediatría,Especialidad,091000
201,6091340004,Especialidadialidad en Neonatología,Especialidad,091000
202,6091341001,Especialidadialidad en Psiquiatría,Especialidad,091000
203,6091342012,Especialidadialidad en Imagenología Diagnóstica y Terapéutica,Especialidad,091000
204,6091343001,Especialidadialidad en Reumatología,Especialidad,091000
205,6091344001,Especialidadialidad en Urología,Especialidad,091000
206,6091344002,Especialidadialidad en Urología Ginecológica,Especialidad,091000
207,6092204007,Especialidadialidad de Enfermería en Salud Pública,Especialidad,092000
208,6093201005,Especialidadialidad en Prótesis Maxilofacial,Especialidad,093000
209,6093202001,Especialidadialidad en Endodoncia,Especialidad,093000
210,6093203005,Especialidadialidad en Odontopediatría,Especialidad,093000
211,6093204001,Especialidad en Ortodoncia,Especialidad,093000
212,6093205004,Especialidadialidad en Periodoncia,Especialidad,093000
213,6093206003,Especialidadialidad en Prostodoncia,Especialidad,093000
214,6095600002,Especialidadialidad en Epidemiología,Especialidad,095000
215,7011000002,Maestría en Educación Ambiental,Maestría,011000
216,7011000042,Maestría en Innovación Social y Gestión del Bienestar,Maestría,011000
217,7011200033,Maestría en Investigación Educativa,Maestría,011000
