name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
32 2022-2023 14MMS0650L BGC,32,2022-2023,14MMS0650L,BGC,Escolarizada,857,903,,1760,1,0,,1,3,1,,4,0,0,,0,0,2,,2,0,0,,0,11,9,,20,1,3,,4,0,0,,0,16,15,,31,0,0,,0
33 2022-2023 14MMS0650L BGC,33,2022-2023,14MMS0650L,BGC,Escolarizada,818,940,,1758,0,1,,1,1,0,,1,0,0,,0,0,2,,2,0,0,,0,8,15,,23,0,0,,0,1,0,,1,10,18,,28,0,1,,1
34 2022-2023 14MMS0646Z BGC,34,2022-2023,14MMS0646Z,BGC,Escolarizada,1787,1437,,3224,3,1,,4,4,2,,6,0,0,,0,0,0,,0,0,1,,1,15,10,,25,0,1,,1,0,0,,0,22,15,,37,3,1,,4
35 2022-2023 14MMS0646Z BGC,35,2022-2023,14MMS0646Z,BGC,Escolarizada,1822,1398,,3220,3,1,,4,1,3,,4,0,0,,0,0,1,,1,0,0,,0,21,23,,44,0,2,,2,2,1,,3,27,31,,58,1,2,,3
36 2022-2023 14MMS0640E BGC,36,2022-2023,14MMS0640E,BGC,Escolarizada,312,303,,615,0,0,,0,2,0,,2,0,0,,0,0,0,,0,0,1,,1,1,5,,6,0,2,,2,0,0,,0,3,8,,11,1,0,,1
37 2022-2023 14MMS0640E BGC,37,2022-2023,14MMS0640E,BGC,Escolarizada,282,332,,614,1,1,,2,3,1,,4,0,0,,0,0,0,,0,0,0,,0,4,6,,10,0,1,,1,0,0,,0,8,9,,17,2,0,,2
38 2022-2023 14MMS0615F BGAI,38,2022-2023,14MMS0615F,BGAI,Escolarizada,114,83,,197,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,2,0,,2,0,0,,0,0,0,,0,3,0,,3,0,0,,0
39 2022-2023 14MMS0615F BGC,39,2022-2023,14MMS0615F,BGC,Escolarizada,525,828,,1353,1,2,,3,1,1,,2,0,0,,0,0,0,,0,0,1,,1,7,14,,21,0,2,,2,0,0,,0,9,20,,29,0,0,,0
40 2022-2023 14MMS0615F BGC,40,2022-2023,14MMS0615F,BGC,Escolarizada,504,847,,1351,0,1,,1,1,1,,2,0,0,,0,0,0,,0,1,0,,1,4,13,,17,0,1,,1,0,0,,0,6,16,,22,0,1,,1
41 2022-2023 14MMS0630Y BGAI,41,2022-2023,14MMS0630Y,BGAI,Escolarizada,53,18,,71,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,0,,3,1,0,,1,0,0,,0,5,0,,5,0,0,,0
42 2022-2023 14MMS0630Y BGC,42,2022-2023,14MMS0630Y,BGC,Escolarizada,525,624,,1149,0,0,,0,2,1,,3,0,0,,0,0,0,,0,1,2,,3,6,6,,12,0,2,,2,1,0,,1,10,11,,21,0,0,,0
