name,row,ciclo,cve_programa,total
211 PE únicos con matrícula -139 - 2020-2021 - 5073200010,139,2020-2021,5073200010,1
211 PE únicos con matrícula -140 - 2020-2021 - 5073200035,140,2020-2021,5073200035,1
211 PE únicos con matrícula -141 - 2020-2021 - 5081100010,141,2020-2021,5081100010,1
211 PE únicos con matrícula -142 - 2020-2021 - 5081100050,142,2020-2021,5081100050,1
211 PE únicos con matrícula -143 - 2020-2021 - 5081300016,143,2020-2021,5081300016,1
211 PE únicos con matrícula -144 - 2020-2021 - 5082100001,144,2020-2021,5082100001,1
211 PE únicos con matrícula -145 - 2020-2021 - 5091100011,145,2020-2021,5091100011,1
211 PE únicos con matrícula -146 - 2020-2021 - 5092100006,146,2020-2021,5092100006,1
211 PE únicos con matrícula -147 - 2020-2021 - 5093100002,147,2020-2021,5093100002,1
211 PE únicos con matrícula -148 - 2020-2021 - 5094100009,148,2020-2021,5094100009,1
211 PE únicos con matrícula -149 - 2020-2021 - 5094200006,149,2020-2021,5094200006,1
211 PE únicos con matrícula -150 - 2020-2021 - 5094300009,150,2020-2021,5094300009,1
211 PE únicos con matrícula -151 - 2020-2021 - 5095400006,151,2020-2021,5095400006,1
211 PE únicos con matrícula -152 - 2020-2021 - 5095600005,152,2020-2021,5095600005,1
211 PE únicos con matrícula -153 - 2020-2021 - 5101100015,153,2020-2021,5101100015,1
211 PE únicos con matrícula -154 - 2020-2021 - 5101600013,154,2020-2021,5101600013,1
211 PE únicos con matrícula -155 - 2020-2021 - 5102100004,155,2020-2021,5102100004,1
211 PE únicos con matrícula -156 - 2020-2021 - 5103100007,156,2020-2021,5103100007,1
211 PE únicos con matrícula -157 - 2020-2021 - 5104100015,157,2020-2021,5104100015,1
211 PE únicos con matrícula -158 - 2020-2021 - 6051100001,158,2020-2021,6051100001,1
211 PE únicos con matrícula -159 - 2020-2021 - 6091301004,159,2020-2021,6091301004,1
211 PE únicos con matrícula -160 - 2020-2021 - 6091301005,160,2020-2021,6091301005,1
211 PE únicos con matrícula -161 - 2020-2021 - 6091301008,161,2020-2021,6091301008,1
211 PE únicos con matrícula -162 - 2020-2021 - 6091302001,162,2020-2021,6091302001,1
211 PE únicos con matrícula -163 - 2020-2021 - 6091304001,163,2020-2021,6091304001,1
211 PE únicos con matrícula -164 - 2020-2021 - 6091304018,164,2020-2021,6091304018,1
211 PE únicos con matrícula -165 - 2020-2021 - 6091305002,165,2020-2021,6091305002,1
211 PE únicos con matrícula -166 - 2020-2021 - 6091306001,166,2020-2021,6091306001,1
211 PE únicos con matrícula -167 - 2020-2021 - 6091307001,167,2020-2021,6091307001,1
211 PE únicos con matrícula -168 - 2020-2021 - 6091308001,168,2020-2021,6091308001,1
211 PE únicos con matrícula -169 - 2020-2021 - 6091309002,169,2020-2021,6091309002,1
211 PE únicos con matrícula -170 - 2020-2021 - 6091310001,170,2020-2021,6091310001,1
211 PE únicos con matrícula -171 - 2020-2021 - 6091310002,171,2020-2021,6091310002,1
211 PE únicos con matrícula -172 - 2020-2021 - 6091311001,172,2020-2021,6091311001,1
211 PE únicos con matrícula -173 - 2020-2021 - 6091312001,173,2020-2021,6091312001,1
211 PE únicos con matrícula -174 - 2020-2021 - 6091313001,174,2020-2021,6091313001,1
211 PE únicos con matrícula -175 - 2020-2021 - 6091313004,175,2020-2021,6091313004,1
211 PE únicos con matrícula -176 - 2020-2021 - 6091313008,176,2020-2021,6091313008,1
211 PE únicos con matrícula -177 - 2020-2021 - 6091314001,177,2020-2021,6091314001,1
211 PE únicos con matrícula -178 - 2020-2021 - 6091315001,178,2020-2021,6091315001,1
211 PE únicos con matrícula -179 - 2020-2021 - 6091316002,179,2020-2021,6091316002,1
211 PE únicos con matrícula -180 - 2020-2021 - 6091316004,180,2020-2021,6091316004,1
211 PE únicos con matrícula -181 - 2020-2021 - 6091316007,181,2020-2021,6091316007,1
211 PE únicos con matrícula -182 - 2020-2021 - 6091317001,182,2020-2021,6091317001,1
211 PE únicos con matrícula -183 - 2020-2021 - 6091318001,183,2020-2021,6091318001,1
211 PE únicos con matrícula -184 - 2020-2021 - 6091318002,184,2020-2021,6091318002,1
211 PE únicos con matrícula -185 - 2020-2021 - 6091319001,185,2020-2021,6091319001,1
211 PE únicos con matrícula -186 - 2020-2021 - 6091319004,186,2020-2021,6091319004,1
211 PE únicos con matrícula -187 - 2020-2021 - 6091321003,187,2020-2021,6091321003,1
211 PE únicos con matrícula -188 - 2020-2021 - 6091322003,188,2020-2021,6091322003,1
211 PE únicos con matrícula -189 - 2020-2021 - 6091323001,189,2020-2021,6091323001,1
211 PE únicos con matrícula -190 - 2020-2021 - 6091325002,190,2020-2021,6091325002,1
211 PE únicos con matrícula -191 - 2020-2021 - 6091326001,191,2020-2021,6091326001,1
211 PE únicos con matrícula -192 - 2020-2021 - 6091327002,192,2020-2021,6091327002,1
211 PE únicos con matrícula -193 - 2020-2021 - 6091329001,193,2020-2021,6091329001,1
211 PE únicos con matrícula -194 - 2020-2021 - 6091331003,194,2020-2021,6091331003,1
211 PE únicos con matrícula -195 - 2020-2021 - 6091332001,195,2020-2021,6091332001,1
211 PE únicos con matrícula -196 - 2020-2021 - 6091334001,196,2020-2021,6091334001,1
211 PE únicos con matrícula -197 - 2020-2021 - 6091335001,197,2020-2021,6091335001,1
211 PE únicos con matrícula -198 - 2020-2021 - 6091335003,198,2020-2021,6091335003,1
211 PE únicos con matrícula -199 - 2020-2021 - 6091336001,199,2020-2021,6091336001,1
211 PE únicos con matrícula -200 - 2020-2021 - 6091336005,200,2020-2021,6091336005,1
211 PE únicos con matrícula -201 - 2020-2021 - 6091336007,201,2020-2021,6091336007,1
211 PE únicos con matrícula -202 - 2020-2021 - 6091336013,202,2020-2021,6091336013,1
211 PE únicos con matrícula -203 - 2020-2021 - 6091337005,203,2020-2021,6091337005,1
211 PE únicos con matrícula -204 - 2020-2021 - 6091338002,204,2020-2021,6091338002,1
211 PE únicos con matrícula -205 - 2020-2021 - 6091338003,205,2020-2021,6091338003,1
211 PE únicos con matrícula -206 - 2020-2021 - 6091339001,206,2020-2021,6091339001,1
211 PE únicos con matrícula -207 - 2020-2021 - 6091340001,207,2020-2021,6091340001,1
211 PE únicos con matrícula -208 - 2020-2021 - 6091340004,208,2020-2021,6091340004,1
211 PE únicos con matrícula -209 - 2020-2021 - 6091341001,209,2020-2021,6091341001,1
211 PE únicos con matrícula -210 - 2020-2021 - 6091342012,210,2020-2021,6091342012,1
211 PE únicos con matrícula -211 - 2020-2021 - 6091343001,211,2020-2021,6091343001,1
211 PE únicos con matrícula -212 - 2020-2021 - 6091344001,212,2020-2021,6091344001,1
211 PE únicos con matrícula -213 - 2020-2021 - 6091344002,213,2020-2021,6091344002,1
211 PE únicos con matrícula -214 - 2020-2021 - 6091345008,214,2020-2021,6091345008,1
211 PE únicos con matrícula -215 - 2020-2021 - 6092202002,215,2020-2021,6092202002,1
211 PE únicos con matrícula -216 - 2020-2021 - 6092203006,216,2020-2021,6092203006,1
211 PE únicos con matrícula -217 - 2020-2021 - 6092204007,217,2020-2021,6092204007,1
211 PE únicos con matrícula -218 - 2020-2021 - 6092206010,218,2020-2021,6092206010,1
211 PE únicos con matrícula -219 - 2020-2021 - 6092207003,219,2020-2021,6092207003,1
211 PE únicos con matrícula -220 - 2020-2021 - 6092208015,220,2020-2021,6092208015,1
211 PE únicos con matrícula -221 - 2020-2021 - 6093201002,221,2020-2021,6093201002,1
211 PE únicos con matrícula -222 - 2020-2021 - 6093201005,222,2020-2021,6093201005,1
211 PE únicos con matrícula -223 - 2020-2021 - 6093202001,223,2020-2021,6093202001,1
211 PE únicos con matrícula -224 - 2020-2021 - 6093203005,224,2020-2021,6093203005,1
211 PE únicos con matrícula -225 - 2020-2021 - 6093204001,225,2020-2021,6093204001,1
211 PE únicos con matrícula -226 - 2020-2021 - 6093205004,226,2020-2021,6093205004,1
211 PE únicos con matrícula -227 - 2020-2021 - 6093206003,227,2020-2021,6093206003,1
211 PE únicos con matrícula -228 - 2020-2021 - 6095600002,228,2020-2021,6095600002,1
211 PE únicos con matrícula -229 - 2020-2021 - 7011000002,229,2020-2021,7011000002,1
211 PE únicos con matrícula -230 - 2020-2021 - 7011000042,230,2020-2021,7011000042,1
211 PE únicos con matrícula -231 - 2020-2021 - 7011200033,231,2020-2021,7011200033,1
211 PE únicos con matrícula -232 - 2020-2021 - 7011200077,232,2020-2021,7011200077,1
211 PE únicos con matrícula -233 - 2020-2021 - 7011200088,233,2020-2021,7011200088,1
211 PE únicos con matrícula -234 - 2020-2021 - 7011400011,234,2020-2021,7011400011,1
211 PE únicos con matrícula -235 - 2020-2021 - 7011400029,235,2020-2021,7011400029,1
211 PE únicos con matrícula -236 - 2020-2021 - 7012000087,236,2020-2021,7012000087,1
211 PE únicos con matrícula -237 - 2020-2021 - 7012400001,237,2020-2021,7012400001,1
211 PE únicos con matrícula -238 - 2020-2021 - 7012500034,238,2020-2021,7012500034,1
211 PE únicos con matrícula -239 - 2020-2021 - 7012601008,239,2020-2021,7012601008,1
211 PE únicos con matrícula -240 - 2020-2021 - 7012602009,240,2020-2021,7012602009,1
211 PE únicos con matrícula -241 - 2020-2021 - 7012603017,241,2020-2021,7012603017,1
211 PE únicos con matrícula -242 - 2020-2021 - 7012604029,242,2020-2021,7012604029,1
211 PE únicos con matrícula -243 - 2020-2021 - 7012604064,243,2020-2021,7012604064,1
211 PE únicos con matrícula -244 - 2020-2021 - 7021000014,244,2020-2021,7021000014,1
211 PE únicos con matrícula -245 - 2020-2021 - 7021300007,245,2020-2021,7021300007,1
211 PE únicos con matrícula -246 - 2020-2021 - 7021400038,246,2020-2021,7021400038,1
211 PE únicos con matrícula -247 - 2020-2021 - 7021600006,247,2020-2021,7021600006,1
211 PE únicos con matrícula -248 - 2020-2021 - 7021600019,248,2020-2021,7021600019,1
211 PE únicos con matrícula -249 - 2020-2021 - 7022200011,249,2020-2021,7022200011,1
211 PE únicos con matrícula -250 - 2020-2021 - 7022200019,250,2020-2021,7022200019,1
211 PE únicos con matrícula -251 - 2020-2021 - 7022300005,251,2020-2021,7022300005,1
211 PE únicos con matrícula -252 - 2020-2021 - 7022400002,252,2020-2021,7022400002,1
211 PE únicos con matrícula -253 - 2020-2021 - 7022500015,253,2020-2021,7022500015,1
211 PE únicos con matrícula -254 - 2020-2021 - 7022500032,254,2020-2021,7022500032,1
211 PE únicos con matrícula -255 - 2020-2021 - 7022600008,255,2020-2021,7022600008,1
211 PE únicos con matrícula -256 - 2020-2021 - 7031000001,256,2020-2021,7031000001,1
211 PE únicos con matrícula -257 - 2020-2021 - 7031000012,257,2020-2021,7031000012,1
211 PE únicos con matrícula -258 - 2020-2021 - 7031000052,258,2020-2021,7031000052,1
211 PE únicos con matrícula -259 - 2020-2021 - 7031100001,259,2020-2021,7031100001,1
211 PE únicos con matrícula -260 - 2020-2021 - 7031100005,260,2020-2021,7031100005,1
211 PE únicos con matrícula -261 - 2020-2021 - 7031100043,261,2020-2021,7031100043,1
211 PE únicos con matrícula -262 - 2020-2021 - 7031100176,262,2020-2021,7031100176,1
211 PE únicos con matrícula -263 - 2020-2021 - 7031100188,263,2020-2021,7031100188,1
211 PE únicos con matrícula -264 - 2020-2021 - 7031100252,264,2020-2021,7031100252,1
211 PE únicos con matrícula -265 - 2020-2021 - 7031100253,265,2020-2021,7031100253,1
211 PE únicos con matrícula -266 - 2020-2021 - 7031200009,266,2020-2021,7031200009,1
211 PE únicos con matrícula -267 - 2020-2021 - 7031200071,267,2020-2021,7031200071,1
211 PE únicos con matrícula -268 - 2020-2021 - 7031300005,268,2020-2021,7031300005,1
211 PE únicos con matrícula -269 - 2020-2021 - 7031300023,269,2020-2021,7031300023,1
211 PE únicos con matrícula -270 - 2020-2021 - 7031300041,270,2020-2021,7031300041,1
211 PE únicos con matrícula -271 - 2020-2021 - 7031300078,271,2020-2021,7031300078,1
211 PE únicos con matrícula -272 - 2020-2021 - 7031400008,272,2020-2021,7031400008,1
211 PE únicos con matrícula -273 - 2020-2021 - 7031400038,273,2020-2021,7031400038,1
211 PE únicos con matrícula -274 - 2020-2021 - 7031500022,274,2020-2021,7031500022,1
211 PE únicos con matrícula -275 - 2020-2021 - 7031500062,275,2020-2021,7031500062,1
211 PE únicos con matrícula -276 - 2020-2021 - 7032100004,276,2020-2021,7032100004,1
211 PE únicos con matrícula -277 - 2020-2021 - 7032100037,277,2020-2021,7032100037,1
211 PE únicos con matrícula -278 - 2020-2021 - 7032100049,278,2020-2021,7032100049,1
211 PE únicos con matrícula -279 - 2020-2021 - 7033100026,279,2020-2021,7033100026,1
211 PE únicos con matrícula -280 - 2020-2021 - 7041100024,280,2020-2021,7041100024,1
211 PE únicos con matrícula -281 - 2020-2021 - 7041100026,281,2020-2021,7041100026,1
211 PE únicos con matrícula -282 - 2020-2021 - 7041100029,282,2020-2021,7041100029,1
211 PE únicos con matrícula -283 - 2020-2021 - 7041200034,283,2020-2021,7041200034,1
211 PE únicos con matrícula -284 - 2020-2021 - 7041300021,284,2020-2021,7041300021,1
211 PE únicos con matrícula -285 - 2020-2021 - 7041400008,285,2020-2021,7041400008,1
211 PE únicos con matrícula -286 - 2020-2021 - 7041400048,286,2020-2021,7041400048,1
211 PE únicos con matrícula -287 - 2020-2021 - 7042100015,287,2020-2021,7042100015,1
211 PE únicos con matrícula -288 - 2020-2021 - 7042100033,288,2020-2021,7042100033,1
211 PE únicos con matrícula -289 - 2020-2021 - 7042100311,289,2020-2021,7042100311,1
211 PE únicos con matrícula -290 - 2020-2021 - 7042300011,290,2020-2021,7042300011,1
211 PE únicos con matrícula -291 - 2020-2021 - 7042300040,291,2020-2021,7042300040,1
211 PE únicos con matrícula -292 - 2020-2021 - 7042300054,292,2020-2021,7042300054,1
211 PE únicos con matrícula -293 - 2020-2021 - 7042500034,293,2020-2021,7042500034,1
211 PE únicos con matrícula -294 - 2020-2021 - 7042500117,294,2020-2021,7042500117,1
211 PE únicos con matrícula -295 - 2020-2021 - 7051300013,295,2020-2021,7051300013,1
211 PE únicos con matrícula -296 - 2020-2021 - 7051300018,296,2020-2021,7051300018,1
211 PE únicos con matrícula -297 - 2020-2021 - 7051300079,297,2020-2021,7051300079,1
211 PE únicos con matrícula -298 - 2020-2021 - 7052100009,298,2020-2021,7052100009,1
211 PE únicos con matrícula -299 - 2020-2021 - 7052100021,299,2020-2021,7052100021,1
211 PE únicos con matrícula -300 - 2020-2021 - 7052200003,300,2020-2021,7052200003,1
211 PE únicos con matrícula -301 - 2020-2021 - 7052200006,301,2020-2021,7052200006,1
211 PE únicos con matrícula -302 - 2020-2021 - 7052200018,302,2020-2021,7052200018,1
211 PE únicos con matrícula -303 - 2020-2021 - 7052300006,303,2020-2021,7052300006,1
211 PE únicos con matrícula -304 - 2020-2021 - 7052300025,304,2020-2021,7052300025,1
211 PE únicos con matrícula -305 - 2020-2021 - 7053100007,305,2020-2021,7053100007,1
211 PE únicos con matrícula -306 - 2020-2021 - 7053100018,306,2020-2021,7053100018,1
211 PE únicos con matrícula -307 - 2020-2021 - 7061000012,307,2020-2021,7061000012,1
211 PE únicos con matrícula -308 - 2020-2021 - 7061300005,308,2020-2021,7061300005,1
211 PE únicos con matrícula -309 - 2020-2021 - 7062000007,309,2020-2021,7062000007,1
