name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
55 2022-2023 14MMS0757D BGC,55,2022-2023,14MMS0757D,BGC,Escolarizada,147,206,,353,,,,5,,,,2,,,,,,,,,,,,,9,7,,16,0,1,,1,0,0,,0,9,11,,20,2,3,,5
56 2022-2023 14MMS0757D BGC,56,2022-2023,14MMS0757D,BGC,Escolarizada,138,215,,353,,,,9,,,,2,,,,,,,,,,,,,7,11,,18,0,1,,1,3,0,,3,11,14,,25,2,0,,2
57 2022-2023 14MMS0756E BGAI,57,2022-2023,14MMS0756E,BGAI,Escolarizada,12,3,,15,,,,1,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
58 2022-2023 14MMS0756E BGC,58,2022-2023,14MMS0756E,BGC,Escolarizada,142,220,,362,,,,8,,,,4,,,,,,,,,,,,,7,10,,17,0,0,,0,0,0,,0,11,11,,22,10,4,,14
59 2022-2023 14MMS0756E BGC,59,2022-2023,14MMS0756E,BGC,Escolarizada,159,203,,362,,,,5,,,,0,,,,,,,,,,,,,12,8,,20,0,0,,0,0,0,,0,15,9,,24,4,6,,10
60 2022-2023 14MMS0878P BGC,60,2022-2023,14MMS0878P,BGC,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,,1,1,,2,0,0,,0,0,0,,0,1,2,,3,4,2,,6
61 2022-2023 14MMS0878P BGC,61,2022-2023,14MMS0878P,BGC,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,,2,0,,2,0,0,,0,0,0,,0,2,0,,2,1,3,,4
62 2022-2023 14MMS0844Z BGC,62,2022-2023,14MMS0844Z,BGC,Escolarizada,136,183,,319,,,,7,,,,1,,,,,,,,,,,,,4,9,,13,1,1,,2,2,0,,2,12,15,,27,2,2,,4
63 2022-2023 14MMS0844Z BGC,63,2022-2023,14MMS0844Z,BGC,Escolarizada,136,182,,318,,,,7,,,,0,,,,,,,,,,,,,4,7,,11,0,1,,1,2,0,,2,6,9,,15,1,3,,4
64 2022-2023 14MMS0607X BGAI,64,2022-2023,14MMS0607X,BGAI,Escolarizada,25,29,,54,,,,1,,,,0,,,,,,,,,,,,,1,2,,3,0,0,,0,0,0,,0,1,2,,3,0,0,,0
