name,row,ciclo,entidad_universitaria,nivel_estudiante,por_total,por_hombres,por_mujeres,por_personas_nb,por_dif_total,por_dif_hombres,por_dif_mujeres,por_dif_personas_nb
123 Porcentaje en PEC -47 - 2020-2021 - CUTONALÁ - Pregrado,47,2020-2021,CUTONALÁ,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -48 - 2020-2021 - SUV - Pregrado,48,2020-2021,SUV,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -49 - 2021-2022 - CUCEA - Pregrado,49,2021-2022,CUCEA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -50 - 2021-2022 - CUCEI - Pregrado,50,2021-2022,CUCEI,Pregrado,"95,55","95,26","96,26",,"4,45","4,74","3,74",
123 Porcentaje en PEC -51 - 2021-2022 - CUCSH - Pregrado,51,2021-2022,CUCSH,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -52 - 2021-2022 - CUCS - Pregrado,52,2021-2022,CUCS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -53 - 2021-2022 - CUAAD - Pregrado,53,2021-2022,CUAAD,Pregrado,"79,69","81,92","78,07",,"20,31","18,08","21,93",
123 Porcentaje en PEC -54 - 2021-2022 - CUCBA - Pregrado,54,2021-2022,CUCBA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -55 - 2021-2022 - CUALTOS - Pregrado,55,2021-2022,CUALTOS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -56 - 2021-2022 - CUCIÉNEGA - Pregrado,56,2021-2022,CUCIÉNEGA,Pregrado,"82,31","85,43","79,86",,"17,69","14,57","20,14",
123 Porcentaje en PEC -57 - 2021-2022 - CUSUR - Pregrado,57,2021-2022,CUSUR,Pregrado,"94,43","91,35","96,07",,"5,57","8,65","3,93",
123 Porcentaje en PEC -58 - 2021-2022 - CUCOSTA - Pregrado,58,2021-2022,CUCOSTA,Pregrado,"96,68","98,08","95,50",,"3,32","1,92","4,50",
123 Porcentaje en PEC -59 - 2021-2022 - CUCOSTASUR - Pregrado,59,2021-2022,CUCOSTASUR,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -60 - 2021-2022 - CUVALLES - Pregrado,60,2021-2022,CUVALLES,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -61 - 2021-2022 - CUNORTE - Pregrado,61,2021-2022,CUNORTE,Pregrado,"97,80","98,47","97,36",,"2,20","1,53","2,64",
123 Porcentaje en PEC -62 - 2021-2022 - CULAGOS - Pregrado,62,2021-2022,CULAGOS,Pregrado,"79,25","76,68","81,55",,"20,75","23,32","18,45",
123 Porcentaje en PEC -63 - 2021-2022 - CUTONALÁ - Pregrado,63,2021-2022,CUTONALÁ,Pregrado,"82,31","84,28","80,85",,"17,69","15,72","19,15",
123 Porcentaje en PEC -64 - 2021-2022 - SUV - Pregrado,64,2021-2022,SUV,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -65 - 2022-2023 - CUCEA - Pregrado,65,2022-2023,CUCEA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -66 - 2022-2023 - CUCEI - Pregrado,66,2022-2023,CUCEI,Pregrado,"96,16","95,67","97,41",,"3,84","4,33","2,59",
123 Porcentaje en PEC -67 - 2022-2023 - CUCSH - Pregrado,67,2022-2023,CUCSH,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
