name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
13 Admisión 2024A 225 14USU0006V 5021300063,225,2024-2025,2024,B,14USU0006V,5021300063,,,,3,,,,3,,,,0,100,5,112.0267
13 Admisión 2024A 226 14USU0006V 5021300063,226,2024-2025,2024,B,14USU0006V,5021300063,,,,18,,,,18,,,,0,100,35,113.4967
13 Admisión 2024A 227 14USU0006V 5021300063,227,2024-2025,2024,B,14USU0006V,5021300063,,,,6,,,,6,,,,0,100,15,127.6667
13 Admisión 2024A 228 14USU0006V 2021300033,228,2024-2025,2024,B,14USU0006V,2021300033,,,,137,,,,137,,,,0,100,150,124.914
13 Admisión 2024A 229 14USU0005W 5021200054,229,2024-2025,2024,B,14USU0005W,5021200054,,,,39,,,,35,,,,4,89.74358974,35,112.7133
13 Admisión 2024A 230 14USU0005W 5021200055,230,2024-2025,2024,B,14USU0005W,5021200055,,,,23,,,,23,,,,0,100,25,103.9167
13 Admisión 2024A 231 14USU0005W 5021000114,231,2024-2025,2024,B,14USU0005W,5021000114,,,,54,,,,54,,,,0,100,60,98
13 Admisión 2024A 232 14USU0005W 5021700002,232,2024-2025,2024,B,14USU0005W,5021700002,,,,59,,,,59,,,,0,100,60,105.54
13 Admisión 2024A 233 14USU0130U 5081300016,233,2024-2025,2024,B,14USU0130U,5081300016,,,,670,,,,260,,,,410,38.80597015,260,126
13 Admisión 2024A 234 14USU0130U 5041100021,234,2024-2025,2024,B,14USU0130U,5041100021,,,,48,,,,48,,,,0,100,55,85.5433
13 Admisión 2024A 235 14USU0130U 5051100003,235,2024-2025,2024,B,14USU0130U,5051100003,,,,229,,,,229,,,,0,100,260,92.55
13 Admisión 2024A 236 14USU0130U 5072100018,236,2024-2025,2024,B,14USU0130U,5072100018,,,,25,,,,25,,,,0,100,55,102.8333
13 Admisión 2024A 237 14USU0130U 5082100001,237,2024-2025,2024,B,14USU0130U,5082100001,,,,1045,,,,270,,,,775,25.83732057,270,140.5467
13 Admisión 2024A 238 14USU0120N 5041100009,238,2024-2025,2024,B,14USU0120N,5041100009,,,,205,,,,138,,,,67,67.31707317,138,126.9133
13 Admisión 2024A 239 14USU0120N 5042000002,239,2024-2025,2024,B,14USU0120N,5042000002,,,,585,,,,430,,,,155,73.5042735,430,117.24
13 Admisión 2024A 240 14USU0120N 5041300007,240,2024-2025,2024,B,14USU0120N,5041300007,,,,684,,,,310,,,,374,45.32163743,310,144.7967
13 Admisión 2024A 241 14USU0120N 5042300027,241,2024-2025,2024,B,14USU0120N,5042300027,,,,53,,,,53,,,,0,100,55,86.0967
13 Admisión 2024A 242 14USU0120N 5041400032,242,2024-2025,2024,B,14USU0120N,5041400032,,,,884,,,,487,,,,397,55.09049774,487,130.65
13 Admisión 2024A 243 14USU0120N 5031400003,243,2024-2025,2024,B,14USU0120N,5031400003,,,,109,,,,90,,,,19,82.56880734,90,117.08
13 Admisión 2024A 244 14USU0120N 5041100127,244,2024-2025,2024,B,14USU0120N,5041100127,,,,380,,,,137,,,,243,36.05263158,137,141.2533
13 Admisión 2024A 245 14USU0120N 5051300020,245,2024-2025,2024,B,14USU0120N,5051300020,,,,27,,,,27,,,,0,100,50,94.7933
13 Admisión 2024A 246 14USU0120N 5041200028,246,2024-2025,2024,B,14USU0120N,5041200028,,,,592,,,,342,,,,250,57.77027027,342,125.3433
13 Admisión 2024A 247 14USU0120N 5041100056,247,2024-2025,2024,B,14USU0120N,5041100056,,,,1125,,,,471,,,,654,41.86666667,471,137.74
13 Admisión 2024A 248 14USU0120N 5042100117,248,2024-2025,2024,B,14USU0120N,5042100117,,,,202,,,,169,,,,33,83.66336634,169,108.1367
