name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
494 2020-2021 14MMS0675U BGC,494,2020-2021,14MMS0675U,BGC,Escolarizada,17,24,,41,,,,0,,,,0
495 2020-2021 14MMS0676T BGC,495,2020-2021,14MMS0676T,BGC,Escolarizada,20,25,,45,,,,0,,,,0
496 2020-2021 14MMS0677S BGC,496,2020-2021,14MMS0677S,BGC,Escolarizada,33,34,,67,,,,0,,,,0
497 2020-2021 14MMS0678R BGC,497,2020-2021,14MMS0678R,BGC,Escolarizada,20,46,,66,,,,0,,,,0
498 2020-2021 14MMS0679Q BGC,498,2020-2021,14MMS0679Q,BGC,Escolarizada,42,36,,78,,,,1,,,,0
499 2020-2021 14MMS0680F BGC,499,2020-2021,14MMS0680F,BGC,Escolarizada,35,35,,70,,,,0,,,,0
500 2020-2021 14MMS0681E BGC,500,2020-2021,14MMS0681E,BGC,Escolarizada,29,29,,58,,,,0,,,,0
501 2020-2021 14MMS0682D BGC,501,2020-2021,14MMS0682D,BGC,Escolarizada,39,45,,84,,,,0,,,,0
502 2020-2021 14MMS0683C BGC,502,2020-2021,14MMS0683C,BGC,Escolarizada,48,40,,88,,,,0,,,,1
503 2020-2021 14MMS0658D BGC,503,2020-2021,14MMS0658D,BGC,Escolarizada,185,217,,402,,,,0,,,,1
504 2020-2021 14MMS0659C BGC,504,2020-2021,14MMS0659C,BGC,Escolarizada,114,104,,218,,,,0,,,,0
505 2020-2021 14MMS0660S BGC,505,2020-2021,14MMS0660S,BGC,Escolarizada,95,107,,202,,,,1,,,,0
506 2020-2021 14MMS0661R BGC,506,2020-2021,14MMS0661R,BGC,Escolarizada,38,40,,78,,,,1,,,,0
507 2020-2021 14MMS0662Q BGC,507,2020-2021,14MMS0662Q,BGC,Escolarizada,32,31,,63,,,,0,,,,0
508 2020-2021 14MMS0663P BGC,508,2020-2021,14MMS0663P,BGC,Escolarizada,28,28,,56,,,,0,,,,0
509 2020-2021 14MMS0664O BGC,509,2020-2021,14MMS0664O,BGC,Escolarizada,23,15,,38,,,,0,,,,0
510 2020-2021 14MMS0665N BGC,510,2020-2021,14MMS0665N,BGC,Escolarizada,37,42,,79,,,,0,,,,0
511 2020-2021 14MMS0666M BGC,511,2020-2021,14MMS0666M,BGC,Escolarizada,21,55,,76,,,,0,,,,0
512 2020-2021 14MMS0667L BGC,512,2020-2021,14MMS0667L,BGC,Escolarizada,28,50,,78,,,,0,,,,0
513 2020-2021 14MMS0668K BGC,513,2020-2021,14MMS0668K,BGC,Escolarizada,79,79,,158,,,,0,,,,0
514 2020-2021 14MMS0651K BGAI,514,2020-2021,14MMS0651K,BGAI,Escolarizada,16,17,,33,,,,0,,,,0
515 2020-2021 14MMS0651K BGC,515,2020-2021,14MMS0651K,BGC,Escolarizada,126,180,,306,,,,0,,,,0
516 2020-2021 14MMS0652J BGC,516,2020-2021,14MMS0652J,BGC,Escolarizada,71,106,,177,,,,0,,,,0
517 2020-2021 14MMS0653I BGC,517,2020-2021,14MMS0653I,BGC,Escolarizada,133,170,,303,,,,0,,,,0
518 2020-2021 14MMS0654H BGAI,518,2020-2021,14MMS0654H,BGAI,Escolarizada,48,72,,120,,,,0,,,,0
519 2020-2021 14MMS0654H BGC,519,2020-2021,14MMS0654H,BGC,Escolarizada,163,313,,476,,,,1,,,,0
520 2020-2021 14MMS0655G BGC,520,2020-2021,14MMS0655G,BGC,Escolarizada,126,199,,325,,,,1,,,,1
521 2020-2021 14MMS0656F BGC,521,2020-2021,14MMS0656F,BGC,Escolarizada,56,60,,116,,,,0,,,,0
522 2020-2021 14MMS0657E BGAI,522,2020-2021,14MMS0657E,BGAI,Escolarizada,68,69,,137,,,,1,,,,0
523 2020-2021 14MMS0657E BGC,523,2020-2021,14MMS0657E,BGC,Escolarizada,290,377,,667,,,,0,,,,1
524 2020-2021 14MMS0649W BGC,524,2020-2021,14MMS0649W,BGC,Escolarizada,541,739,,1280,,,,2,,,,2
525 2020-2021 14MMS0650L BGC,525,2020-2021,14MMS0650L,BGC,Escolarizada,425,544,,969,,,,2,,,,1
526 2020-2021 14MMS0719A BGC,526,2020-2021,14MMS0719A,BGC,Escolarizada,35,26,,61,,,,0,,,,0
527 2020-2021 14MMS0720Q BGC,527,2020-2021,14MMS0720Q,BGC,Escolarizada,45,55,,100,,,,0,,,,0
528 2020-2021 14MMS0721P BGC,528,2020-2021,14MMS0721P,BGC,Escolarizada,60,103,,163,,,,0,,,,0
529 2020-2021 14MMS0705Y BGC,529,2020-2021,14MMS0705Y,BGC,Escolarizada,78,100,,178,,,,0,,,,0
530 2020-2021 14MMS0706X BGC,530,2020-2021,14MMS0706X,BGC,Escolarizada,103,127,,230,,,,0,,,,0
531 2020-2021 14MMS0707W BGC,531,2020-2021,14MMS0707W,BGC,Escolarizada,93,97,,190,,,,0,,,,0
