name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
411 2019-2020 14USU0230T 6091336005,411,2019-2020,14USU0230T,6091336005,Escolarizada,7,1,,8,,,,1,,,,0
412 2019-2020 14USU0230T 6091336009,412,2019-2020,14USU0230T,6091336009,Escolarizada,1,2,,3,,,,0,,,,0
413 2019-2020 14USU0230T 6091336013,413,2019-2020,14USU0230T,6091336013,Escolarizada,2,1,,3,,,,0,,,,0
414 2019-2020 14USU0230T 6091337005,414,2019-2020,14USU0230T,6091337005,Escolarizada,14,2,,16,,,,0,,,,0
415 2019-2020 14USU0230T 6091338003,415,2019-2020,14USU0230T,6091338003,Escolarizada,2,3,,5,,,,0,,,,0
416 2019-2020 14USU0230T 6091339001,416,2019-2020,14USU0230T,6091339001,Escolarizada,1,2,,3,,,,0,,,,0
417 2019-2020 14USU0004X 7011400029,417,2019-2020,14USU0004X,7011400029,No escolarizada,2,2,,4,,,,0,,,,0
418 2019-2020 14USU0004X 7042300030,418,2019-2020,14USU0004X,7042300030,No escolarizada,2,2,,4,,,,0,,,,0
419 2019-2020 14USU0004X 7042100177,419,2019-2020,14USU0004X,7042100177,No escolarizada,3,2,,5,,,,1,,,,0
420 2019-2020 14USU0004X 7041100029,420,2019-2020,14USU0004X,7041100029,No escolarizada,3,0,,3,,,,0,,,,0
421 2019-2020 14USU0004X 7032100037,421,2019-2020,14USU0004X,7032100037,No escolarizada,0,1,,1,,,,0,,,,0
422 2019-2020 14USU0004X 7031300041,422,2019-2020,14USU0004X,7031300041,No escolarizada,3,2,,5,,,,0,,,,0
423 2019-2020 14USU0004X 7012400001,423,2019-2020,14USU0004X,7012400001,No escolarizada,1,0,,1,,,,0,,,,0
