row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado
239,6091336001,Especialidad en Cirugía Oncológica,Especialidad,091336,090000,091000,091300
240,6091336005,Especialidad en Oncología Médica,Especialidad,091336,090000,091000,091300
241,6091336007,Especialidad en Oncología Pediátrica,Especialidad,091336,090000,091000,091300
242,6091336009,"Especialidad en Oncología, Hematología Pediátrica",Especialidad,091336,090000,091000,091300
243,6091336013,Especialidad en Radio-Oncología,Especialidad,091336,090000,091000,091300
244,6091337002,Especialidad en Ortopedia,Especialidad,091337,090000,091000,091300
245,6091337005,Especialidad en Traumatología y Ortopedia,Especialidad,091337,090000,091000,091300
246,6091337008,Especialidad en Cirugía de Trauma Toraco-Abdominal,Especialidad,091337,090000,091000,091300
247,6091338002,Especialidad en Otorrinolaringología Pediátrica,Especialidad,091338,090000,091000,091300
248,6091338003,Especialidad en Otorrinolaringología y Cirugía de Cabeza y Cuello,Especialidad,091338,090000,091000,091300
249,6091339001,Especialidad en Patología Clínica,Especialidad,091339,090000,091000,091300
250,6091340001,Especialidad en Pediatría,Especialidad,091340,090000,091000,091300
251,6091340004,Especialidad en Neonatología,Especialidad,091340,090000,091000,091300
252,6091341001,Especialidad en Psiquiatría,Especialidad,091341,090000,091000,091300
253,6091342012,Especialidad en Imagenología Diagnóstica y Terapéutica,Especialidad,091342,090000,091000,091300
254,6091342013,Especialidad en Radiología e Imagen,Especialidad,091342,090000,091000,091300
255,6091343001,Especialidad en Reumatología,Especialidad,091343,090000,091000,091300
256,6091344001,Especialidad en Urología,Especialidad,091344,090000,091000,091300
257,6091344002,Especialidad en Urología Ginecológica,Especialidad,091344,090000,091000,091300
258,6091345005,Especialidad en Calidad de la Atención Clínica,Especialidad,091345,090000,091000,091300
259,6091345008,Especialidad en Cirugía Laparoscópica,Especialidad,091345,090000,091000,091300
260,6091345011,Especialidad en Cirugía Oncológica de Cabeza y Cuello,Especialidad,091345,090000,091000,091300
261,6092202002,Especialidad en Enfermería en Cuidados Intensivos,Especialidad,092202,090000,092000,092200
262,6092203006,Especialidad en Enfermería en Gerontología y Geriatría,Especialidad,092203,090000,092000,092200
263,6092204007,Especialidad de Enfermería en Salud Pública,Especialidad,092204,090000,092000,092200
264,6092206002,Especialidad en Enfermería Pediátrica,Especialidad,092206,090000,092000,092200
265,6092206010,Especialidad en Enfermería Neonatal,Especialidad,092206,090000,092000,092200
266,6092207003,Especialidad en Enfermería Quirúrgica,Especialidad,092207,090000,092000,092200
