name,row,anio,entidad_universitaria,programa_educativo
422 PE que requieren PP-836 - 2021 - CUCEA,836,2021,CUCEA,Licenciatura en Administración
422 PE que requieren PP-837 - 2021 - CUCEA,837,2021,CUCEA,Licenciatura en Administración Financiera y Sistemas
422 PE que requieren PP-838 - 2021 - CUCEA,838,2021,CUCEA,Licenciatura en Administración Gubernamental y Políticas Públicas
422 PE que requieren PP-839 - 2021 - CUCEA,839,2021,CUCEA,Licenciatura en Contaduría Pública
422 PE que requieren PP-840 - 2021 - CUCEA,840,2021,CUCEA,Licenciatura en Economía
422 PE que requieren PP-841 - 2021 - CUCEA,841,2021,CUCEA,Licenciatura en Gestión de Negocios Gastronómicos
422 PE que requieren PP-842 - 2021 - CUCEA,842,2021,CUCEA,Licenciatura en Gestión y Economía Ambiental
422 PE que requieren PP-843 - 2021 - CUCEA,843,2021,CUCEA,Licenciatura en Mercadotecnia
422 PE que requieren PP-844 - 2021 - CUCEA,844,2021,CUCEA,Licenciatura en Negocios Internacionales
422 PE que requieren PP-845 - 2021 - CUCEA,845,2021,CUCEA,Licenciatura en Recursos Humanos
422 PE que requieren PP-846 - 2021 - CUCEA,846,2021,CUCEA,Licenciatura en Relaciones Públicas y Comunicación
422 PE que requieren PP-847 - 2021 - CUCEA,847,2021,CUCEA,Licenciatura en Tecnologías de la Información
422 PE que requieren PP-848 - 2021 - CUCEA,848,2021,CUCEA,Licenciatura en Turismo
422 PE que requieren PP-849 - 2021 - CUCEA,849,2021,CUCEA,Ingeniería en Negocios
422 PE que requieren PP-850 - 2021 - CUCEI,850,2021,CUCEI,Ingeniería Civil
422 PE que requieren PP-851 - 2021 - CUCEI,851,2021,CUCEI,Licenciatura en Ingeniería en Alimentos y Biotecnología
422 PE que requieren PP-852 - 2021 - CUCEI,852,2021,CUCEI,Ingeniería en Computación
422 PE que requieren PP-853 - 2021 - CUCEI,853,2021,CUCEI,Ingeniería en Comunicaciones e Electrónica
422 PE que requieren PP-854 - 2021 - CUCEI,854,2021,CUCEI,Ingeniería Industrial
422 PE que requieren PP-855 - 2021 - CUCEI,855,2021,CUCEI,Ingeniería Informática
422 PE que requieren PP-856 - 2021 - CUCEI,856,2021,CUCEI,Ingeniería Mecánica Eléctrica
422 PE que requieren PP-857 - 2021 - CUCEI,857,2021,CUCEI,Ingeniería Química
422 PE que requieren PP-858 - 2021 - CUCEI,858,2021,CUCEI,Licenciatura en Ciencia de Materiales
422 PE que requieren PP-859 - 2021 - CUCEI,859,2021,CUCEI,Licenciatura en Física
422 PE que requieren PP-860 - 2021 - CUCEI,860,2021,CUCEI,Licenciatura en Química
422 PE que requieren PP-861 - 2021 - CUCEI,861,2021,CUCEI,Licenciatura en Químico Farmacéutico Biólogo
422 PE que requieren PP-862 - 2021 - CUCEI,862,2021,CUCEI,Ingeniería Biomédica
422 PE que requieren PP-863 - 2021 - CUCEI,863,2021,CUCEI,Ingeniería Robótica
422 PE que requieren PP-864 - 2021 - CUCEI,864,2021,CUCEI,Ingeniería en Topografía Geomática
422 PE que requieren PP-865 - 2021 - CUCEI,865,2021,CUCEI,Ingeniería en Logística y Transporte
422 PE que requieren PP-866 - 2021 - CUCS,866,2021,CUCS,Licenciatura en Cirujano Dentista 
422 PE que requieren PP-867 - 2021 - CUCS,867,2021,CUCS,Licenciatura en Psicología
422 PE que requieren PP-868 - 2021 - CUCS,868,2021,CUCS,Licenciatura en Cultura Física y Deportes
422 PE que requieren PP-869 - 2021 - CUCS,869,2021,CUCS,"Médico, Cirujano y Partero"
422 PE que requieren PP-870 - 2021 - CUCS,870,2021,CUCS,Licenciatura en Nutrición
422 PE que requieren PP-871 - 2021 - CUCS,871,2021,CUCS,Licenciatura en Enfermería
422 PE que requieren PP-872 - 2021 - CUCS,872,2021,CUCS,Licenciatura en Enfermería en la modalidad a distancia
422 PE que requieren PP-873 - 2021 - CUCS,873,2021,CUCS,Licenciatura en Ciencias Forenses
422 PE que requieren PP-874 - 2021 - CUCS,874,2021,CUCS,Licenciatura en Podología
422 PE que requieren PP-875 - 2021 - CUCS,875,2021,CUCS,Nivelación de la Licenciatura en Enfermería en la modalidad a distancia
422 PE que requieren PP-876 - 2021 - CUCS,876,2021,CUCS,Técnico Superior en Enfermería
422 PE que requieren PP-877 - 2021 - CUCS,877,2021,CUCS,Técnico Superior Universitario en Radiología e Imagen
422 PE que requieren PP-878 - 2021 - CUCS,878,2021,CUCS,Técnico Superior Universitario en Prótesis Dental
422 PE que requieren PP-879 - 2021 - CUCS,879,2021,CUCS,"Técnico Superior Universitario en Emergencias, Seguridad Laboral y Rescates"
422 PE que requieren PP-880 - 2021 - CUCS,880,2021,CUCS,Técnico Superior Universitario en Terapia Física
422 PE que requieren PP-881 - 2021 - CUCS,881,2021,CUCS,Técnico Superior Universitario en Terapia Respiratoria
422 PE que requieren PP-882 - 2021 - CUCSH,882,2021,CUCSH,Licenciatura en Antropología
422 PE que requieren PP-883 - 2021 - CUCSH,883,2021,CUCSH,Licenciatura en Comunicación Pública
422 PE que requieren PP-884 - 2021 - CUCSH,884,2021,CUCSH,Licenciatura en Criminología
422 PE que requieren PP-885 - 2021 - CUCSH,885,2021,CUCSH,Licenciatura en Derecho
422 PE que requieren PP-886 - 2021 - CUCSH,886,2021,CUCSH,Licenciatura en Didáctica del Francés como Lengua Extranjera
422 PE que requieren PP-887 - 2021 - CUCSH,887,2021,CUCSH,Licenciatura en Docencia del Inglés como Lengua Extranjera
422 PE que requieren PP-888 - 2021 - CUCSH,888,2021,CUCSH,Licenciatura en Sociología
422 PE que requieren PP-889 - 2021 - CUCSH,889,2021,CUCSH,Licenciatura en Estudios Políticos y de Gobierno
422 PE que requieren PP-890 - 2021 - CUCSH,890,2021,CUCSH,Licenciatura en Filosofía
422 PE que requieren PP-891 - 2021 - CUCSH,891,2021,CUCSH,Licenciatura en Geografía
422 PE que requieren PP-892 - 2021 - CUCSH,892,2021,CUCSH,Licenciatura en Historia
422 PE que requieren PP-893 - 2021 - CUCSH,893,2021,CUCSH,Licenciatura en Letras Hispánicas
422 PE que requieren PP-894 - 2021 - CUCSH,894,2021,CUCSH,Licenciatura en Trabajo Social
422 PE que requieren PP-895 - 2021 - CUCSH,895,2021,CUCSH,Licenciatura en Relaciones Internacionales
422 PE que requieren PP-896 - 2021 - CUCSH,896,2021,CUCSH,Licenciatura en Escritura Creativa 
422 PE que requieren PP-897 - 2021 - CUALTOS,897,2021,CUALTOS,Licenciatura en Psicología 
422 PE que requieren PP-898 - 2021 - CUALTOS,898,2021,CUALTOS,Licenciatura en Nutrición
422 PE que requieren PP-899 - 2021 - CUALTOS,899,2021,CUALTOS,Licenciatura en Negocios Internacionales
