name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
959 2022-2023 14USU0230T 6091302001,959,2022-2023,14USU0230T,6091302001,Escolarizada,2,7,,9,,,,0,,,,0,7,4,,11,,,,0,,,,0
964 2022-2023 14USU0230T 6091307001,964,2022-2023,14USU0230T,6091307001,Escolarizada,9,0,,9,,,,0,,,,0,6,0,,6,,,,0,,,,0
967 2022-2023 14USU0230T 6091310001,967,2022-2023,14USU0230T,6091310001,Escolarizada,9,22,,31,,,,0,,,,0,5,28,,33,,,,0,,,,1
975 2022-2023 14USU0230T 6091315001,975,2022-2023,14USU0230T,6091315001,Escolarizada,9,10,,19,,,,1,,,,0,14,17,,31,,,,0,,,,0
977 2022-2023 14USU0230T 6091316004,977,2022-2023,14USU0230T,6091316004,Escolarizada,5,7,,12,,,,0,,,,0,4,1,,5,,,,0,,,,0
1008 2022-2023 14USU0230T 6091337008,1008,2022-2023,14USU0230T,6091337008,Escolarizada,0,0,,0,,,,0,,,,0,1,0,,1,,,,0,,,,0
1012 2022-2023 14USU0230T 6091340001,1012,2022-2023,14USU0230T,6091340001,Escolarizada,20,45,,65,,,,4,,,,0,20,46,,66,,,,0,,,,0
1021 2022-2023 14USU0230T 6091345011,1021,2022-2023,14USU0230T,6091345011,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
1027 2022-2023 14USU0230T 6092207003,1027,2022-2023,14USU0230T,6092207003,Escolarizada,0,0,,0,,,,0,,,,0,2,4,,6,,,,0,,,,0
1030 2022-2023 14USU0230T 6093201005,1030,2022-2023,14USU0230T,6093201005,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
1034 2022-2023 14USU0230T 6093205004,1034,2022-2023,14USU0230T,6093205004,Escolarizada,0,0,,0,,,,0,,,,0,2,2,,4,,,,0,,,,0
1040 2022-2023 14USU0230T 7022600002,1040,2022-2023,14USU0230T,7022600002,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
1042 2022-2023 14USU0230T 7031100028,1042,2022-2023,14USU0230T,7031100028,Escolarizada,0,0,,0,,,,0,,,,0,1,1,,2,,,,0,,,,0
1049 2022-2023 14USU0230T 7033200002,1049,2022-2023,14USU0230T,7033200002,Escolarizada,0,0,,0,,,,0,,,,0,1,1,,2,,,,0,,,,0
1053 2022-2023 14USU0230T 7051200022,1053,2022-2023,14USU0230T,7051200022,Escolarizada,0,0,,0,,,,0,,,,0,1,1,,2,,,,0,,,,0
1066 2022-2023 14USU0230T 7095600046,1066,2022-2023,14USU0230T,7095600046,Escolarizada,0,0,,0,,,,0,,,,0,1,1,,2,,,,0,,,,0
1068 2022-2023 14USU0230T 7101000006,1068,2022-2023,14USU0230T,7101000006,Escolarizada,10,12,,22,,,,1,,,,0,0,0,,0,,,,0,,,,0
1070 2022-2023 14USU0230T 8031100040,1070,2022-2023,14USU0230T,8031100040,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
1073 2022-2023 14USU0230T 8051200020,1073,2022-2023,14USU0230T,8051200020,Escolarizada,7,3,,10,,,,0,,,,0,4,3,,7,,,,0,,,,0
1075 2022-2023 14USU0230T 8091100003,1075,2022-2023,14USU0230T,8091100003,Escolarizada,6,6,,12,,,,0,,,,0,1,4,,5,,,,0,,,,0
1080 2022-2023 14USU0230T 8095000003,1080,2022-2023,14USU0230T,8095000003,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
