name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-69 - 2024 - CUVALLES - Estatal,69,2024,CUVALLES,Estatal,2,36,,38,3
421 Prácticas profesionales-70 - 2024 - CUVALLES - Municipal,70,2024,CUVALLES,Municipal,86,87,,173,22
421 Prácticas profesionales-71 - 2024 - CUVALLES - Privado,71,2024,CUVALLES,Privado,81,88,,169,64
421 Prácticas profesionales-72 - 2024 - CUVALLES - Civil,72,2024,CUVALLES,Civil,5,27,,32,2
421 Prácticas profesionales-73 - 2024 - CUNORTE - Público,73,2024,CUNORTE,Público,576,751,,1327,32
421 Prácticas profesionales-74 - 2024 - CUNORTE - Federal,74,2024,CUNORTE,Federal,18,23,,41,2
421 Prácticas profesionales-75 - 2024 - CUNORTE - Estatal,75,2024,CUNORTE,Estatal,537,696,,1233,15
421 Prácticas profesionales-76 - 2024 - CUNORTE - Municipal,76,2024,CUNORTE,Municipal,21,32,,53,15
421 Prácticas profesionales-77 - 2024 - CUNORTE - Privado,77,2024,CUNORTE,Privado,55,79,,134,73
421 Prácticas profesionales-78 - 2024 - CUNORTE - Civil,78,2024,CUNORTE,Civil,0,0,,0,9
421 Prácticas profesionales-79 - 2024 - CULAGOS - Público,79,2024,CULAGOS,Público,120,250,,370,15
421 Prácticas profesionales-80 - 2024 - CULAGOS - Federal,80,2024,CULAGOS,Federal,4,10,,14,0
421 Prácticas profesionales-81 - 2024 - CULAGOS - Estatal,81,2024,CULAGOS,Estatal,85,177,,262,10
421 Prácticas profesionales-82 - 2024 - CULAGOS - Municipal,82,2024,CULAGOS,Municipal,31,63,,94,5
421 Prácticas profesionales-83 - 2024 - CULAGOS - Privado,83,2024,CULAGOS,Privado,111,124,,235,86
421 Prácticas profesionales-84 - 2024 - CULAGOS - Civil,84,2024,CULAGOS,Civil,9,21,,30,5
421 Prácticas profesionales-85 - 2024 - CUTONALÁ - Público,85,2024,CUTONALÁ,Público,150,407,,557,5
421 Prácticas profesionales-86 - 2024 - CUTONALÁ - Federal,86,2024,CUTONALÁ,Federal,31,49,,80,0
421 Prácticas profesionales-87 - 2024 - CUTONALÁ - Estatal,87,2024,CUTONALÁ,Estatal,88,257,,345,4
421 Prácticas profesionales-88 - 2024 - CUTONALÁ - Municipal,88,2024,CUTONALÁ,Municipal,31,101,,132,1
421 Prácticas profesionales-89 - 2024 - CUTONALÁ - Privado,89,2024,CUTONALÁ,Privado,229,227,,456,145
421 Prácticas profesionales-90 - 2024 - CUTONALÁ - Civil,90,2024,CUTONALÁ,Civil,8,28,,36,15
421 Prácticas profesionales-91 - 2024 - CUTLAJOMULCO - Público,91,2024,CUTLAJOMULCO,Público,6,24,,30,0
421 Prácticas profesionales-92 - 2024 - CUTLAJOMULCO - Federal,92,2024,CUTLAJOMULCO,Federal,0,1,,1,0
421 Prácticas profesionales-93 - 2024 - CUTLAJOMULCO - Estatal,93,2024,CUTLAJOMULCO,Estatal,6,21,,27,0
421 Prácticas profesionales-94 - 2024 - CUTLAJOMULCO - Municipal,94,2024,CUTLAJOMULCO,Municipal,0,2,,2,0
421 Prácticas profesionales-95 - 2024 - CUTLAJOMULCO - Privado,95,2024,CUTLAJOMULCO,Privado,19,23,,42,38
