name,row,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,conteo,clasificacion_plantel,region_jalisco,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
Prepa 10-14MMS0649W,39,SEMS,,14MMS0649W,Escuela Preparatoria No. 10,Prepa 10,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle La Grana,430,2,45132,http://prepa10.sems.udg.mx,prepa10.sems.udg.mx,,,
Prepa 11-14MMS0650L,40,SEMS,,14MMS0650L,Escuela Preparatoria No. 11,Prepa 11,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Sierra Nevada,990,N/A,44290,http://prepa11.sems.udg.mx,prepa11.sems.udg.mx,,,
Prepa 12-14MMS0646Z,41,SEMS,,14MMS0646Z,Escuela Preparatoria No. 12,Prepa 12,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Corregidora (calle 40),500,N/A,44420,http://prepa12.sems.udg.mx,prepa12.sems.udg.mx,,,
Módulo Tlaquepaque-14MMS0640E,42,SEMS,14MMS0646Z,14MMS0640E,Módulo Tlaquepaque,Módulo Tlaquepaque,Módulo,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Francisco de Miranda,75,N/A,44500,http://prepa12.sems.udg.mx,prepa12.sems.udg.mx,,,
Prepa 13-14MMS0615F,43,SEMS,,14MMS0615F,Escuela Preparatoria No. 13 “El Sauz”,Prepa 13,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Isla Pianosa,4575,N/A,45589,http://prepa13.sems.udg.mx,prepa13.sems.udg.mx,,,
Prepa 14-14MMS0630Y,44,SEMS,,14MMS0630Y,Escuela Preparatoria No. 14,Prepa 14,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Volcán Miño,185,N/A,44250,http://prepa14.sems.udg.mx,prepa14.sems.udg.mx,,,
Módulo La Experiencia-14MMS0641D,45,SEMS,14MMS0630Y,14MMS0641D,Módulo La Experiencia,Módulo La Experiencia,Módulo,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Hidalgo ,2,N/A,45198,http://prepa14.sems.udg.mx,prepa14.sems.udg.mx,,,
Prepa 15-14MMS0631X,46,SEMS,,14MMS0631X,Escuela Preparatoria No. 15,Prepa 15,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle 5 de Mayo,S/N,N/A,45019,http://prepa15.sems.udg.mx,prepa15.sems.udg.mx,,,
Prepa 16-14MMS0636S,47,SEMS,,14MMS0636S,Escuela Preparatoria No. 16,Prepa 16,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Santa Cruz,33,N/A,45000,http://prepa16.sems.udg.mx,prepa16.sems.udg.mx,,,
Prepa 17-14MMS0752I,48,SEMS,,14MMS0752I,Escuela Preparatoria No. 17,Prepa 17,Escuela,1,Metropolitano,Región Centro,El Salto,El Salto,Avenida Emiliano Zapata,2568,F - 2,45690,http://prepa17.sems.udg.mx,prepa17.sems.udg.mx,,,
Prepa 18-14MMS0753H,49,SEMS,,14MMS0753H,Escuela Preparatoria No. 18,Prepa 18,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Hacienda Cedros,1950,N/A,44700,http://prepa18.sems.udg.mx,prepa18.sems.udg.mx,,,
Prepa 19-14MMS0757D,50,SEMS,,14MMS0757D,Escuela Preparatoria No. 19,Prepa 19,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Paseo del Almendro,S/N,N/A,45200,http://prepa19.sems.udg.mx,prepa19.sems.udg.mx,,,
Prepa 20-14MMS0756E,51,SEMS,,14MMS0756E,Escuela Preparatoria No. 20,Prepa 20,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle Paseos del bosque,S/N,N/A,45066,http://prepa20.sems.udg.mx,prepa20.sems.udg.mx,,,
Escuela Vocacional-14MMS0614G,52,SEMS,,14MMS0614G,Escuela Vocacional,Escuela Vocacional,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Boulevard Gral. Marcelino García Barragán,32,N/A,44430,http://voca.sems.udg.mx,voca.sems.udg.mx,,,
