name,row,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,conteo,clasificacion_plantel,region_jalisco,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
Módulo Yahualica-14MMS0716D,168,SEMS,14MMS0632W,14MMS0716D,Módulo Yahualica,Módulo Yahualica,Módulo,1,Regional,Región Altos Sur,Yahualica de González Gallo,Yahualica de González Gallo,Calle Condor,S/N,N/A,47300,http://prepatepatitlan.sems.udg.mx,prepatepatitlan.sems.udg.mx,,,
EPR de Tequila-14MMS0660S,169,SEMS,,14MMS0660S,Escuela Preparatoria Regional de Tequila,EPR de Tequila,Escuela,1,Regional,Región Valles,Tequila,Tequila,Calle San Martín,175,N/A,46400,http://prepatequila.sems.udg.mx,prepatequila.sems.udg.mx,,,
Módulo Hostotipaquillo-14MMS0719A,170,SEMS,14MMS0660S,14MMS0719A,Módulo Hostotipaquillo,Módulo Hostotipaquillo,Módulo,1,Regional,Región Valles,Hostotipaquillo,Hostotipaquillo,Calle Valeriano Partida,1,N/A,46440,http://prepatequila.sems.udg.mx,prepatequila.sems.udg.mx,,,
Módulo Magdalena-14MMS0720Q,171,SEMS,14MMS0660S,14MMS0720Q,Módulo Magdalena,Módulo Magdalena,Módulo,1,Regional,Región Valles,Magdalena,Magdalena,Calzada Manuel Ávila Camacho,323,N/A,46470,http://prepatequila.sems.udg.mx,prepatequila.sems.udg.mx,,,
Módulo La Venta de Mochitiltic-14MMS0742B,172,SEMS,14MMS0660S,14MMS0742B,Módulo La Venta de Mochitiltic,Módulo La Venta de Mochitiltic,Módulo,1,Regional,Región Valles,Hostotipaquillo,Hostotipaquillo,Calle Casa Ejidal,S/N,N/A,46446,http://prepatequila.sems.udg.mx,prepatequila.sems.udg.mx,,,
Módulo San Andrés-14MMS0743A,173,SEMS,14MMS0660S,14MMS0743A,Módulo San Andrés,Módulo San Andrés,Módulo,1,Regional,Región Valles,Magdalena,Magdalena,Calle Morelos,122,N/A,46475,http://prepatequila.sems.udg.mx,prepatequila.sems.udg.mx,,,
EPR de Tlajomulco de Zúñiga-14MMS0657E,174,SEMS,,14MMS0657E,Escuela Preparatoria Regional de Tlajomulco de Zúñiga,EPR de Tlajomulco de Zúñiga,Escuela,1,Regional,Región Centro,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Prolongación Mariano Otero,144,N/A,45640,http://prepatlajomulco.sems.udg.mx,prepatlajomulco.sems.udg.mx,,,
Módulo Cajititlán-14MMS0721P,175,SEMS,14MMS0657E,14MMS0721P,Módulo Cajititlán,Módulo Cajititlán,Módulo,1,Regional,Región Centro,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Carretera A Cajititlán,Km 1.5,N/A,45670,http://prepatlajomulco.sems.udg.mx,prepatlajomulco.sems.udg.mx,,,
Módulo San Agustín-14MMS0744Z,176,SEMS,14MMS0657E,14MMS0744Z,Módulo San Agustín,Módulo San Agustín,Módulo,1,Regional,Región Centro,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Calle Lomas del Alamos,100,N/A,45645,http://prepatlajomulco.sems.udg.mx,prepatlajomulco.sems.udg.mx,,,
Módulo El Zapote-14MMS0817B,177,SEMS,14MMS0657E,14MMS0817B,Módulo El Zapote,Módulo El Zapote,Módulo,1,Regional,Región Centro,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Privada Flor de Hortensia,S/N,N/A,45672,http://prepatlajomulco.sems.udg.mx,prepatlajomulco.sems.udg.mx,,,
EPR de Toluquilla-14MMS0773V,178,SEMS,,14MMS0773V,Escuela Preparatoria Regional de Toluquilla,EPR de Toluquilla,Escuela,1,Regional,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Camino Al canal,17,N/A,45610,http://prepatoluquilla.sems.udg.mx,prepatoluquilla.sems.udg.mx,,,
EPR de Tuxpan-14MMS0633V,179,SEMS,,14MMS0633V,Escuela Preparatoria Regional de Tuxpan,EPR de Tuxpan,Escuela,1,Regional,Región Sur,Tuxpan,Tuxpan,Carretera Tuxpan-Atenquique,km 2,N/A,49800,http://prepatuxpan.sems.udg.mx,prepatuxpan.sems.udg.mx,,,
Módulo Pihuamo-14MMS0772W,180,SEMS,14MMS0633V,14MMS0772W,Módulo Pihuamo,Módulo Pihuamo,Módulo,1,Regional,Región Sur,Pihuamo,Pihuamo,Andador Pihuamo,S/N,N/A,49870,http://prepatuxpan.sems.udg.mx,prepatuxpan.sems.udg.mx,,,
Módulo Tecalitlán-14MMS0679Q,181,SEMS,14MMS0633V,14MMS0679Q,Módulo Tecalitlán,Módulo Tecalitlán,Módulo,1,Regional,Región Sur,Tecalitlán,Tecalitlán,Calle Guadalupe Victoria,200,N/A,49870,http://prepatuxpan.sems.udg.mx,prepatuxpan.sems.udg.mx,,,
Módulo Tonila-14MMS0723N,182,SEMS,14MMS0633V,14MMS0723N,Módulo Tonila,Módulo Tonila,Módulo,1,Regional,Región Sur,Tonila,Tonila,Calle Efraín González Luna Morfín,S/N,N/A,49840,http://prepatuxpan.sems.udg.mx,prepatuxpan.sems.udg.mx,,,
EPR de Unión de Tula-14MMS0712H,183,SEMS,,14MMS0712H,Escuela Preparatoria Regional de Unión de Tula,EPR de Unión de Tula,Escuela,1,Regional,Región Sierra de Amula,Unión de Tula,Unión de Tula,Calle Campeche,40,N/A,48000,http://prepauniondetula.sems.udg.mx,prepauniondetula.sems.udg.mx,,,
Módulo Ayutla-14MMS0669J,184,SEMS,14MMS0712H,14MMS0669J,Módulo Ayutla,Módulo Ayutla,Módulo,1,Regional,Región Sierra de Amula,Ayutla,Ayutla,Calle Abasolo,246,N/A,48050,http://prepauniondetula.sems.udg.mx,prepauniondetula.sems.udg.mx,,,
Módulo Ejutla-14MMS0672X,185,SEMS,14MMS0712H,14MMS0672X,Módulo Ejutla,Módulo Ejutla,Módulo,1,Regional,Región Sierra de Amula,Ejutla,Ejutla,Calle Juan M. Díaz,9,N/A,48680,http://prepauniondetula.sems.udg.mx,prepauniondetula.sems.udg.mx,,,
EPR de Villa Corona-14MMS0708V,186,SEMS,,14MMS0708V,Escuela Preparatoria Regional de Villa Corona,EPR de Villa Corona,Escuela,1,Regional,Región Lagunas,Villa Corona,Villa Corona,Calle Cuauhtémoc ,S/N,N/A,45730,http://prepavillacorona.sems.udg.mx,prepavillacorona.sems.udg.mx,,,
Módulo Acatlán de Juárez-14MMS0767K,187,SEMS,14MMS0708V,14MMS0767K,Módulo Acatlán de Juárez,Módulo Acatlán de Juárez,Módulo,1,Regional,Región Lagunas,Acatlán de Juárez,Acatlán de Juárez,Carretera Barra de Navidad,226,km 44,45700,http://prepavillacorona.sems.udg.mx,prepavillacorona.sems.udg.mx,,,
EPR de Zacoalco de Torres-14MMS0659C,188,SEMS,,14MMS0659C,Escuela Preparatoria Regional de Zacoalco de Torres,EPR de Zacoalco de Torres,Escuela,1,Regional,Región Lagunas,Zacoalco de Torres,Zacoalco de Torres,Avenida Dr.  Rubén Ramírez Flores,150,N/A,45750,http://prepazacoalco.sems.udg.mx,prepazacoalco.sems.udg.mx,,,
Módulo Atemajac de Brizuela-14MMS0755F,189,SEMS,14MMS0659C,14MMS0755F,Módulo Atemajac de Brizuela,Módulo Atemajac de Brizuela,Módulo,1,Regional,Región Lagunas,Atemajac de Brizuela,Atemajac de Brizuela,Calle Brizuela,S/N,N/A,55790,http://prepazacoalco.sems.udg.mx,prepazacoalco.sems.udg.mx,,,
Módulo Teocuitatlán de Corona-14MMS0746Y,190,SEMS,14MMS0659C,14MMS0746Y,Módulo Teocuitatlán de Corona,Módulo Teocuitatlán de Corona,Módulo,1,Regional,Región Lagunas,Teocuitatlán de Corona,Teocuitatlán de Corona,Calle Ignacio Zaragoza,S/N,N/A,4920,http://prepazacoalco.sems.udg.mx,prepazacoalco.sems.udg.mx,,,
Módulo Villa Atoyac-14MMS0724M,191,SEMS,14MMS0659C,14MMS0724M,Módulo Villa Atoyac,Módulo Villa Atoyac,Módulo,1,Regional,Región Lagunas,Atoyac,Atoyac,Calle Nemesio Rodríguez Pérez ,S/N,N/A,49200,http://prepazacoalco.sems.udg.mx,prepazacoalco.sems.udg.mx,,,
Módulo Cítala-14MMS0745Z,192,SEMS,14MMS0659C,14MMS0745Z,Módulo Cítala,Módulo Cítala,Módulo,1,Regional,Región Lagunas,Teocuitatlán de Corona,Teocuitatlán de Corona,Calle Agustín Iturbide,60,N/A,49280,http://prepazacoalco.sems.udg.mx,prepazacoalco.sems.udg.mx,,,
EPR de Zapotiltic-14MMS0638Q,193,SEMS,,14MMS0638Q,Escuela Preparatoria Regional de Zapotiltic,EPR de Zapotiltic,Escuela,1,Regional,Región Sur,Zapotiltic,Zapotiltic,Prolongación Mariano Escobedo,270,N/A,49600,http://prepazapotiltic.sems.udg.mx,prepazapotiltic.sems.udg.mx,,,
EPR de Zapotlanejo-14MMS0658D,194,SEMS,,14MMS0658D,Escuela Preparatoria Regional de Zapotlanejo,EPR de Zapotlanejo,Escuela,1,Regional,Región Centro,Zapotlanejo,Zapotlanejo,Carretera Zapotlanejo - Tepatitlán,Km 1.5,N/A,45430,http://prepazapotlanejo.sems.udg.mx,prepazapotlanejo.sems.udg.mx,,,
Módulo Matatlán-14MMS0725L,195,SEMS,14MMS0658D,14MMS0725L,Módulo Matatlán,Módulo Matatlán,Módulo,1,Regional,Región Centro,Zapotlanejo,Zapotlanejo,Calle Niños Héroes,S/N,N/A,45430,http://prepazapotlanejo.sems.udg.mx,prepazapotlanejo.sems.udg.mx,,,
EREMS Ocotlán-14MMS0616E,196,SEMS,,14MMS0616E,Escuela Regional de Educación Media Superior de Ocotlán,EREMS Ocotlán,Escuela,1,Regional,Región Ciénega,Ocotlán,Ocotlán,Avenida Universidad ,1115,N/A,47829,http://eremso.sems.udg.mx,eremso.sems.udg.mx,,,
Módulo Atequiza-14MMS0639P,197,SEMS,14MMS0616E,14MMS0639P,Módulo Atequiza,Módulo Atequiza,Módulo,1,Regional,Región Centro,Ixtlahuacán de los Membrillos,Ixtlahuacán de los Membrillos,Calle Niños Héroes,100,N/A,45860,http://eremso.sems.udg.mx,eremso.sems.udg.mx,,,
Módulo Tototlán-14MMS0699D,198,SEMS,14MMS0616E,14MMS0699D,Módulo Tototlán,Módulo Tototlán,Módulo,1,Regional,Región Ciénega,Tototlán,Tototlán,Avenida Guadalupe ,S/N,N/A,47730,http://eremso.sems.udg.mx,eremso.sems.udg.mx,,,
Módulo Zapotlán del Rey-14MMS0748W,199,SEMS,14MMS0616E,14MMS0748W,Módulo Zapotlán del Rey,Módulo Zapotlán del Rey,Módulo,1,Regional,Región Ciénega,Zapotlán del Rey,Zapotlán del Rey,Carretera Otatlán - Zapotlán del Rey,Km 2.3,N/A,45980,http://eremso.sems.udg.mx,eremso.sems.udg.mx,,,
Módulo Poncitlán-14MMS0827I,200,SEMS,14MMS0616E,14MMS0827I,Módulo Poncitlán,Módulo Poncitlán,Módulo,1,Regional,Región Ciénega,Poncitlán,Poncitlán,"Calle Plutarco Elías Calles
",S/N,N/A,45959,http://eremso.sems.udg.mx,eremso.sems.udg.mx,,,
EREMS Wixárika-14MMS0751J,201,SEMS,,14MMS0751J,Escuela de Educación Media Superior Wixárika,EREMS Wixárika,Escuela,1,Regional,Región Norte,Mezquitic,Mezquitic,Terracería Conocido,S/N,N/A,46070,http://prepawixarika.sems.udg.mx,prepawixarika.sems.udg.mx,,,
Módulo Ocota-14MMS0830W,202,SEMS,14MMS0751J,14MMS0830W,Módulo Ocota de la Sierra,Módulo Ocota,Módulo,1,Regional,Región Norte,Mezquitic,Mezquitic,Camino A la preparatoria ,S/N,N/A,46155,http://prepawixarika.sems.udg.mx,prepawixarika.sems.udg.mx,,,
Prepa San José del Valle-14MMS0818A,203,SEMS,,14MMS0818A,Escuela Preparatoria de San José del Valle de Tlajomulco de Zúñiga,Prepa San José del Valle,Escuela,1,Regional,Región Centro,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,Calle Concepción ,S/N,N/A,45653,http://prepasanjosedelvalle.sems.udg.mx,prepasanjosedelvalle.sems.udg.mx,,,
Módulo Haciendas de Santa Fe-ModuloSantaFe,204,SEMS,,ModuloSantaFe,Módulo Hacicendas de Santa Fe,Módulo Haciendas de Santa Fe,Módulo,1,Regional,Región Centro,,,,,,,,,,,
