name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
223 2021-2022 14MMS0721P BGC,223,2021-2022,14MMS0721P,BGC,Escolarizada,107,165,,272,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,,7,0,0,,0,0,0,,0,1,6,,7,0,1,,1
230 2021-2022 14MMS0726K BGC,230,2021-2022,14MMS0726K,BGC,Escolarizada,47,52,,99,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
235 2021-2022 14MMS0732V BGC,235,2021-2022,14MMS0732V,BGC,Escolarizada,115,102,,217,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
236 2021-2022 14MMS0733U BGC,236,2021-2022,14MMS0733U,BGC,Escolarizada,67,48,,115,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
238 2021-2022 14MMS0735S BGC,238,2021-2022,14MMS0735S,BGC,Escolarizada,52,41,,93,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,3,,4,0,0,,0,0,0,,0,1,3,,4,0,0,,0
242 2021-2022 14MMS0739O BGC,242,2021-2022,14MMS0739O,BGC,Escolarizada,55,62,,117,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,2,,2,0,0,,0
258 2021-2022 14MMS0753H BGC,258,2021-2022,14MMS0753H,BGC,Escolarizada,641,807,,1448,1,1,,2,2,0,,2,0,0,,0,0,0,,0,0,0,,0,10,10,,20,0,0,,0,0,0,,0,13,11,,24,0,1,,1
259 2021-2022 14MMS0753H BGC,259,2021-2022,14MMS0753H,BGC,Escolarizada,640,807,,1447,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,2,,2,6,8,,14,1,0,,1,0,0,,0,8,11,,19,0,0,,0
264 2021-2022 14MMS0756E BGC,264,2021-2022,14MMS0756E,BGC,Escolarizada,617,781,,1398,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,12,8,,20,0,0,,0,1,0,,1,13,9,,22,6,3,,9
278 2021-2022 14MMS0762P BGC,278,2021-2022,14MMS0762P,BGC,Escolarizada,52,77,,129,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
279 2021-2022 14MMS0763O BGC,279,2021-2022,14MMS0763O,BGC,Escolarizada,57,53,,110,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
290 2021-2022 14MMS0771X BGC,290,2021-2022,14MMS0771X,BGC,Escolarizada,82,107,,189,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,1,0,,1,0,0,,0
301 2021-2022 14MMS0827I BGC,301,2021-2022,14MMS0827I,BGC,Escolarizada,64,74,,138,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
304 2021-2022 14MMS0844Z BGC,304,2021-2022,14MMS0844Z,BGC,Escolarizada,853,800,,1653,0,2,,2,3,2,,5,0,0,,0,0,0,,0,0,0,,0,8,9,,17,0,2,,2,2,0,,2,13,15,,28,1,0,,1
313 2021-2022 14MMS0757D BGC,313,2021-2022,14MMS0757D,BGC,Escolarizada,21,9,,30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
314 2021-2022 14MMS0756E BGC,314,2021-2022,14MMS0756E,BGC,Escolarizada,18,3,,21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
