orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
32,SEMS,,14MMS0643B,Escuela Preparatoria Regional de Ahualulco de Mercado,EPR de Ahualulco de Mercado,Escuela,Regional,Región Valles,Ahualulco de Mercado,
33,SEMS,14MMS0643B,14MMS0727J,Módulo Teuchitlán,Módulo Teuchitlán,Módulo,Regional,Región Valles,Teuchitlán,
34,SEMS,,14MMS0717C,Escuela Preparatoria Regional de Amatitán,EPR de Amatitán,Escuela,Regional,Región Valles,Amatitán,
35,SEMS,14MMS0717C,14MMS0718B,Módulo Arenal,Módulo Arenal,Módulo,Regional,Región Valles,El Arenal,
36,SEMS,14MMS0717C,14MMS0741C,Módulo El Salvador,Extensión El Salvador,Módulo,Regional,Región Valles,Tequila,
37,SEMS,,14MMS0617D,Escuela Preparatoria Regional de Ameca,EPR de Ameca,Escuela,Regional,Región Valles,Ameca,
38,SEMS,14MMS0617D,14MMS0662Q,Módulo Atenguillo,Módulo Atenguillo,Módulo,Regional,Región Costa-Sierra Occidental,Atenguillo,
39,SEMS,14MMS0617D,14MMS0663P,Módulo Mascota,Módulo Mascota,Módulo,Regional,Región Costa-Sierra Occidental,Mascota,
40,SEMS,14MMS0617D,14MMS0664O,Módulo San Antonio Matute,Módulo San Antonio Matute,Módulo,Regional,Región Valles,Ameca,
41,SEMS,14MMS0617D,14MMS0665N,Módulo Talpa de Allende,Módulo Talpa de Allende,Módulo,Regional,Región Costa-Sierra Occidental,Talpa de Allende,
42,SEMS,,14MMS0619B,Escuela Preparatoria Regional de Arandas,EPR de Arandas,Escuela,Regional,Región Altos Sur,Arandas,
43,SEMS,14MMS0619B,14MMS0666M,Módulo Jesús María,Módulo Jesús María,Módulo,Regional,Región Altos Sur,Jesús María,
44,SEMS,14MMS0619B,14MMS0667L,Módulo San Ignacio Cerro Gordo,Módulo San Ignacio Cerro Gordo,Módulo,Regional,Región Altos Sur,San Ignacio Cerro Gordo,
45,SEMS,14MMS0619B,14MMS0728I,Módulo Santa María del Valle,Módulo Santa María del Valle,Módulo,Regional,Región Altos Sur,Arandas,
46,SEMS,,14MMS0618C,Escuela Preparatoria Regional de Atotonilco,EPR de Atotonilco,Escuela,Regional,Región Ciénega,Atotonilco el Alto,
47,SEMS,14MMS0618C,14MMS0668K,Módulo Ayotlán,Módulo Ayotlán,Módulo,Regional,Región Ciénega,Ayotlán,
48,SEMS,14MMS0618C,14MMS0747X,Módulo La Ribera,Módulo La Ribera,Módulo,Regional,Región Ciénega,Ayotlán,
49,SEMS,14MMS0618C,14MMS0750K,Módulo San Francisco de Asís,Módulo San Francisco de Asís,Módulo,Regional,Región Ciénega,Atotonilco el Alto,
50,SEMS,,14MMS0621Q,Escuela Preparatoria Regional de Autlán de Navarro,EPR de Autlán de Navarro,Escuela,Regional,Región Sierra de Amula,Autlán de Navarro,
51,SEMS,,14MMS0622P,Escuela Preparatoria Regional de Casimiro Castillo,EPR de Casimiro Castillo,Escuela,Regional,Región Costa Sur,Casimiro Castillo,
52,SEMS,14MMS0622P,14MMS0732V,Módulo Ayotitlán,Módulo Ayotitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
53,SEMS,14MMS0622P,14MMS0733U,Módulo Chacala,Módulo Chacala,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
54,SEMS,14MMS0622P,14MMS0674V,Módulo Cuautitlán,Módulo Cuautitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
55,SEMS,14MMS0622P,14MMS0734T,Módulo Cuzalapa,Módulo Cuzalapa,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
56,SEMS,14MMS0622P,14MMS0675U,Módulo Hermenegildo Galeana,Módulo Hermenegildo Galeana,Módulo,Regional,Región Costa Sur,Casimiro Castillo,
57,SEMS,14MMS0622P,14MMS0676T,Módulo La Huerta,Módulo La Huerta,Módulo,Regional,Región Costa Sur,La Huerta,
58,SEMS,14MMS0622P,14MMS0735S,Módulo Tecomates,Módulo Tecomates,Módulo,Regional,Región Costa Sur,Casimiro Castillo,
59,SEMS,14MMS0622P,14MMS0736R,Módulo Telcruz,Módulo Telcruz,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
60,SEMS,14MMS0622P,14MMS0737Q,Módulo Tequesquitlán,Extensión Tequesquitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
61,SEMS,14MMS0622P,14MMS0677S,Módulo Villa Purificación,Módulo Villa Purificación,Módulo,Regional,Región Costa Sur,Villa Purificación,
62,SEMS,,14MMS0651K,Escuela Preparatoria Regional de Chapala,EPR de Chapala,Escuela,Regional,Región Sureste,Chapala,
63,SEMS,14MMS0651K,14MMS0798D,Módulo Ixtlahuacán de los Membrillos,Módulo Ixtlahuacán de los Membrillos,Módulo,Metropolitano,Región Centro,Ixtlahuacán de los Membrillos,
64,SEMS,14MMS0651K,14MMS0698E,Módulo Mezcala de la Asunción,Módulo Mezcala de la Asunción,Módulo,Regional,Región Ciénega,Poncitlán,
65,SEMS,,14MMS0624N,Escuela Preparatoria Regional de Cihuatlán,EPR de Cihuatlán,Escuela,Regional,Región Costa Sur,Cihuatlán,
66,SEMS,14MMS0624N,14MMS0682D,Módulo Miguel Hidalgo,Módulo Miguel Hidalgo,Módulo,Regional,Región Costa Sur,La Huerta,
67,SEMS,14MMS0624N,14MMS0683C,Módulo San Patricio Melaque,Módulo San Patricio Melaque,Módulo,Regional,Región Costa Sur,Cihuatlán,
68,SEMS,,14MMS0626L,Escuela Preparatoria Regional de Ciudad Guzmán,EPR de Ciudad Guzmán,Escuela,Regional,Región Sur,Zapotlán el Grande,
69,SEMS,14MMS0626L,14MMS0758C,Módulo Copala,Módulo Copala,Módulo,Regional,Región Sur,Tolimán,
70,SEMS,14MMS0626L,14MMS0680F,Módulo Tolimán,Módulo Tolimán,Módulo,Regional,Región Sur,Tolimán,
71,SEMS,14MMS0626L,14MMS0681E,Módulo Zapotitlán de Vadillo,Módulo Zapotitlán de Vadillo,Módulo,Regional,Región Sur,Zapotitlán de Vadillo,
72,SEMS,,14MMS0707W,Escuela Preparatoria Regional de Cocula,EPR de Cocula,Escuela,Regional,Región Lagunas,Cocula,
73,SEMS,,14MMS0625M,Escuela Preparatoria Regional de Colotlán,EPR de Colotlán,Escuela,Regional,Región Norte,Colotlán,
74,SEMS,14MMS0625M,14MMS0738P,Módulo Bolaños,Módulo Bolaños,Módulo,Regional,Región Norte,Bolaños,
75,SEMS,14MMS0625M,14MMS0684B,Módulo Huejúcar,Módulo Huejúcar,Módulo,Regional,Región Norte,Huejúcar,
76,SEMS,14MMS0625M,14MMS0687Z,Módulo San Martín de Bolaños,Módulo San Martín de Bolaños,Módulo,Regional,Región Norte,San Martín de Bolaños,
77,SEMS,14MMS0625M,14MMS0688Y,Módulo Villa Guerrero,Módulo Villa Guerrero,Módulo,Regional,Región Norte,Villa Guerrero,
78,SEMS,,14MMS0652J,Escuela Preparatoria Regional de Degollado,EPR de Degollado,Escuela,Regional,Región Ciénega,Degollado,
79,SEMS,,14MMS0637R,Escuela Preparatoria Regional de El Grullo,EPR de El Grullo,Escuela,Regional,Región Sierra de Amula,El Grullo,
80,SEMS,14MMS0637R,14MMS0760R,Módulo El Chante,Módulo El Chante,Módulo,Regional,Región Sierra de Amula,Autlán de Navarro,
81,SEMS,14MMS0637R,14MMS0671Y,Módulo El Limón,Módulo El Limón,Módulo,Regional,Región Sierra de Amula,El Limón,
82,SEMS,14MMS0637R,14MMS0673W,Módulo Tonaya,Módulo Tonaya,Módulo,Regional,Región Sierra de Amula,Tonaya,
83,SEMS,14MMS0637R,14MMS0731W,Módulo Tuxcacuesco,Módulo Tuxcacuesco,Módulo,Regional,Región Sierra de Amula,Tuxcacuesco,
84,SEMS,,14MMS0654H,Escuela Preparatoria Regional de El Salto,EPR de El Salto,Escuela,Metropolitano,Región Centro,El Salto,
85,SEMS,14MMS0654H,14MMS0879O,Módulo Juanacatlán,Módulo Juanacatlán,Módulo,Metropolitano,Región Centro,Juanacatlán,
86,SEMS,,14MMS0642C,Escuela Preparatoria Regional de Etzatlán,EPR de Etzatlán,Escuela,Regional,Región Valles,Etzatlán,
87,SEMS,14MMS0642C,14MMS0726K,Módulo Oconahua,Módulo Oconahua,Módulo,Regional,Región Valles,Etzatlán,
88,SEMS,14MMS0642C,14MMS0661R,Módulo San Marcos,Módulo San Marcos,Módulo,Regional,Región Valles,San Marcos,
89,SEMS,,14MMS0685A,Escuela Preparatoria Regional de Huejuquilla el Alto,EPR de Huejuquilla el Alto,Escuela,Regional,Región Norte,Huejuquilla el Alto,
90,SEMS,14MMS0685A,14MMS0686Z,Módulo Mezquitic,Módulo Mezquitic,Módulo,Regional,Región Norte,Mezquitic,
91,SEMS,,14MMS0705Y,Escuela Preparatoria Regional de Jalostotitlán,EPR de Jalostotitlán,Escuela,Regional,Región Altos Sur,Jalostotitlán,
92,SEMS,,14MMS0693J,Escuela Preparatoria Regional de Jamay,EPR de Jamay,Escuela,Regional,Región Ciénega,Jamay,
93,SEMS,,14MMS0653I,Escuela Preparatoria Regional de Jocotepec,EPR de Jocotepec,Escuela,Regional,Región Sureste,Jocotepec,
94,SEMS,14MMS0653I,14MMS0678R,Módulo Concepción de Buenos Aires,Módulo Concepción de Buenos Aires,Módulo,Regional,Región Sureste,Concepción de Buenos Aires,
95,SEMS,14MMS0653I,14MMS0691L,Módulo La Manzanilla de la Paz,Módulo La Manzanilla de la Paz,Módulo,Regional,Región Sureste,La Manzanilla de la Paz,
96,SEMS,14MMS0653I,14MMS0692K,Módulo Tizapán el Alto,Módulo Tizapán el Alto,Módulo,Regional,Región Sureste,Tizapán el Alto,
97,SEMS,,14MMS0635T,Escuela Preparatoria Regional de La Barca,EPR de La Barca,Escuela,Regional,Región Ciénega,La Barca,
98,SEMS,,14MMS0628J,Escuela Preparatoria Regional de Lagos de Moreno,EPR de Lagos de Moreno,Escuela,Regional,Región Altos Norte,Lagos de Moreno,
99,SEMS,14MMS0628J,14MMS0764N,Módulo Encarnación de Díaz,Módulo Encarnación de Díaz,Módulo,Regional,Región Altos Norte,Encarnación de Díaz,
100,SEMS,14MMS0628J,14MMS0697F,Módulo Ojuelos,Módulo Ojuelos,Módulo,Regional,Región Altos Norte,Ojuelos,
101,SEMS,14MMS0628J,14MMS0694I,Módulo San Diego de Alejandría,Módulo San Diego de Alejandría,Módulo,Regional,Región Altos Norte,San Diego de Alejandría,
102,SEMS,14MMS0628J,14MMS0695H,Módulo Unión de San Antonio,Módulo Unión de San Antonio,Módulo,Regional,Región Altos Norte,Unión de San Antonio,
103,SEMS,14MMS0628J,14MMS0696G,Módulo Villa Hidalgo,Módulo Villa Hidalgo,Módulo,Regional,Región Altos Norte,Villa Hidalgo,
104,SEMS,,14MMS0634U,Escuela Preparatoria Regional de Puerto Vallarta,EPR de Puerto Vallarta,Escuela,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,
105,SEMS,14MMS0634U,14MMS0700C,Módulo El Tuito,Módulo El Tuito,Módulo,Regional,Región Costa-Sierra Occidental,Cabo Corrientes,
106,SEMS,14MMS0634U,14MMS0701B,Módulo Ixtapa,Módulo Ixtapa,Módulo,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,
107,SEMS,14MMS0634U,14MMS0702A,Módulo José María Morelos,Módulo José María Morelos,Módulo,Regional,Región Costa Sur,Tomatlán,
108,SEMS,14MMS0634U,14MMS0703Z,Módulo Pino Suárez,Módulo Pino Suárez,Módulo,Regional,Región Costa Sur,Tomatlán,
109,SEMS,14MMS0634U,14MMS0704Z,Módulo Tomatlán,Módulo Tomatlán,Módulo,Regional,Región Costa Sur,Tomatlán,
110,SEMS,,14MMS0629I,Escuela Preparatoria Regional de San Juan de los Lagos,EPR de San Juan de los Lagos,Escuela,Regional,Región Altos Norte,San Juan de los Lagos,
111,SEMS,14MMS0629I,14MMS0769I,Módulo Teocaltiche,Módulo Teocaltiche,Módulo,Regional,Región Altos Norte,Teocaltiche,
112,SEMS,,14MMS0644A,Escuela Preparatoria Regional de San Martín Hidalgo,EPR de San Martín Hidalgo,Escuela,Regional,Región Lagunas,San Martín Hidalgo,
113,SEMS,14MMS0644A,14MMS0739O,Módulo Buenavista,Módulo Buenavista,Módulo,Regional,Región Lagunas,San Martín Hidalgo,
114,SEMS,,14MMS0706X,Escuela Preparatoria Regional de San Miguel el Alto,EPR de San Miguel el Alto,Escuela,Regional,Región Altos Sur,San Miguel el Alto,
115,SEMS,14MMS0706X,14MMS0714F,Módulo San Julián,Módulo San Julián,Módulo,Regional,Región Altos Sur,San Julián,
116,SEMS,,14MMS0759B,Escuela Preparatoria Regional de Santa Anita,EPR de Santa Anita,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
117,SEMS,,14MMS0627K,Escuela Preparatoria Regional de Sayula,EPR de Sayula,Escuela,Regional,Región Lagunas,Sayula,
118,SEMS,14MMS0627K,14MMS0754G,Módulo Amacueca,Módulo Amacueca,Módulo,Regional,Región Lagunas,Amacueca,
119,SEMS,14MMS0627K,14MMS0709U,Módulo San Gabriel,Módulo San Gabriel,Módulo,Regional,Región Sur,San Gabriel,
120,SEMS,14MMS0627K,14MMS0710J,Módulo Tapalpa,Módulo Tapalpa,Módulo,Regional,Región Lagunas,Tapalpa,
121,SEMS,14MMS0627K,14MMS0832U,Módulo Usmajac,Módulo Usmajac,Módulo,Regional,Región Lagunas,Sayula,
122,SEMS,,14MMS0655G,Escuela Preparatoria Regional de Tala,EPR de Tala,Escuela,Regional,Región Valles,Tala,
123,SEMS,14MMS0655G,14MMS0771X,Módulo San Isidro Mazatepec,Módulo San Isidro Mazatepec,Módulo,Regional,Región Valles,Tala,
124,SEMS,,14MMS0620R,Escuela Preparatoria Regional de Tamazula,EPR de Tamazula de Gordiano,Escuela,Regional,Región Sur,Tamazula de Gordiano,
125,SEMS,14MMS0620R,14MMS0766L,Módulo Contla,Módulo Contla,Módulo,Regional,Región Sur,Tamazula de Gordiano,
126,SEMS,14MMS0620R,14MMS0690M,Módulo Lázaro Cárdenas,Módulo Lázaro Cárdenas,Módulo,Regional,Región Sureste,Quitupan,
127,SEMS,14MMS0620R,14MMS0722O,Módulo Mazamitla,Módulo Mazamitla,Módulo,Regional,Región Sureste,Mazamitla,
128,SEMS,14MMS0620R,14MMS0689X,Módulo Quitupan,Módulo Quitupan,Módulo,Regional,Región Sureste,Quitupan,
129,SEMS,14MMS0620R,14MMS0770Y,Módulo Valle de Juárez,Módulo Valle de Juárez,Módulo,Regional,Región Sureste,Valle de Juárez,
130,SEMS,14MMS0620R,14MMS0740D,Módulo Vista Hermosa,Extensión Vista Hermosa,Módulo,Regional,Región Sur,Tamazula de Gordiano,
131,SEMS,,14MMS0656F,Escuela Preparatoria Regional de Tecolotlán,EPR de Tecolotlán,Escuela,Regional,Región Sierra de Amula,Tecolotlán,
132,SEMS,14MMS0656F,14MMS0768J,Módulo Chiquilistlán,Módulo Chiquilistlán,Módulo,Regional,Región Sierra de Amula,Chiquilistlán,
133,SEMS,14MMS0656F,14MMS0711I,Módulo Juchitlán,Módulo Juchitlán,Módulo,Regional,Región Sierra de Amula,Juchitlán,
134,SEMS,14MMS0656F,14MMS0730X,Módulo Soyatlán del Oro,Módulo Soyatlán del Oro,Módulo,Regional,Región Sierra de Amula,Atengo,
135,SEMS,14MMS0656F,14MMS0670Z,Módulo Tenamaxtlán,Módulo Tenamaxtlán,Módulo,Regional,Región Sierra de Amula,Tenamaxtlán,
136,SEMS,,14MMS0632W,Escuela Preparatoria Regional de Tepatitlán,EPR de Tepatitlán,Escuela,Regional,Región Altos Sur,Tepatitlán de Morelos,
137,SEMS,14MMS0632W,14MMS0713G,Módulo Acatic,Módulo Acatic,Módulo,Regional,Región Altos Sur,Acatic,
138,SEMS,14MMS0632W,14MMS0763O,Módulo Cañadas de Obregón,Módulo Cañadas de Obregón,Módulo,Regional,Región Altos Sur,Cañadas de Obregón,
139,SEMS,14MMS0632W,14MMS0715E,Módulo Valle de Guadalupe,Módulo Valle de Guadalupe,Módulo,Regional,Región Altos Sur,Valle de Guadalupe,
140,SEMS,14MMS0632W,14MMS0716D,Módulo Yahualica,Módulo Yahualica,Módulo,Regional,Región Altos Sur,Yahualica de González Gallo,
141,SEMS,,14MMS0660S,Escuela Preparatoria Regional de Tequila,EPR de Tequila,Escuela,Regional,Región Valles,Tequila,
142,SEMS,14MMS0660S,14MMS0719A,Módulo Hostotipaquillo,Módulo Hostotipaquillo,Módulo,Regional,Región Valles,Hostotipaquillo,
143,SEMS,14MMS0660S,14MMS0742B,Módulo La Venta de Mochitiltic,Módulo La Venta de Mochitiltic,Módulo,Regional,Región Valles,Hostotipaquillo,
144,SEMS,14MMS0660S,14MMS0720Q,Módulo Magdalena,Módulo Magdalena,Módulo,Regional,Región Valles,Magdalena,
145,SEMS,14MMS0660S,14MMS0743A,Módulo San Andrés,Extensión San Andrés,Módulo,Regional,Región Valles,Magdalena,
146,SEMS,,14MMS0657E,Escuela Preparatoria Regional de Tlajomulco de Zúñiga,EPR de Tlajomulco de Zúñiga,Escuela,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
147,SEMS,14MMS0657E,14MMS0721P,Módulo Cajititlán,Módulo Cajititlán,Módulo,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
148,SEMS,14MMS0657E,14MMS0744Z,Módulo San Agustín,Módulo San Agustín,Módulo,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
149,SEMS,14MMS0657E,14MMS0817B,Módulo El Zapote,Módulo El Zapote,Módulo,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
150,SEMS,,14MMS0773V,Escuela Preparatoria Regional de Toluquilla,EPR de Toluquilla,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
151,SEMS,,14MMS0633V,Escuela Preparatoria Regional de Tuxpan,EPR de Tuxpan,Escuela,Regional,Región Sur,Tuxpan,
152,SEMS,14MMS0633V,14MMS0772W,Módulo Pihuamo,Módulo Pihuamo,Módulo,Regional,Región Sur,Pihuamo,
153,SEMS,14MMS0633V,14MMS0679Q,Módulo Tecalitlán,Módulo Tecalitlán,Módulo,Regional,Región Sur,Tecalitlán,
154,SEMS,14MMS0633V,14MMS0723N,Módulo Tonila,Módulo Tonila,Módulo,Regional,Región Sur,Tonila,
155,SEMS,,14MMS0712H,Escuela Preparatoria Regional de Unión de Tula,EPR de Unión de Tula,Escuela,Regional,Región Sierra de Amula,Unión de Tula,
156,SEMS,14MMS0712H,14MMS0669J,Módulo Ayutla,Módulo Ayutla,Módulo,Regional,Región Sierra de Amula,Ayutla,
157,SEMS,14MMS0712H,14MMS0672X,Módulo Ejutla,Módulo Ejutla,Módulo,Regional,Región Sierra de Amula,Ejutla,
158,SEMS,,14MMS0708V,Escuela Preparatoria Regional de Villa Corona,EPR de Villa Corona,Escuela,Regional,Región Lagunas,Villa Corona,
159,SEMS,14MMS0708V,14MMS0767K,Módulo Acatlán de Juárez,Módulo Acatlán de Juárez,Módulo,Regional,Región Lagunas,Acatlán de Juárez,
160,SEMS,,14MMS0659C,Escuela Preparatoria Regional de Zacoalco de Torres,EPR de Zacoalco de Torres,Escuela,Regional,Región Lagunas,Zacoalco de Torres,
161,SEMS,14MMS0659C,14MMS0755F,Módulo Atemajac de Brizuela,Módulo Atemajac de Brizuela,Módulo,Regional,Región Lagunas,Atemajac de Brizuela,
162,SEMS,14MMS0659C,14MMS0745Z,Módulo Cítala,Módulo Cítala,Módulo,Regional,Región Lagunas,Teocuitatlán de Corona,
163,SEMS,14MMS0659C,14MMS0746Y,Módulo Teocuitatlán de Corona,Módulo Teocuitatlán de Corona,Módulo,Regional,Región Lagunas,Teocuitatlán de Corona,
164,SEMS,14MMS0659C,14MMS0724M,Módulo Villa Atoyac,Módulo Villa Atoyac,Módulo,Regional,Región Lagunas,Atoyac,
165,SEMS,,14MMS0638Q,Escuela Preparatoria Regional de Zapotiltic,EPR de Zapotiltic,Escuela,Regional,Región Sur,Zapotiltic,
166,SEMS,,14MMS0658D,Escuela Preparatoria Regional de Zapotlanejo,EPR de Zapotlanejo,Escuela,Metropolitano,Región Centro,Zapotlanejo,
167,SEMS,14MMS0658D,14MMS0725L,Módulo Matatlán,Módulo Matatlán,Módulo,Metropolitano,Región Centro,Zapotlanejo,
168,SEMS,,14MMS0616E,Escuela Regional de Educación Media Superior de Ocotlán,EREMSO,Escuela,Regional,Región Ciénega,Ocotlán,
169,SEMS,14MMS0616E,14MMS0639P,Módulo Atequiza,Módulo Atequiza,Módulo,Metropolitano,Región Centro,Ixtlahuacán de los Membrillos,
170,SEMS,14MMS0616E,14MMS0827I,Módulo Poncitlán,Módulo Poncitlán,Módulo,Regional,Región Ciénega,Poncitlán,
171,SEMS,14MMS0616E,14MMS0699D,Módulo Tototlán,Módulo Tototlán,Módulo,Regional,Región Ciénega,Tototlán,
172,SEMS,14MMS0616E,14MMS0748W,Módulo Zapotlán del Rey,Módulo Zapotlán del Rey,Módulo,Regional,Región Ciénega,Zapotlán del Rey,
173,SEMS,,14MMS0751J,Escuela Regional de Educación Media Superior Wixárika,EREMS Wixárika,Escuela,Regional,Región Norte,Mezquitic,
174,SEMS,14MMS0751J,14MMS0830W,Módulo Ocota de la Sierra,Módulo Ocota,Módulo,Regional,Región Norte,Mezquitic,
175,SEMS,,14MMS0818A,Escuela Preparatoria de San José del Valle,Prepa San José del Valle,Escuela,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
176,CUAAD,,14MMS0775T,"Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",CUAAD-San Agustín,Sede CU,Regional,Región Centro,Guadalajara,
177,CUCS,,14MMS0774U,Centro Universitario de Ciencias de la Salud,CUCS,Centro Universitario,Regional,Región Centro,Guadalajara,
178,CUSUR,,14MMS0777R,Centro Universitario del Sur,CUSUR,Centro Universitario,Regional,Región Sur,Zapotlán el Grande,
179,SUV,,14MMS0749V,Sistema de Universidad Virtual,SUV,Virtual,Regional,Región Centro,Guadalajara,
180,CUCEA,,14USU0120N,Centro Universitario de Ciencias Económico Administrativas,CUCEA,Centro Universitario,Regional,Región Centro,Zapopan,
181,CUCEI,,14USU0110G,Centro Universitario de Ciencias Exactas e Ingenierías,CUCEI,Centro Universitario,Regional,Región Centro,Guadalajara,
182,CUCSH,14USU0100Z,14USU0010H,Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,CUCSH-Belenes,Sede CU,Regional,Región Centro,Zapopan,
183,CUCSH,,14USU0100Z,Centro Universitario de Ciencias Sociales y Humanidades sede La Normal,CUCSH-La Normal,Centro Universitario,Regional,Región Centro,Guadalajara,
184,CUCS,,14USU0230T,Centro Universitario de Ciencias de la Salud,CUCS,Centro Universitario,Regional,Región Centro,Guadalajara,
185,CUAAD,,14USU0140A,"Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán",CUAAD-Huentitán,Centro Universitario,Regional,Región Centro,Guadalajara,
186,CUAAD,14USU0140A,14USU0005W,"Centro Universitario de Arte, Arquitectura y Diseño sede Santa María de Gracia",CUAAD-Santa María de Gracia,Sede CU,Regional,Región Centro,Guadalajara,
