name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
46 2019-2020 14MMS0625M BGC,46,2019-2020,14MMS0625M,BGC,Escolarizada,106,98,,204,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,0,,3,0,0,,0,0,0,,0,3,0,,3,12,11,,23
47 2019-2020 14MMS0625M BGAI,47,2019-2020,14MMS0625M,BGAI,Escolarizada,22,21,,43,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1
48 2019-2020 14MMS0626L BGC,48,2019-2020,14MMS0626L,BGC,Escolarizada,422,588,,1010,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,9,9,,18,1,0,,1,0,0,,0,10,10,,20,0,0,,0
49 2019-2020 14MMS0626L BGC,49,2019-2020,14MMS0626L,BGC,Escolarizada,411,526,,937,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,5,14,,19,0,0,,0,0,0,,0,5,15,,20,0,1,,1
50 2019-2020 14MMS0627K BGC,50,2019-2020,14MMS0627K,BGC,Escolarizada,188,181,,369,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
51 2019-2020 14MMS0627K BGC,51,2019-2020,14MMS0627K,BGC,Escolarizada,105,153,,258,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
52 2019-2020 14MMS0627K BGAI,52,2019-2020,14MMS0627K,BGAI,Escolarizada,29,32,,61,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
53 2019-2020 14MMS0628J BGC,53,2019-2020,14MMS0628J,BGC,Escolarizada,394,548,,942,2,1,,3,1,0,,1,0,0,,0,0,0,,0,1,0,,1,8,3,,11,0,1,,1,0,0,,0,12,5,,17,0,0,,0
54 2019-2020 14MMS0628J BGC,54,2019-2020,14MMS0628J,BGC,Escolarizada,408,459,,867,0,2,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,6,7,,13,0,0,,0,0,0,,0,7,9,,16,0,0,,0
55 2019-2020 14MMS0628J BGAI,55,2019-2020,14MMS0628J,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
