row,name,nombre_prueba,plantel_adscripcion,clave_plantel,termino padre
2764,2764 Escuela Preparatoria Regional de San Martín Hidalgo,Escuela Preparatoria Regional de San Martín Hidalgo,,14USU02600,
2765,2765 Módulo Buenavista,Módulo Buenavista,,14USU02601,
2766,2766 Escuela Preparatoria Regional de San Miguel el Alto,Escuela Preparatoria Regional de San Miguel el Alto,,14USU02602,
2767,2767 Módulo San Julián,Módulo San Julián,,14USU02603,
2768,2768 Escuela Preparatoria Regional de Santa Anita,Escuela Preparatoria Regional de Santa Anita,,14USU02604,
2769,2769 Escuela Preparatoria Regional de Sayula,Escuela Preparatoria Regional de Sayula,,14USU02605,
2770,2770 Módulo Amacueca,Módulo Amacueca,,14USU02606,
2771,2771 Módulo San Gabriel,Módulo San Gabriel,,14USU02607,
2772,2772 Módulo Tapalpa,Módulo Tapalpa,,14USU02608,
2773,2773 Módulo Usmajac,Módulo Usmajac,,14USU02609,
2774,2774 Escuela Preparatoria Regional de Tala,Escuela Preparatoria Regional de Tala,,14USU02610,
2775,2775 Módulo San Isidro Mazatepec,Módulo San Isidro Mazatepec,,14USU02611,
2776,2776 Escuela Preparatoria Regional de Tamazula,Escuela Preparatoria Regional de Tamazula,,14USU02612,
2777,2777 Módulo Contla,Módulo Contla,,14USU02613,
2778,2778 Módulo Lázaro Cárdenas,Módulo Lázaro Cárdenas,,14USU02614,
2779,2779 Módulo Mazamitla,Módulo Mazamitla,,14USU02615,
2780,2780 Módulo Quitupan,Módulo Quitupan,,14USU02616,
2781,2781 Módulo Valle de Juárez,Módulo Valle de Juárez,,14USU02617,
2782,2782 Módulo Vista Hermosa,Módulo Vista Hermosa,,14USU02618,
2783,2783 Escuela Preparatoria Regional de Tecolotlán,Escuela Preparatoria Regional de Tecolotlán,,14USU02619,
2784,2784 Módulo Chiquilistlán,Módulo Chiquilistlán,,14USU02620,
2785,2785 Módulo Juchitlán,Módulo Juchitlán,,14USU02621,
2786,2786 Módulo Soyatlán del Oro,Módulo Soyatlán del Oro,,14USU02622,
2787,2787 Módulo Tenamaxtlán,Módulo Tenamaxtlán,,14USU02623,
2788,2788 Escuela Preparatoria Regional de Tepatitlán,Escuela Preparatoria Regional de Tepatitlán,,14USU02624,
2789,2789 Módulo Acatic,Módulo Acatic,,14USU02625,
2790,2790 Módulo Cañadas de Obregón,Módulo Cañadas de Obregón,,14USU02626,
