ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2020-2021,14MMS0621Q,BGC,Escolarizada,388,508,,896,2,0,,2,2,0,,2,0,0,,0,0,1,,1,0,0,,0,3,4,,7,2,3,,5,0,0,,0,9,8,,17,0,0,,0
2020-2021,14MMS0621Q,BGC,Escolarizada,342,467,,809,2,0,,2,1,0,,1,0,0,,0,0,0,,0,0,1,,1,10,8,,18,1,2,,3,0,0,,0,14,11,,25,0,0,,0
2020-2021,14MMS0622P,BGC,Escolarizada,148,160,,308,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,4,,6,0,0,,0,0,0,,0,3,4,,7,0,0,,0
2020-2021,14MMS0622P,BGC,Escolarizada,109,112,,221,0,2,,2,0,1,,1,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,0,,0,0,0,,0,2,5,,7,0,0,,0
2020-2021,14MMS0623O,BGC,Escolarizada,749,971,,1720,5,0,,5,1,0,,1,0,0,,0,0,0,,0,0,0,,0,9,18,,27,0,0,,0,0,0,,0,15,18,,33,0,0,,0
2020-2021,14MMS0623O,BGC,Escolarizada,628,1001,,1629,0,2,,2,1,0,,1,0,0,,0,1,0,,1,0,0,,0,5,14,,19,0,2,,2,0,0,,0,7,18,,25,0,1,,1
2020-2021,14MMS0624N,BGC,Escolarizada,159,208,,367,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,3,,3,0,0,,0,0,0,,0,0,3,,3,0,0,,0
2020-2021,14MMS0624N,BGC,Escolarizada,131,189,,320,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,0,,0,0,0,,0,2,1,,3,0,1,,1
2020-2021,14MMS0625M,BGC,Escolarizada,157,174,,331,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,2,1,,3,12,11,,23
2020-2021,14MMS0625M,BGC,Escolarizada,126,154,,280,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,2,,6,0,0,,0,0,0,,0,4,2,,6,9,9,,18
2020-2021,14MMS0625M,BGAI,Escolarizada,12,13,,25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0626L,BGC,Escolarizada,436,625,,1061,0,1,,1,1,1,,2,0,0,,0,0,1,,1,0,0,,0,9,20,,29,0,0,,0,0,0,,0,10,23,,33,0,0,,0
2020-2021,14MMS0626L,BGC,Escolarizada,416,568,,984,0,1,,1,0,0,,0,0,0,,0,0,1,,1,1,1,,2,3,11,,14,1,0,,1,0,0,,0,5,14,,19,0,2,,2
2020-2021,14MMS0627K,BGC,Escolarizada,177,169,,346,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0627K,BGC,Escolarizada,132,160,,292,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0627K,BGAI,Escolarizada,6,15,,21,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
2020-2021,14MMS0628J,BGC,Escolarizada,405,550,,955,2,2,,4,0,0,,0,0,0,,0,1,0,,1,1,0,,1,6,9,,15,1,1,,2,0,0,,0,11,12,,23,0,1,,1
2020-2021,14MMS0628J,BGC,Escolarizada,422,460,,882,1,0,,1,1,0,,1,0,0,,0,0,1,,1,0,0,,0,9,4,,13,0,1,,1,0,0,,0,11,6,,17,0,0,,0
2020-2021,14MMS0629I,BGC,Escolarizada,412,558,,970,0,2,,2,1,0,,1,0,0,,0,1,1,,2,0,1,,1,10,8,,18,0,0,,0,0,0,,0,12,12,,24,0,0,,0
2020-2021,14MMS0629I,BGC,Escolarizada,419,526,,945,0,2,,2,2,0,,2,0,0,,0,0,1,,1,1,0,,1,3,6,,9,0,1,,1,0,2,,2,6,12,,18,0,0,,0
2020-2021,14MMS0629I,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0630Y,BGC,Escolarizada,473,605,,1078,0,2,,2,0,1,,1,0,0,,0,0,0,,0,0,1,,1,8,5,,13,0,2,,2,0,0,,0,8,11,,19,1,0,,1
2020-2021,14MMS0630Y,BGC,Escolarizada,470,608,,1078,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,1,,1,9,11,,20,0,0,,0,0,0,,0,11,12,,23,0,0,,0
2020-2021,14MMS0631X,BGC,Escolarizada,746,921,,1667,1,2,,3,0,0,,0,0,0,,0,3,0,,3,0,0,,0,4,6,,10,0,1,,1,0,0,,0,8,9,,17,1,2,,3
2020-2021,14MMS0631X,BGC,Escolarizada,684,929,,1613,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,7,8,,15,0,0,,0,0,0,,0,7,9,,16,2,0,,2
