name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-93 - 2020 - CUTLAJOMULCO,93,2020,CUTLAJOMULCO,Nivel II,1,1,,2
311 Investigadores-94 - 2021 - CUTLAJOMULCO,94,2021,CUTLAJOMULCO,Nivel III,0,0,,0
311 Investigadores-95 - 2022 - CUTLAJOMULCO,95,2022,CUTLAJOMULCO,Emérito,0,0,,0
311 Investigadores-96 - 2023 - CUTLAJOMULCO,96,2023,CUTLAJOMULCO,SNCA,0,0,,0
311 Investigadores-97 - 2024 - CUGUADALAJARA,97,2024,CUGUADALAJARA,Candidato,3,13,,16
311 Investigadores-98 - 2025 - CUGUADALAJARA,98,2025,CUGUADALAJARA,Nivel I,7,10,,17
311 Investigadores-99 - 2026 - CUGUADALAJARA,99,2026,CUGUADALAJARA,Nivel II,1,1,,2
311 Investigadores-100 - 2027 - CUGUADALAJARA,100,2027,CUGUADALAJARA,Nivel III,0,0,,0
311 Investigadores-101 - 2028 - CUGUADALAJARA,101,2028,CUGUADALAJARA,Emérito,0,0,,0
311 Investigadores-102 - 2029 - CUGUADALAJARA,102,2029,CUGUADALAJARA,SNCA,0,0,,0
311 Investigadores-103 - 2030 - CUCHAPALA,103,2030,CUCHAPALA,Candidato,0,0,,0
311 Investigadores-104 - 2031 - CUCHAPALA,104,2031,CUCHAPALA,Nivel I,0,0,,0
311 Investigadores-105 - 2032 - CUCHAPALA,105,2032,CUCHAPALA,Nivel II,0,0,,0
311 Investigadores-106 - 2033 - CUCHAPALA,106,2033,CUCHAPALA,Nivel III,0,0,,0
311 Investigadores-107 - 2034 - CUCHAPALA,107,2034,CUCHAPALA,Emérito,0,0,,0
311 Investigadores-108 - 2035 - CUCHAPALA,108,2035,CUCHAPALA,SNCA,0,0,,0
311 Investigadores-109 - 2036 - CUTLAQUEPAQUE,109,2036,CUTLAQUEPAQUE,Candidato,0,0,,0
311 Investigadores-110 - 2037 - CUTLAQUEPAQUE,110,2037,CUTLAQUEPAQUE,Nivel I,0,0,,0
311 Investigadores-111 - 2038 - CUTLAQUEPAQUE,111,2038,CUTLAQUEPAQUE,Nivel II,0,0,,0
311 Investigadores-112 - 2039 - CUTLAQUEPAQUE,112,2039,CUTLAQUEPAQUE,Nivel III,0,0,,0
311 Investigadores-113 - 2040 - CUTLAQUEPAQUE,113,2040,CUTLAQUEPAQUE,Emérito,0,0,,0
311 Investigadores-114 - 2041 - CUTLAQUEPAQUE,114,2041,CUTLAQUEPAQUE,SNCA,0,0,,0
311 Investigadores-115 - 2042 - SEMS,115,2042,SEMS,Candidato,5,5,,10
311 Investigadores-116 - 2043 - SEMS,116,2043,SEMS,Nivel I,0,1,,1
311 Investigadores-117 - 2044 - SEMS,117,2044,SEMS,Nivel II,0,0,,0
311 Investigadores-118 - 2045 - SEMS,118,2045,SEMS,Nivel III,0,0,,0
311 Investigadores-119 - 2046 - SEMS,119,2046,SEMS,Emérito,0,0,,0
311 Investigadores-120 - 2047 - SEMS,120,2047,SEMS,SNCA,0,0,,0
311 Investigadores-121 - 2048 - AG,121,2048,AG,Candidato,1,0,,1
311 Investigadores-122 - 2049 - AG,122,2049,AG,Nivel I,1,0,,1
311 Investigadores-123 - 2050 - AG,123,2050,AG,Nivel II,0,0,,0
311 Investigadores-124 - 2051 - AG,124,2051,AG,Nivel III,0,0,,0
311 Investigadores-125 - 2052 - AG,125,2052,AG,Emérito,0,0,,0
311 Investigadores-126 - 2053 - AG,126,2053,AG,SNCA,0,0,,0
