name,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,academicos_h,academicos_m,academicos_nb,academicos_t
712-2023 PA DMT Asistente C de CUTONALÁ,2023,CUTONALÁ,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUTLAJOMULCO,2023,CUTLAJOMULCO,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de SUV,2023,SUV,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de SEMS,2023,SEMS,DMT,Asistente,C,7,5,,12
712-2023 PA DMT Asistente C de AG,2023,AG,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asociado A de CUCEA,2023,CUCEA,DMT,Asociado,A,5,6,,11
712-2023 PA DMT Asociado A de CUCEI,2023,CUCEI,DMT,Asociado,A,1,3,,4
712-2023 PA DMT Asociado A de CUCSH,2023,CUCSH,DMT,Asociado,A,6,3,,9
712-2023 PA DMT Asociado A de CUCS,2023,CUCS,DMT,Asociado,A,5,2,,7
712-2023 PA DMT Asociado A de CUAAD,2023,CUAAD,DMT,Asociado,A,2,4,,6
712-2023 PA DMT Asociado A de CUCBA,2023,CUCBA,DMT,Asociado,A,0,0,,0
712-2023 PA DMT Asociado A de CUALTOS,2023,CUALTOS,DMT,Asociado,A,0,0,,0
712-2023 PA DMT Asociado A de CUCIÉNEGA,2023,CUCIÉNEGA,DMT,Asociado,A,6,5,,11
712-2023 PA DMT Asociado A de CUSUR,2023,CUSUR,DMT,Asociado,A,0,1,,1
712-2023 PA DMT Asociado A de CUCOSTA,2023,CUCOSTA,DMT,Asociado,A,5,0,,5
712-2023 PA DMT Asociado A de CUCOSTASUR,2023,CUCOSTASUR,DMT,Asociado,A,3,4,,7
712-2023 PA DMT Asociado A de CUVALLES,2023,CUVALLES,DMT,Asociado,A,0,0,,0
712-2023 PA DMT Asociado A de CUNORTE,2023,CUNORTE,DMT,Asociado,A,0,0,,0
712-2023 PA DMT Asociado A de CULAGOS,2023,CULAGOS,DMT,Asociado,A,1,2,,3
712-2023 PA DMT Asociado A de CUTONALÁ,2023,CUTONALÁ,DMT,Asociado,A,1,0,,1
712-2023 PA DMT Asociado A de CUTLAJOMULCO,2023,CUTLAJOMULCO,DMT,Asociado,A,0,0,,0
712-2023 PA DMT Asociado A de SUV,2023,SUV,DMT,Asociado,A,0,0,,0
712-2023 PA DMT Asociado A de SEMS,2023,SEMS,DMT,Asociado,A,78,56,,134
712-2023 PA DMT Asociado A de AG,2023,AG,DMT,Asociado,A,0,0,,0
712-2023 PA DMT Asociado B de CUCEA,2023,CUCEA,DMT,Asociado,B,0,1,,1
712-2023 PA DMT Asociado B de CUCEI,2023,CUCEI,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUCSH,2023,CUCSH,DMT,Asociado,B,3,0,,3
712-2023 PA DMT Asociado B de CUCS,2023,CUCS,DMT,Asociado,B,0,1,,1
712-2023 PA DMT Asociado B de CUAAD,2023,CUAAD,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUCBA,2023,CUCBA,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUALTOS,2023,CUALTOS,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUCIÉNEGA,2023,CUCIÉNEGA,DMT,Asociado,B,2,0,,2
712-2023 PA DMT Asociado B de CUSUR,2023,CUSUR,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUCOSTA,2023,CUCOSTA,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUCOSTASUR,2023,CUCOSTASUR,DMT,Asociado,B,2,0,,2
712-2023 PA DMT Asociado B de CUVALLES,2023,CUVALLES,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUNORTE,2023,CUNORTE,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CULAGOS,2023,CULAGOS,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUTONALÁ,2023,CUTONALÁ,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de CUTLAJOMULCO,2023,CUTLAJOMULCO,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado B de SUV,2023,SUV,DMT,Asociado,B,0,1,,1
712-2023 PA DMT Asociado B de SEMS,2023,SEMS,DMT,Asociado,B,46,36,,82
712-2023 PA DMT Asociado B de AG,2023,AG,DMT,Asociado,B,0,0,,0
712-2023 PA DMT Asociado C de CUCEA,2023,CUCEA,DMT,Asociado,C,0,0,,0
712-2023 PA DMT Asociado C de CUCEI,2023,CUCEI,DMT,Asociado,C,1,0,,1
712-2023 PA DMT Asociado C de CUCSH,2023,CUCSH,DMT,Asociado,C,1,0,,1
712-2023 PA DMT Asociado C de CUCS,2023,CUCS,DMT,Asociado,C,2,1,,3
712-2023 PA DMT Asociado C de CUAAD,2023,CUAAD,DMT,Asociado,C,1,1,,2
712-2023 PA DMT Asociado C de CUCBA,2023,CUCBA,DMT,Asociado,C,0,0,,0
712-2023 PA DMT Asociado C de CUALTOS,2023,CUALTOS,DMT,Asociado,C,0,0,,0
712-2023 PA DMT Asociado C de CUCIÉNEGA,2023,CUCIÉNEGA,DMT,Asociado,C,1,0,,1
