name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2020A 365 14USU0002Z 5062200073,365,2019-2020,2020,A,14USU0002Z,5062200073,,,,6,,,,6,,,,0,100.00,15,102.9167
2020A 366 14USU0002Z 5071300009,366,2019-2020,2020,A,14USU0002Z,5071300009,,,,4,,,,4,,,,0,100.00,15,113.17
2020A 367 14USU0002Z 5042000002,367,2019-2020,2020,A,14USU0002Z,5042000002,,,,20,,,,20,,,,0,100.00,30,113.2167
2020A 368 14USU0002Z 5041100021,368,2019-2020,2020,A,14USU0002Z,5041100021,,,,9,,,,9,,,,0,100.00,15,98.6667
2020A 369 14USU0002Z 5031200004,369,2019-2020,2020,A,14USU0002Z,5031200004,,,,4,,,,4,,,,0,100.00,15,105.1667
2020A 370 14USU0002Z 5011500002,370,2019-2020,2020,A,14USU0002Z,5011500002,,,,71,,,,71,,,,0,100.00,80,91.24
2020A 371 14USU0002Z 5092100006,371,2019-2020,2020,A,14USU0002Z,5092100006,,,,41,,,,41,,,,0,100.00,70,93.3333
2020A 372 14USU0002Z 5094200006,372,2019-2020,2020,A,14USU0002Z,5094200006,,,,7,,,,7,,,,0,100.00,15,118.5833
2020A 373 14USU0002Z 5031100007,373,2019-2020,2020,A,14USU0002Z,5031100007,,,,9,,,,9,,,,0,100.00,15,106.5667
2020A 374 14USU0002Z 5101600013,374,2019-2020,2020,A,14USU0002Z,5101600013,,,,9,,,,9,,,,0,100.00,15,110.6767
2020A 375 14USU0210F 5033100003,375,2019-2020,2020,A,14USU0210F,5033100003,,,,119,,,,80,,,,39,67.23,80,123.8833
2020A 376 14MMS0777R 2092100004,376,2019-2020,2020,A,14MMS0777R,2092100004,,,,36,,,,36,,,,0,100.00,40,106.2222
2020A 377 14USU0210F 5062100034,377,2019-2020,2020,A,14USU0210F,5062100034,,,,41,,,,41,,,,0,100.00,50,88.1667
2020A 378 14USU0210F 5081100010,378,2019-2020,2020,A,14USU0210F,5081100010,,,,117,,,,40,,,,77,34.19,40,137.5833
2020A 379 14USU0210F 5041100021,379,2019-2020,2020,A,14USU0210F,5041100021,,,,105,,,,70,,,,35,66.67,70,114
2020A 380 14USU0210F 5101100015,380,2019-2020,2020,A,14USU0210F,5101100015,,,,176,,,,40,,,,136,22.73,40,137.5567
2020A 381 14USU0210F 5042200024,381,2019-2020,2020,A,14USU0210F,5042200024,,,,38,,,,38,,,,0,100.00,40,97.3333
2020A 382 14USU0210F 5092100006,382,2019-2020,2020,A,14USU0210F,5092100006,,,,228,,,,90,,,,138,39.47,90,136.0367
2020A 383 14USU0210F 5082100001,383,2019-2020,2020,A,14USU0210F,5082100001,,,,222,,,,75,,,,147,33.78,75,135.8933
2020A 384 14USU0210F 5041100056,384,2019-2020,2020,A,14USU0210F,5041100056,,,,181,,,,80,,,,101,44.20,80,135.6633
2020A 385 14USU0210F 5094200006,385,2019-2020,2020,A,14USU0210F,5094200006,,,,91,,,,60,,,,31,65.93,60,118.9733
